,County,Doctorate M,Professional M,Masters M,Bachelor M,Associate M,Some College M,High School M,Some HS M,Less than HS M,None M
1118,17985,0.648%,0.648%,1.944%,11.231%,6.695%,14.903%,51.836%,9.935%,2.160%,0.000%
1119,18201,0.201%,0.520%,3.549%,7.748%,7.476%,14.206%,43.873%,14.419%,6.979%,1.029%
1120,18202,1.472%,0.436%,4.088%,8.068%,7.850%,20.033%,41.265%,8.149%,8.204%,0.436%
1121,18211,9.489%,12.956%,3.102%,28.832%,41.058%,2.007%,2.555%,5.177994%,11.667%,16.290%
1122,18214,0.838%,0.698%,7.821%,16.341%,10.894%,17.598%,34.358%,7.263%,1.536%,2.654%
1123,18218,0.627%,0.000%,3.759%,7.393%,6.391%,19.048%,47.995%,12.030%,2.130%,0.627%
1124,18220,1.389%,0.000%,6.250%,31.250%,47.917%,13.194%,7.317073%,0.000%,2.222%,7.317%
1125,18231,0.000%,5.780%,4.046%,28.902%,52.601%,1.734%,6.936%,6.976744%,4.255%,2.970%
1126,18237,1.283%,0.367%,3.850%,5.041%,8.433%,18.057%,54.537%,7.241%,0.733%,0.458%
1127,18240,0.000%,1.575%,6.452%,12.003%,6.527%,15.754%,45.836%,6.077%,4.351%,1.425%
1128,18241,3.030%,4.040%,15.657%,51.010%,15.152%,11.111%,0.000000%,0.000%,0.000%,0.000%
1129,18242,0.000%,12.987%,15.584%,2.597%,59.740%,9.091%,0.000%,0.000000%,0.000%,13.514%
1130,18245,27.132%,13.953%,58.915%,0.000000%,13.913%,0.000%,0.000%,0.000%,32.653%,100.000%
1131,18248,0.000%,0.000%,9.013%,25.751%,54.506%,9.442%,0.858%,0.429%,0.000000%,0.000%
1132,18252,0.520%,1.150%,4.847%,10.378%,8.215%,17.114%,45.783%,8.160%,2.437%,1.396%
1133,19549,0.962%,0.962%,1.923%,3.846%,20.192%,57.692%,13.462%,0.000%,0.962%,0.000000%
1134,15411,1.190%,2.778%,6.349%,7.937%,5.556%,18.651%,50.000%,6.349%,1.190%,17.142857%
1135,15424,0.000%,0.503%,3.145%,8.428%,5.283%,10.440%,55.597%,6.038%,4.277%,6.289%
1136,15501,0.337%,2.250%,2.709%,11.878%,8.893%,12.230%,47.405%,10.057%,2.418%,1.822%
1137,15502,34.483%,24.138%,6.897%,34.483%,0.000%,0.000%,15.789474%,35.294%,0.000%,15.789%
1138,15510,0.845%,0.853%,24.579%,0.000000%,0.000000%,14.796334%,12.857471%,11.614335%,33.644618%,16.116184%
1139,15520,0.000%,0.000%,100.000%,0.000%,0.000%,0.000000%,0.000%,0.000%,0.000%,0.000%
1140,15530,1.013%,1.173%,2.719%,8.049%,5.224%,13.539%,56.290%,7.889%,2.825%,1.279%
1141,15531,0.000%,1.006%,3.823%,11.402%,7.042%,10.731%,52.046%,7.780%,4.896%,1.274%
1142,15532,0.000%,3.226%,14.516%,58.065%,4.839%,19.355%,0.000000%,0.000%,3.077%,0.000%
1143,15534,1.644%,4.110%,4.658%,18.356%,56.164%,12.055%,2.192%,0.822%,0.000000%,8.036%
1144,15538,0.664%,2.658%,8.970%,1.993%,7.973%,63.123%,9.302%,3.987%,1.329%,22.058824%
1145,15540,0.000%,12.791%,17.442%,11.628%,40.698%,10.465%,6.977%,42.307692%,6.849%,4.000%
1146,15541,0.410%,1.230%,2.377%,12.951%,5.738%,10.738%,55.000%,4.672%,5.492%,1.393%
1147,15542,0.236%,6.840%,2.830%,12.500%,63.443%,8.019%,4.009%,2.123%,5.194805%,1.190%
1148,15544,15.789%,21.053%,63.158%,55.555556%,10.914%,16.865%,21.391%,0.000%,0.000000%,0.000000%
1149,15545,0.203%,0.811%,1.826%,4.665%,9.128%,10.243%,60.243%,7.404%,3.347%,2.130%
1150,15546,30.097%,55.340%,0.000000%,0.000%,24.590%,0.000%,0.000%,0.000%,100.000%,48.387097%
1151,15547,0.690%,1.379%,8.276%,1.379%,27.586%,49.655%,10.345%,0.690%,5.714286%,6.593%
1152,15551,0.906%,2.719%,10.876%,7.251%,7.553%,56.798%,6.949%,6.042%,0.906%,4.958678%
1153,15552,0.536%,0.682%,3.408%,7.838%,5.112%,10.078%,57.157%,7.936%,5.794%,1.461%
1154,15555,13.953%,20.930%,0.000%,58.140%,6.977%,36.842105%,10.914%,16.865%,25.668%,10.000%
1155,15557,0.325%,0.244%,3.247%,8.929%,8.847%,12.662%,54.951%,7.630%,2.192%,0.974%
1156,15558,0.000%,0.683%,2.732%,8.333%,6.011%,16.120%,47.404%,7.787%,10.246%,0.683%
1157,15559,0.524%,5.505%,3.145%,5.505%,14.155%,48.493%,19.528%,1.311%,1.835%,5.392157%
1158,15560,3.636%,5.455%,12.727%,9.091%,7.273%,52.727%,7.273%,0.000%,1.818%,27.777778%
1159,15561,0.000%,0.000%,42.254%,14.085%,28.169%,4.225%,5.634%,5.634%,9.090909%,0.000%
1160,15562,10.000%,0.000%,6.000%,52.000%,32.000%,12.500000%,10.914%,16.865%,21.391%,0.000%
1161,15563,0.261%,0.348%,2.787%,9.495%,8.885%,10.801%,52.875%,11.934%,2.352%,0.261%
1162,15564,0.000%,5.882%,35.294%,11.765%,38.235%,0.000%,8.824%,17.647059%,9.091%,0.000%
1163,15622,0.418%,12.762%,6.695%,15.900%,2.720%,35.983%,25.523%,0.000%,5.813953%,5.017%
1164,15905,1.497%,6.487%,7.375%,22.124%,6.501%,15.179%,36.609%,2.426%,0.929%,0.873%
1165,15924,1.316%,11.316%,2.105%,11.842%,59.211%,10.526%,1.316%,2.368%,13.380282%,10.698%
1166,15926,0.929%,2.890%,4.128%,10.423%,6.089%,14.138%,48.194%,8.669%,4.231%,0.310%
1167,15928,4.654%,0.000%,3.457%,7.181%,10.106%,20.878%,50.665%,2.793%,0.266%,28.634361%
1168,15935,0.104%,3.642%,5.931%,5.411%,5.619%,13.840%,52.758%,3.330%,4.370%,4.995%
1169,15936,0.769%,1.538%,1.154%,5.577%,2.115%,9.038%,68.269%,7.692%,2.692%,1.154%
1170,15937,4.520%,22.316%,60.734%,8.192%,0.000%,4.237%,42.682927%,0.000%,4.348%,42.683%
1171,15953,0.000%,16.438%,83.562%,0.000%,0.000000%,10.914%,16.865%,21.391%,0.000%,100.000000%
1172,15963,0.337%,1.089%,4.098%,12.889%,9.310%,15.223%,46.162%,7.106%,2.516%,1.271%
1173,17017,1.070%,0.000%,6.061%,8.021%,6.061%,14.795%,55.615%,6.417%,1.070%,0.891%
1174,17730,100.000%,0.000%,0.000%,0.000000%,10.914%,21.391%,25.668%,0.000000%,0.000000%,14.181005%
1175,17749,0.000%,10.236%,18.898%,5.512%,57.480%,7.087%,0.787%,23.913043%,6.250%,4.425%
1176,17756,0.884%,2.045%,3.676%,16.777%,11.526%,14.815%,37.977%,8.485%,3.261%,0.553%
1177,17772,0.000%,0.500%,5.125%,5.875%,10.500%,12.375%,48.625%,10.500%,5.875%,0.625%
1178,17777,0.163%,1.019%,3.057%,7.705%,8.357%,13.698%,53.649%,6.196%,5.137%,1.019%
1179,17801,0.187%,0.970%,1.956%,9.066%,8.692%,10.988%,51.522%,12.162%,3.028%,1.429%
1180,17821,2.647%,6.006%,6.704%,16.878%,5.737%,12.345%,40.333%,6.815%,1.902%,0.634%
1181,17823,0.946%,4.492%,7.329%,5.201%,4.728%,66.194%,7.092%,3.546%,0.473%,20.348837%
1182,17824,1.235%,0.000%,9.731%,12.418%,11.910%,9.441%,51.198%,0.436%,2.614%,1.017%
1183,17830,2.195%,0.549%,6.584%,5.487%,8.779%,61.180%,12.071%,3.155%,0.000%,9.090909%
1184,17832,0.000%,2.893%,0.826%,11.570%,24.380%,43.802%,16.116%,0.413%,3.333333%,2.817%
1185,17834,1.429%,0.857%,5.571%,6.786%,7.786%,12.000%,50.214%,12.714%,0.714%,1.929%
1186,17836,0.000%,11.111%,2.469%,13.580%,54.321%,8.642%,9.877%,15.384615%,24.324%,7.937%
1187,17840,13.333%,21.667%,8.333%,40.000%,16.667%,19.512195%,0.000%,0.000%,19.512%,0.000%
1188,17847,0.173%,1.090%,2.304%,11.174%,7.830%,12.190%,51.511%,8.845%,4.237%,0.644%
1189,17850,7.083%,12.083%,2.083%,7.500%,53.750%,12.917%,4.583%,11.200000%,11.392%,0.000%
1190,17851,1.401%,1.206%,4.280%,12.062%,7.977%,15.447%,46.148%,7.821%,3.619%,0.039%
1191,17857,0.412%,0.562%,4.345%,15.581%,6.891%,12.210%,46.255%,9.101%,3.596%,1.049%
1192,17860,4.232%,2.004%,2.339%,11.915%,9.465%,9.911%,46.214%,11.915%,1.225%,0.780%
1193,17865,19.355%,6.452%,6.452%,29.032%,38.710%,0.000000%,0.000%,37.500%,0.000%,0.000%
1194,17866,0.085%,0.700%,1.803%,4.878%,2.842%,13.234%,52.344%,18.240%,4.178%,1.697%
1195,17867,0.000%,3.030%,15.152%,13.636%,54.545%,13.636%,0.000000%,8.333%,0.000%,0.000%
1196,17868,0.000%,4.644%,8.669%,17.337%,4.334%,7.430%,52.322%,3.715%,1.548%,0.000000%
1197,17872,0.660%,1.320%,7.226%,3.424%,16.808%,61.074%,7.163%,1.948%,0.377%,9.328969%
1198,17881,0.000%,0.000%,2.642%,2.264%,8.113%,16.981%,58.113%,10.943%,0.000%,0.943%
1199,17941,0.671%,0.671%,4.027%,9.060%,17.114%,56.376%,9.060%,2.349%,0.671%,11.340206%
1200,17964,2.055%,0.000%,4.110%,10.959%,9.589%,7.534%,58.219%,4.110%,2.740%,0.685%
1201,15711,2.094%,1.571%,7.853%,8.377%,69.110%,9.424%,1.571%,20.000000%,4.651%,7.692%
1202,15715,3.311%,6.623%,17.219%,15.894%,49.007%,5.298%,2.649%,12.280702%,10.753%,17.391%
1203,15730,15.789%,0.000%,15.789%,68.421%,0.000%,0.000000%,0.000%,0.000%,0.000%,0.000%
1204,15733,0.000%,7.500%,0.000%,7.500%,85.000%,0.000%,0.000000%,0.000%,0.000%,0.000%
1205,15744,11.864%,30.508%,0.000%,42.373%,10.169%,5.085%,0.000%,0.000000%,0.000%,40.000%
1206,15764,5.357%,10.714%,7.143%,7.143%,58.929%,10.714%,12.500000%,6.818%,7.143%,12.500%
1207,15767,0.184%,1.412%,3.234%,9.253%,8.332%,12.098%,50.399%,7.881%,6.285%,0.921%
1208,15770,2.667%,12.000%,5.333%,46.667%,17.333%,16.000%,35.714286%,0.000%,0.000%,35.714%
1209,15776,7.143%,0.000%,7.143%,14.286%,46.429%,25.000%,0.000000%,0.000%,8.571%,0.000%
1210,15778,10.294%,2.941%,8.824%,72.059%,2.941%,2.941%,0.000000%,19.048%,18.919%,0.000%
1211,15780,11.290%,6.452%,14.516%,64.516%,3.226%,0.000000%,11.538%,7.018%,0.000%,0.000%
1212,15781,24.324%,16.216%,18.919%,24.324%,8.108%,51.851852%,0.000%,16.667%,51.852%,66.667%
1213,15784,0.000%,0.000%,5.263%,5.263%,5.263%,73.684%,10.526%,0.000000%,0.000%,25.000%
1214,15823,4.428%,13.284%,7.380%,10.517%,59.041%,4.797%,0.000%,0.554%,18.433180%,7.729%
1215,15824,0.915%,1.525%,3.539%,9.396%,11.653%,12.203%,50.946%,7.383%,2.441%,0.000%
1216,15825,1.383%,1.291%,3.689%,10.913%,8.515%,12.788%,50.015%,8.792%,2.152%,0.461%
1217,15828,2.326%,9.302%,17.829%,23.256%,39.535%,5.426%,2.326%,0.000%,12.500000%,7.071%
1218,15829,0.000%,1.232%,1.437%,3.285%,17.043%,15.606%,55.031%,3.696%,2.464%,0.205%
1219,15840,0.000%,2.540%,9.358%,12.032%,16.043%,55.481%,3.075%,1.070%,0.401%,13.270142%
1220,15847,8.140%,6.977%,46.512%,33.721%,4.651%,0.000000%,9.091%,0.000%,0.000%,0.000%
1221,15851,0.385%,0.556%,2.566%,7.827%,8.298%,13.259%,57.186%,5.261%,4.063%,0.599%
1222,15853,0.344%,0.344%,3.694%,10.653%,12.156%,20.576%,46.692%,4.725%,0.430%,0.387%
1223,15860,0.000%,6.993%,9.324%,2.797%,10.256%,59.907%,8.159%,2.098%,0.466%,11.650485%
1224,15863,3.333%,4.444%,20.000%,54.444%,14.444%,3.333%,10.344828%,0.000%,2.344%,10.345%
1225,15864,0.323%,0.808%,2.746%,15.670%,7.431%,10.178%,51.050%,8.724%,3.069%,8.805031%
1226,15865,0.000%,0.427%,5.769%,5.128%,12.393%,17.094%,46.154%,7.906%,4.701%,0.427%
1227,16217,10.000%,10.000%,12.500%,12.500%,55.000%,0.000%,0.000%,40.000000%,19.355%,14.286%
1228,16222,0.248%,2.602%,9.913%,6.691%,13.259%,49.318%,7.435%,10.161%,0.372%,20.673077%
1229,16240,1.411%,0.403%,0.605%,3.831%,6.653%,4.032%,69.556%,9.476%,3.024%,1.008%
1230,15829,0.000%,1.232%,1.437%,3.285%,17.043%,15.606%,55.031%,3.696%,2.464%,0.205%
1231,15860,0.000%,6.993%,9.324%,2.797%,10.256%,59.907%,8.159%,2.098%,0.466%,11.650485%
1232,15864,0.323%,0.808%,2.746%,15.670%,7.431%,10.178%,51.050%,8.724%,3.069%,8.805031%
1233,16028,0.284%,0.711%,2.845%,11.095%,6.117%,14.367%,53.058%,7.966%,0.000%,3.556%
1234,16036,1.389%,20.833%,9.722%,1.389%,6.944%,45.833%,13.889%,38.888889%,5.797%,12.500%
1235,16049,3.145%,7.123%,5.735%,15.171%,54.024%,10.731%,2.775%,1.295%,14.330218%,4.054%
1236,16054,2.685%,6.040%,8.054%,18.792%,48.993%,12.081%,3.356%,13.888889%,2.128%,4.167%
1237,16213,0.000%,28.571%,59.184%,2.041%,10.204%,0.000000%,0.000%,0.000%,0.000%,0.000%
1238,16214,3.619%,3.816%,9.756%,19.434%,7.789%,14.634%,31.275%,8.025%,1.574%,0.079%
1239,16224,0.937%,0.937%,2.576%,7.260%,9.368%,7.026%,51.054%,17.330%,3.044%,0.468%
1240,16230,5.085%,3.390%,4.237%,11.864%,59.322%,14.407%,1.695%,0.000%,2.564103%,1.905%
1241,16232,0.929%,0.786%,5.289%,9.221%,8.863%,11.079%,51.823%,8.863%,2.931%,0.214%
1242,16233,2.041%,1.134%,8.844%,9.751%,8.163%,12.698%,44.218%,11.338%,0.907%,0.907%
1243,16235,0.418%,0.628%,2.929%,5.858%,14.226%,7.531%,56.276%,11.088%,1.046%,0.000%
1244,16240,1.411%,0.403%,0.605%,3.831%,6.653%,4.032%,69.556%,9.476%,3.024%,1.008%
1245,16242,1.066%,0.502%,4.765%,9.154%,8.464%,7.398%,52.602%,11.348%,4.451%,0.251%
1246,16248,0.000%,4.028%,6.582%,9.430%,9.430%,57.564%,8.350%,4.617%,0.000%,17.663818%
1247,16254,1.781%,2.205%,5.089%,15.691%,6.870%,14.080%,46.141%,5.513%,2.629%,0.000%
1248,16255,0.318%,0.636%,2.544%,9.698%,9.221%,11.288%,54.849%,4.452%,5.564%,1.431%
1249,16258,0.663%,1.493%,9.453%,7.297%,21.559%,42.123%,13.267%,3.814%,0.332%,8.333333%
1250,16260,3.053%,6.107%,18.321%,6.107%,16.031%,50.382%,0.000%,28.571429%,0.000%,3.333%
1251,16319,5.172%,6.466%,6.466%,14.224%,64.224%,3.448%,0.000%,13.609467%,3.559%,5.585%
1252,16326,5.161%,4.516%,5.806%,12.258%,68.387%,3.871%,35.185185%,0.000%,13.475%,35.185%
1253,16331,10.000%,13.333%,10.000%,66.667%,0.000%,100.000000%,10.914%,16.865%,21.391%,11.111%
1254,16332,0.000%,100.000%,0.000%,0.000000%,10.914%,16.865%,25.668%,0.000000%,-26.315789%,0.000000%
1255,16334,0.000%,0.000%,11.111%,5.983%,18.803%,51.282%,2.564%,10.256%,19.565217%,0.000%
1256,16353,1.180%,0.295%,3.933%,10.226%,6.293%,14.061%,44.543%,12.291%,6.883%,0.295%
1257,16361,0.000%,10.811%,16.216%,45.946%,13.514%,13.514%,0.000000%,10.914%,16.865%,25.668%
1258,16364,3.052%,9.390%,5.869%,16.901%,50.235%,5.164%,7.981%,1.408%,14.361702%,4.865%
1259,16373,0.555%,0.462%,2.957%,11.553%,9.889%,16.543%,47.967%,6.100%,3.882%,0.092%
1260,18403,2.235%,3.769%,6.529%,17.441%,14.242%,18.712%,32.296%,3.681%,0.219%,0.876%
1261,18407,0.368%,1.256%,3.659%,10.803%,8.162%,16.410%,47.002%,8.119%,2.620%,1.602%
1262,18411,3.934%,5.704%,11.666%,26.395%,8.317%,14.103%,25.510%,3.648%,0.558%,0.163%
1263,18414,1.893%,4.942%,8.623%,20.978%,7.308%,16.877%,33.807%,3.996%,1.157%,0.421%
1264,18419,0.718%,1.568%,4.442%,16.003%,7.446%,15.676%,45.983%,6.532%,1.372%,0.261%
1265,18420,100.000%,0.000%,0.000000%,10.914%,16.865%,25.668%,0.000000%,0.000000%,100.000000%,0.000000%
1266,18421,0.444%,1.498%,2.607%,12.257%,8.264%,16.528%,46.866%,7.044%,3.661%,0.832%
1267,18424,0.944%,0.892%,6.768%,16.159%,8.132%,19.203%,38.248%,6.768%,1.574%,1.312%
1268,18433,1.258%,0.738%,2.733%,21.735%,11.757%,12.495%,42.993%,5.076%,0.694%,0.521%
1269,18434,0.079%,1.108%,2.534%,25.970%,10.135%,20.032%,31.433%,5.859%,2.850%,28.519856%
1270,18436,1.789%,1.502%,6.890%,13.295%,7.310%,19.965%,40.658%,6.272%,0.883%,1.436%
1271,18444,1.130%,1.686%,5.592%,15.943%,11.223%,16.121%,39.342%,7.773%,0.773%,0.416%
1272,18446,0.319%,1.036%,4.223%,9.402%,6.375%,14.900%,49.960%,11.633%,0.558%,1.594%
1273,18447,2.125%,0.699%,3.040%,13.936%,14.393%,21.926%,38.956%,2.045%,1.022%,1.856%
1274,18452,1.421%,1.023%,4.548%,13.076%,18.135%,17.453%,38.943%,4.491%,0.227%,0.682%
1275,18471,13.043%,9.179%,51.208%,2.415%,3.382%,16.425%,50.000000%,29.032%,42.358%,50.000%
1276,18503,2.265%,5.663%,2.265%,19.579%,2.751%,9.547%,39.806%,8.414%,6.958%,2.751%
1277,18504,0.923%,1.093%,3.755%,12.127%,8.864%,20.745%,40.259%,9.634%,1.354%,1.247%
1278,18505,0.779%,1.603%,4.518%,16.623%,6.472%,18.516%,33.934%,11.830%,4.289%,1.435%
1279,18507,1.711%,9.198%,21.604%,7.273%,20.856%,28.342%,5.882%,5.134%,0.000%,29.109589%
1280,18508,1.048%,0.869%,1.636%,12.478%,6.546%,21.836%,44.567%,7.671%,2.403%,0.946%
1281,18509,1.160%,2.272%,5.850%,20.063%,6.696%,14.092%,35.968%,9.669%,3.312%,0.919%
1282,18510,1.282%,3.096%,6.433%,21.016%,5.756%,13.229%,30.012%,12.285%,3.071%,3.821%
1283,18512,1.251%,1.516%,7.267%,16.145%,13.114%,19.346%,34.071%,6.015%,0.722%,0.553%
1284,18517,0.916%,3.492%,16.714%,3.606%,12.536%,48.140%,13.623%,0.973%,0.000%,27.167630%
1285,18518,0.550%,2.038%,4.659%,13.976%,14.105%,19.767%,37.496%,6.438%,0.582%,0.388%
1286,18519,0.062%,0.000%,8.603%,13.591%,10.224%,21.259%,37.656%,5.860%,1.933%,0.810%
1287,18615,0.459%,0.766%,2.603%,11.792%,8.423%,16.080%,50.689%,5.819%,3.369%,15.428571%
1288,18641,0.000%,1.266%,7.162%,15.022%,9.170%,17.293%,41.223%,7.729%,0.524%,0.611%
1289,18653,15.625%,0.000%,18.750%,65.625%,0.000%,0.000000%,0.000%,0.000%,0.000%,0.000%
1290,07881,13.268544%,11.614335%,6.079483%,38.119717%,34.410577%,33.644618%,18.683062%,4.537015%,3.929490%,3.318932%
1291,18302,1.166%,0.135%,7.315%,13.871%,8.346%,23.298%,35.783%,7.484%,2.179%,0.422%
1292,18324,0.740%,2.786%,5.642%,6.982%,7.793%,25.353%,35.896%,10.437%,3.632%,0.740%
1293,18325,0.000%,0.722%,8.359%,18.266%,7.534%,21.775%,37.049%,6.295%,23.121387%,12.010%
1294,18328,1.711%,1.265%,3.609%,11.496%,7.813%,25.670%,32.403%,13.579%,2.046%,0.409%
1295,18336,1.244%,1.555%,7.621%,15.552%,4.977%,24.184%,34.914%,6.610%,2.644%,0.700%
1296,18337,0.775%,1.252%,8.249%,16.001%,6.361%,22.302%,37.925%,4.631%,1.053%,1.451%
1297,18340,13.333%,35.000%,0.000%,5.000%,25.000%,13.333%,8.333%,0.000000%,0.000%,8.197%
1298,18371,25.436%,11.498%,4.530%,40.418%,40.217391%,21.311%,10.000%,40.217%,0.000%,0.000%
1299,18405,0.000%,0.000%,4.666%,5.090%,10.498%,25.875%,44.433%,7.741%,0.954%,0.742%
1300,18425,1.426%,1.018%,3.462%,7.943%,6.517%,38.086%,30.957%,4.684%,4.481%,1.426%
1301,18426,0.496%,1.798%,4.650%,18.599%,9.981%,15.809%,42.653%,6.014%,0.000%,10.374640%
1302,18428,0.849%,1.721%,4.917%,13.053%,6.460%,23.201%,41.350%,6.616%,1.408%,0.425%
1303,18435,1.987%,17.219%,15.894%,2.649%,29.139%,27.152%,5.960%,37.313433%,10.762%,27.523%
1304,18445,0.672%,1.248%,8.733%,16.411%,4.127%,14.683%,46.257%,4.894%,0.672%,2.303%
1305,18451,1.660%,6.224%,10.373%,24.066%,6.639%,19.087%,19.917%,12.033%,0.000000%,16.327%
1306,18457,62.791%,17.442%,0.000000%,0.000%,0.000%,0.000%,0.000%,100.000%,58.064516%,17.441860%
1307,18458,0.812%,1.354%,6.408%,15.253%,12.996%,25.632%,26.264%,9.296%,1.534%,0.451%
1308,18460,2.703%,16.216%,6.757%,4.054%,0.000%,17.568%,27.027%,20.270%,5.405%,100.000000%
1309,18464,5.482%,0.000%,3.970%,20.038%,10.397%,25.331%,26.276%,4.726%,1.512%,2.268%
1310,19003,3.691%,8.853%,15.162%,28.953%,5.411%,14.663%,16.733%,2.494%,1.845%,2.195%
1311,19008,2.120%,2.596%,10.181%,24.439%,6.293%,18.853%,27.960%,3.765%,2.936%,0.856%
1312,19010,8.352%,20.533%,20.252%,30.312%,2.215%,8.258%,8.559%,0.676%,0.619%,0.225%
1313,19013,0.273%,0.536%,1.142%,6.154%,4.042%,17.472%,47.928%,15.158%,3.840%,3.456%
1314,19014,0.558%,2.368%,9.819%,14.691%,9.427%,16.184%,39.789%,4.796%,0.860%,1.508%
1315,19015,0.639%,2.237%,5.827%,14.850%,5.865%,18.477%,36.767%,12.500%,1.767%,1.071%
1316,19017,2.778%,2.778%,19.444%,12.963%,22.222%,39.815%,0.000%,84.210526%,4.082%,24.286%
1317,19018,1.358%,0.666%,5.353%,17.195%,6.006%,19.990%,39.862%,6.724%,1.776%,1.071%
1318,19022,3.648%,5.961%,9.964%,16.726%,50.712%,7.295%,3.470%,2.224%,2.591793%,7.592%
1319,19023,0.203%,0.743%,3.834%,11.941%,8.022%,20.537%,44.469%,8.022%,1.368%,0.861%
1320,19026,2.377%,2.407%,8.341%,25.362%,7.352%,18.689%,30.646%,3.177%,1.648%,0.000%
1321,19029,0.076%,0.380%,1.367%,9.112%,8.276%,22.855%,51.481%,4.328%,1.291%,0.835%
1322,19032,0.000%,0.792%,3.912%,12.948%,8.384%,12.622%,51.467%,9.874%,0.000%,26.606426%
1323,19033,0.278%,0.347%,3.332%,20.722%,5.415%,21.069%,42.312%,5.831%,0.417%,0.278%
1324,19036,0.179%,1.098%,3.540%,16.065%,6.251%,16.177%,46.673%,8.783%,1.232%,0.000%
1325,19041,9.274%,19.665%,29.609%,24.749%,2.291%,6.592%,7.207%,0.615%,0.000%,0.000%
1326,19043,0.000%,3.700%,15.234%,3.591%,26.986%,41.785%,8.705%,37.621359%,0.000%,7.500%
1327,19050,2.056%,1.343%,6.314%,16.572%,8.770%,20.068%,36.833%,5.637%,1.754%,0.653%
1328,19060,3.602%,5.363%,13.651%,31.230%,4.469%,17.362%,22.589%,0.217%,0.542%,0.975%
1329,19061,0.462%,0.412%,3.480%,11.150%,7.818%,17.450%,46.347%,9.847%,1.435%,1.600%
1330,19063,4.118%,6.992%,15.321%,31.504%,6.384%,15.405%,16.792%,2.486%,0.457%,0.541%
1331,19064,1.538%,3.858%,12.462%,26.722%,6.899%,20.734%,22.663%,4.095%,0.331%,0.698%
1332,19070,1.612%,1.525%,10.414%,22.919%,8.976%,15.294%,28.889%,8.453%,1.307%,0.610%
1333,19073,5.103%,7.829%,17.197%,31.607%,6.748%,12.567%,16.359%,2.148%,0.107%,0.335%
1334,19074,2.638%,0.000%,2.486%,13.749%,11.314%,16.185%,47.184%,4.718%,1.319%,0.406%
1335,19076,1.393%,0.789%,2.136%,13.510%,8.217%,23.073%,39.090%,11.467%,0.000%,0.325%
1336,19078,1.033%,0.529%,5.166%,17.465%,8.266%,19.834%,38.760%,7.460%,1.310%,0.176%
1337,19079,0.270%,0.309%,1.505%,11.694%,5.249%,19.529%,55.538%,4.554%,0.772%,0.579%
1338,19081,4.544%,9.868%,15.429%,30.214%,3.900%,8.986%,24.788%,2.204%,0.000%,0.068%
1339,19082,1.065%,0.633%,6.118%,15.590%,6.184%,19.211%,34.360%,7.733%,5.194%,3.912%
1340,19083,3.232%,4.465%,13.445%,31.017%,5.805%,15.377%,22.169%,2.911%,1.365%,0.214%
1341,19085,8.804%,16.957%,21.359%,35.707%,2.554%,6.902%,7.337%,0.000%,0.054%,0.326%
1342,19086,8.906%,6.402%,14.120%,29.995%,5.214%,15.075%,18.018%,1.652%,0.155%,0.465%
1343,19087,5.841%,10.931%,24.837%,35.819%,3.230%,8.137%,8.178%,2.377%,0.508%,0.142%
1344,19094,0.000%,1.862%,8.068%,5.043%,24.670%,46.315%,9.930%,4.112%,0.000%,12.230216%
1345,19096,16.322%,20.976%,18.388%,30.806%,2.497%,6.788%,3.610%,0.409%,0.204%,0.000%
1346,19113,15.556%,0.000%,11.111%,57.778%,15.556%,20.000000%,0.000%,0.000%,20.000%,0.000%
1347,19312,8.173%,10.907%,26.307%,37.635%,2.576%,5.204%,7.280%,0.683%,0.657%,0.578%
1348,19317,10.436%,11.749%,19.561%,27.495%,3.967%,12.786%,13.183%,0.153%,0.610%,0.061%
1349,19319,0.000%,36.364%,48.052%,22.500000%,10.914%,16.865%,25.668%,0.000%,100.000000%,0.000000%
1350,19342,4.901%,5.648%,16.627%,34.161%,3.087%,13.413%,19.602%,1.193%,0.446%,0.923%
1351,19373,3.399%,4.483%,5.813%,17.438%,2.808%,12.020%,34.433%,15.911%,3.350%,0.345%
1352,19382,4.661%,6.373%,15.129%,33.486%,5.488%,12.504%,18.212%,2.753%,1.070%,0.324%
1353,17756,0.884%,2.045%,3.676%,16.777%,11.526%,14.815%,37.977%,8.485%,3.261%,0.553%
1354,17772,0.000%,0.500%,5.125%,5.875%,10.500%,12.375%,48.625%,10.500%,5.875%,0.625%
1355,17777,0.163%,1.019%,3.057%,7.705%,8.357%,13.698%,53.649%,6.196%,5.137%,1.019%
1356,17815,2.763%,2.577%,6.559%,14.372%,6.687%,17.216%,38.879%,8.858%,1.718%,0.371%
1357,17820,0.827%,0.827%,4.085%,17.632%,10.393%,14.736%,44.157%,5.895%,1.241%,0.207%
1358,17821,2.647%,6.006%,6.704%,16.878%,5.737%,12.345%,40.333%,6.815%,1.902%,0.634%
1359,17822,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1360,17847,0.173%,1.090%,2.304%,11.174%,7.830%,12.190%,51.511%,8.845%,4.237%,0.644%
1361,17884,2.469%,0.000%,1.235%,9.877%,65.432%,9.877%,11.111%,8.928571%,0.000%,0.000%
1362,18407,0.368%,1.256%,3.659%,10.803%,8.162%,16.410%,47.002%,8.119%,2.620%,1.602%
1363,18413,7.576%,0.000%,68.182%,24.242%,0.000000%,0.000%,0.000%,0.000%,0.000%,100.000%
