,County,Doctorate M,Professional M,Masters M,Bachelor M,Associate M,Some College M,High School M,Some HS M,Less than HS M,None M
736,16624,0.000%,1.429%,0.000%,8.571%,4.286%,18.571%,60.000%,4.286%,2.857%,2.564103%
737,16627,0.374%,0.623%,1.746%,8.479%,9.850%,13.591%,54.364%,6.858%,2.618%,1.496%
738,16630,0.518%,0.962%,5.774%,10.437%,9.623%,15.396%,49.297%,6.884%,1.110%,0.000%
739,16636,0.678%,2.373%,10.169%,7.458%,7.797%,65.763%,4.407%,1.356%,0.000%,20.879121%
740,16639,2.578%,6.446%,5.341%,9.576%,69.613%,4.604%,1.842%,17.424242%,5.442%,4.175%
741,16640,4.000%,9.455%,9.455%,11.636%,58.182%,4.000%,3.273%,12.500000%,2.235%,12.690%
742,16641,1.218%,0.332%,0.886%,7.530%,8.416%,13.289%,62.458%,4.540%,1.329%,0.000%
743,16646,0.000%,0.929%,3.600%,10.569%,12.079%,11.731%,52.613%,7.085%,1.161%,0.232%
744,16668,0.680%,1.133%,3.323%,8.761%,10.121%,9.668%,56.647%,4.456%,4.532%,0.680%
745,16699,0.000%,0.000%,15.767%,100.000%,0.000000%,14.811276%,12.313400%,9.527493%,34.780899%,29.333279%
746,15821,7.042%,4.225%,16.901%,42.254%,26.761%,2.817%,17.647059%,7.547%,13.559%,17.647%
747,15823,4.428%,13.284%,7.380%,10.517%,59.041%,4.797%,0.000%,0.554%,18.433180%,7.729%
748,15827,21.053%,19.737%,22.368%,22.368%,6.579%,7.895%,0.000000%,0.000%,29.091%,0.000%
749,15832,2.143%,11.429%,5.714%,12.857%,55.000%,10.000%,1.429%,1.429%,0.000000%,3.704%
750,15841,17.241%,0.000%,0.000%,64.368%,13.793%,4.598%,17.187500%,0.000%,15.625%,17.188%
751,15845,0.266%,0.443%,1.329%,6.466%,13.906%,10.009%,57.130%,4.872%,3.986%,1.594%
752,15846,2.329%,13.824%,13.974%,5.635%,53.193%,7.739%,2.254%,1.052%,28.964059%,3.178%
753,15853,0.344%,0.344%,3.694%,10.653%,12.156%,20.576%,46.692%,4.725%,0.430%,0.387%
754,15857,0.526%,1.534%,3.791%,14.768%,10.057%,11.306%,49.343%,5.434%,1.753%,1.490%
755,15860,0.000%,6.993%,9.324%,2.797%,10.256%,59.907%,8.159%,2.098%,0.466%,11.650485%
756,15868,0.000%,0.000%,5.657%,11.313%,16.162%,16.566%,38.990%,9.293%,0.808%,1.212%
757,15870,1.075%,0.000%,5.376%,9.032%,9.247%,9.462%,61.720%,3.226%,0.860%,20.979021%
758,16728,76.471%,23.529%,0.000000%,10.914%,16.865%,25.668%,0.000000%,50.000000%,0.000000%,17.514124%
759,16734,6.796%,4.854%,11.650%,6.796%,56.311%,11.650%,1.942%,23.809524%,0.000%,6.667%
760,16735,0.725%,1.112%,3.530%,10.493%,8.269%,11.267%,55.561%,7.253%,1.257%,0.532%
761,18036,3.909%,2.910%,9.555%,21.824%,9.207%,14.636%,30.185%,5.668%,1.390%,0.717%
762,18041,1.358%,0.849%,7.980%,14.997%,10.866%,21.902%,35.427%,5.150%,0.283%,1.188%
763,18054,1.723%,1.340%,6.126%,15.699%,7.275%,19.081%,41.098%,5.871%,1.595%,0.191%
764,18055,0.692%,1.362%,9.162%,14.978%,7.108%,22.317%,34.433%,7.039%,1.892%,1.015%
765,18073,0.781%,2.830%,9.629%,15.745%,6.116%,15.647%,40.956%,5.563%,2.049%,0.683%
766,18077,3.924%,0.595%,8.086%,24.614%,6.421%,17.122%,36.029%,3.210%,0.000%,22.540984%
767,18081,0.000%,0.000%,49.485%,17.526%,32.990%,-100.000000%,-100.000000%,100.000%,0.000000%,75.384615%
768,18901,3.531%,4.471%,11.334%,29.218%,4.868%,16.547%,24.642%,4.210%,0.971%,0.209%
769,18902,4.257%,3.861%,20.009%,34.821%,6.078%,14.166%,14.269%,1.497%,0.851%,0.191%
770,18912,0.000%,100.000%,0.000000%,10.914%,16.865%,21.391%,100.000000%,0.000000%,0.000000%,11.614335%
771,18913,36.066%,26.230%,816.292046%,-100.000000%,100.000%,100.000000%,0.000000%,13.020590%,10.459911%,3.328360%
772,18914,3.621%,2.506%,13.398%,32.242%,7.039%,16.527%,20.351%,3.158%,0.550%,0.608%
773,18917,0.695%,0.000%,4.312%,24.061%,4.590%,22.392%,27.677%,5.424%,9.597%,1.252%
774,18920,35.593%,19.774%,40.113%,100.000000%,45.833%,13.095%,100.000%,0.000%,0.000%,22.222%
775,18923,0.000%,0.000%,16.667%,33.730%,4.762%,17.460%,19.444%,7.937%,42.335766%,0.000%
776,18925,0.349%,0.874%,23.285%,28.266%,2.141%,19.878%,20.489%,4.107%,0.612%,0.000%
777,18929,3.238%,5.801%,10.107%,35.765%,5.196%,16.797%,20.285%,1.388%,0.641%,0.783%
778,18930,2.388%,5.062%,5.349%,24.164%,3.629%,17.574%,32.569%,8.309%,0.955%,0.000%
779,18932,4.082%,4.082%,17.347%,16.327%,5.612%,38.776%,13.776%,57.471264%,10.914%,16.865%
780,18935,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
781,18938,5.524%,4.109%,18.321%,32.691%,5.032%,18.459%,13.132%,2.025%,0.157%,0.550%
