,county,zipcode
467,Berks-County,19560
468,Berks-County,19562
469,Berks-County,19564
470,Berks-County,19565
471,Berks-County,19567
472,Berks-County,19601
473,Berks-County,19602
474,Berks-County,19604
475,Berks-County,19605
476,Berks-County,19606
477,Berks-County,19607
478,Berks-County,19608
479,Berks-County,19609
480,Berks-County,19610
481,Berks-County,19611
482,Forest-County,15828
483,Forest-County,16217
484,Forest-County,16239
485,Forest-County,16321
486,Forest-County,16322
487,Forest-County,16341
488,Forest-County,16347
489,Forest-County,16351
490,Forest-County,16353
491,Forest-County,16370
492,Lackawanna-County,18403
493,Lackawanna-County,18407
494,Lackawanna-County,18411
495,Lackawanna-County,18414
496,Lackawanna-County,18419
497,Lackawanna-County,18420
498,Lackawanna-County,18421
499,Lackawanna-County,18424
500,Lackawanna-County,18433
501,Lackawanna-County,18434
502,Lackawanna-County,18436
503,Lackawanna-County,18444
504,Lackawanna-County,18446
505,Lackawanna-County,18447
506,Lackawanna-County,18452
507,Lackawanna-County,18471
508,Lackawanna-County,18503
509,Lackawanna-County,18504
510,Lackawanna-County,18505
511,Lackawanna-County,18507
512,Lackawanna-County,18508
513,Lackawanna-County,18509
514,Lackawanna-County,18510
515,Lackawanna-County,18512
516,Lackawanna-County,18517
517,Lackawanna-County,18518
518,Lackawanna-County,18519
519,Lackawanna-County,18615
520,Lackawanna-County,18641
521,Lackawanna-County,18653
522,Delaware-County,19003
523,Delaware-County,19008
524,Delaware-County,19010
525,Delaware-County,19013
526,Delaware-County,19014
527,Delaware-County,19015
528,Delaware-County,19017
529,Delaware-County,19018
530,Delaware-County,19022
531,Delaware-County,19023
532,Delaware-County,19026
533,Delaware-County,19029
534,Delaware-County,19032
535,Delaware-County,19033
536,Delaware-County,19036
537,Delaware-County,19041
538,Delaware-County,19043
539,Delaware-County,19050
540,Delaware-County,19060
541,Delaware-County,19061
542,Delaware-County,19063
543,Delaware-County,19064
544,Delaware-County,19070
545,Delaware-County,19073
546,Delaware-County,19074
547,Delaware-County,19076
548,Delaware-County,19078
549,Delaware-County,19079
550,Delaware-County,19081
551,Delaware-County,19082
552,Delaware-County,19083
553,Delaware-County,19085
554,Delaware-County,19086
555,Delaware-County,19087
556,Delaware-County,19094
557,Delaware-County,19096
558,Delaware-County,19113
559,Delaware-County,19312
560,Delaware-County,19317
561,Delaware-County,19319
562,Delaware-County,19342
563,Delaware-County,19373
564,Delaware-County,19382
565,Snyder-County,17045
566,Snyder-County,17063
567,Snyder-County,17086
568,Snyder-County,17812
569,Snyder-County,17813
570,Snyder-County,17827
571,Snyder-County,17841
572,Snyder-County,17842
573,Snyder-County,17853
574,Snyder-County,17861
575,Snyder-County,17862
576,Snyder-County,17864
577,Snyder-County,17870
578,Snyder-County,17876
579,Snyder-County,17889
580,Carbon-County,18030
581,Carbon-County,18058
582,Carbon-County,18071
583,Carbon-County,18201
584,Carbon-County,18210
585,Carbon-County,18211
586,Carbon-County,18212
587,Carbon-County,18216
588,Carbon-County,18229
589,Carbon-County,18230
590,Carbon-County,18232
591,Carbon-County,18235
592,Carbon-County,18237
593,Carbon-County,18240
594,Carbon-County,18244
595,Carbon-County,18250
596,Carbon-County,18254
597,Carbon-County,18255
598,Carbon-County,18610
599,Carbon-County,18624
600,Carbon-County,18661
601,Lancaster-County,17022
602,Lancaster-County,17073
603,Lancaster-County,17501
604,Lancaster-County,17502
605,Lancaster-County,17505
606,Lancaster-County,17507
607,Lancaster-County,17508
608,Lancaster-County,17509
609,Lancaster-County,17512
610,Lancaster-County,17516
611,Lancaster-County,17517
612,Lancaster-County,17518
613,Lancaster-County,17519
614,Lancaster-County,17520
615,Lancaster-County,17522
616,Lancaster-County,17527
617,Lancaster-County,17529
618,Lancaster-County,17532
619,Lancaster-County,17535
620,Lancaster-County,17536
621,Lancaster-County,17538
622,Lancaster-County,17540
623,Lancaster-County,17543
624,Lancaster-County,17545
625,Lancaster-County,17547
626,Lancaster-County,17550
627,Lancaster-County,17551
628,Lancaster-County,17552
629,Lancaster-County,17554
630,Lancaster-County,17555
631,Lancaster-County,17557
632,Lancaster-County,17560
633,Lancaster-County,17562
634,Lancaster-County,17563
635,Lancaster-County,17565
636,Lancaster-County,17566
637,Lancaster-County,17569
638,Lancaster-County,17570
639,Lancaster-County,17572
640,Lancaster-County,17576
641,Lancaster-County,17578
642,Lancaster-County,17579
643,Lancaster-County,17581
644,Lancaster-County,17582
645,Lancaster-County,17584
646,Lancaster-County,17601
647,Lancaster-County,17602
648,Lancaster-County,17603
