,School Number,School,% Advanced,% Proficient,% Basic,% Below Basic,School Name,Assaults on Staff,Assaults on Students,Conduct OSS,county,enrollment
71,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln El Sch,0.0,0.0,0.0,Allegheny,328.0
72,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln El Sch,0.0,0.0,0.0,Allegheny,305.0
73,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln El Sch,0.0,0.0,0.0,Allegheny,344.0
74,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln El Sch,0.0,0.0,0.0,Allegheny,316.0
75,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln EL School,0.0,0.0,4.0,Allegheny,350.0
76,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln EL School,0.0,0.0,0.0,Allegheny,343.0
77,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln EL School,0.0,0.0,0.0,Allegheny,365.0
78,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln El Sch,0.0,0.0,0.0,Allegheny,330.0
79,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln El Sch,0.0,0.0,0.0,Allegheny,327.0
80,4802,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01,Abraham Lincoln El Sch,0.0,0.0,0.0,Allegheny,287.0
81,8203,ACADEMY AT WESTINGHOUSE,0.0,6.61,25.92,67.43,Acadamy at Westinghouse,0.0,0.0,436.0,Allegheny,574.0
82,8203,ACADEMY AT WESTINGHOUSE,0.0,6.61,25.92,67.43,Acadamy at Westinghouse,0.0,0.0,337.0,Allegheny,489.0
83,8203,ACADEMY AT WESTINGHOUSE,0.0,6.61,25.92,67.43,Academy at Westinghouse,0.0,0.0,176.0,Allegheny,490.0
84,8203,ACADEMY AT WESTINGHOUSE,0.0,6.61,25.92,67.43,Acadamy at Westinghouse,0.0,0.0,277.0,Allegheny,443.0
85,8203,ACADEMY AT WESTINGHOUSE,0.0,6.61,25.92,67.43,Acadamy at Westinghouse,0.0,0.0,673.0,Allegheny,617.0
86,8203,ACADEMY AT WESTINGHOUSE,0.0,6.61,25.92,67.43,Academy at Westinghouse,0.0,0.0,0.0,Allegheny,684.0
87,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43,Achievement House CS,0.0,0.0,0.0,Chester,802.0
88,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43,Achievement House CS,0.0,0.0,0.0,Montgomery,274.0
89,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43,Achievement House CS,0.0,0.0,0.0,Chester,930.0
90,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43,Achievement House CS,0.0,0.0,0.0,Montgomery,272.0
91,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43,Achievement House CS,0.0,0.0,0.0,Montgomery,304.0
92,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43,Achievement House CS,0.0,0.0,0.0,Montgomery,332.0
93,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43,Achievement House CS,0.0,0.0,0.0,Montgomery,267.0
94,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43,Achievement House CS,0.0,0.0,0.0,Chester,531.0
95,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43,Achievement House CS,0.0,0.0,0.0,Montgomery,536.0
96,7824,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43,Achievement House CS,0.0,0.0,1.0,Chester,458.0
97,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary Sch,0.0,0.0,0.0,Allegheny,303.0
98,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary School,0.0,0.0,0.0,Allegheny,304.0
99,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary Sch,0.0,0.0,0.0,Allegheny,301.0
100,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary Sch,0.0,0.0,0.0,Allegheny,279.0
101,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary Sch,0.0,0.0,0.0,Allegheny,302.0
102,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary Sch,0.0,0.0,0.0,Allegheny,279.0
103,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary School,0.0,0.0,0.0,Allegheny,304.0
104,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary School,0.0,0.0,0.0,Allegheny,321.0
105,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary School,0.0,0.0,2.0,Allegheny,303.0
106,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary Sch,0.0,0.0,0.0,Allegheny,311.0
107,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary Sch,0.0,0.0,0.0,Allegheny,302.0
108,5296,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55,Acmetonia Primary Sch,0.0,0.0,0.0,Allegheny,284.0
109,7825,AD PRIMA CS,8.09,32.29,33.55,26.11,Ad Prima CS,0.0,0.0,0.0,Philadelphia,407.0
110,7825,AD PRIMA CS,8.09,32.29,33.55,26.11,Ad Prima CS,0.0,0.0,0.0,Philadelphia,127.0
111,7825,AD PRIMA CS,8.09,32.29,33.55,26.11,Ad Prima CS,0.0,0.0,15.0,Philadelphia,539.0
112,7825,AD PRIMA CS,8.09,32.29,33.55,26.11,Ad Prima CS,0.0,0.0,0.0,Philadelphia,232.0
113,7825,AD PRIMA CS,8.09,32.29,33.55,26.11,Ad Prima CS,0.0,0.0,0.0,Philadelphia,164.0
114,7825,AD PRIMA CS,8.09,32.29,33.55,26.11,Ad Prima CS,0.0,0.0,0.0,Philadelphia,141.0
115,7825,AD PRIMA CS,8.09,32.29,33.55,26.11,Ad Prima CS,0.0,0.0,0.0,Philadelphia,186.0
116,7825,AD PRIMA CS,8.09,32.29,33.55,26.11,Ad Prima CS,0.0,0.0,0.0,Philadelphia,380.0
117,7825,AD PRIMA CS,8.09,32.29,33.55,26.11,Ad Prima CS,0.0,0.0,0.0,Philadelphia,329.0
118,7825,AD PRIMA CS,8.09,32.29,33.55,26.11,Ad Prima CS,0.0,0.0,24.0,Philadelphia,672.0
119,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander Sch,0.0,0.0,25.0,Philadelphia,404.0
120,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander School,0.0,0.0,11.0,Philadelphia,489.0
121,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander Sch,0.0,0.0,44.0,Philadelphia,378.0
122,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander Sch,0.0,0.0,10.0,Philadelphia,355.0
123,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander Sch,0.0,0.0,12.0,Philadelphia,438.0
124,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander Sch,0.0,0.0,8.0,Philadelphia,409.0
125,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander School,0.0,0.0,9.0,Philadelphia,457.0
126,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander School,0.0,0.0,11.0,Philadelphia,474.0
127,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander School,0.0,0.0,6.0,Philadelphia,410.0
128,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander Sch,0.0,0.0,29.0,Philadelphia,398.0
129,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander Sch,0.0,0.0,14.0,Philadelphia,427.0
130,7256,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48,Adaire Alexander Sch,0.0,0.0,2.0,Philadelphia,343.0
131,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown El Sch,0.0,0.0,6.0,Lancaster,410.0
132,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown EL School,0.0,0.0,0.0,Lancaster,430.0
133,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown El Sch,0.0,0.0,1.0,Lancaster,419.0
134,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown El Sch,0.0,0.0,6.0,Lancaster,436.0
135,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown El Sch,0.0,0.0,0.0,Lancaster,425.0
136,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown El Sch,0.0,0.0,2.0,Lancaster,431.0
137,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown EL School,0.0,0.0,1.0,Lancaster,417.0
138,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown EL School,0.0,0.0,0.0,Lancaster,432.0
139,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown EL School,0.0,0.0,0.0,Lancaster,414.0
140,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown El Sch,0.0,0.0,7.0,Lancaster,398.0
