,School Number,Cluster,County,School
803,5344,2,MONTGOMERY,HATFIELD EL SCH
683,6026,2,ALLEGHENY,FULTON ACADEMY OF SCIENCE
807,3955,2,SCHUYLKILL,HEGINS-HUBLEY EL SCH
2056,8128,2,ADAMS,VIDA CHARTER SCHOOL
852,674,2,BEAVER,HOPEWELL JHS
2059,8138,2,INDIANA,W A MCCREERY EL SCH
856,5337,2,LEBANON,HOUCK EL SCH
1973,7601,2,VENANGO,TITUSVILLE MS
1971,4847,2,DELAWARE,TINICUM SCH
1967,7833,2,WARREN,TIDIOUTE COMMUNITY CS
637,1287,2,CAMBRIA,FOREST HILLS MS
864,6364,2,LYCOMING,HUGHESVILLE JSHS
2055,6166,2,VENANGO,VICTORY EL SCH
1965,2590,2,LANCASTER,THOMAS WHARTON EL SCH
867,4700,2,FAYETTE,HUTCHINSON EL SCH
635,6419,2,SUSQUEHANNA,FOREST CITY REG HS
1964,1802,2,DAUPHIN,THOMAS W. HOLTZMAN JR. EL. SCH
871,7683,2,PHILADELPHIA,INDEPENDENCE CS
634,6420,2,SUSQUEHANNA,FOREST CITY REG EL
874,8062,2,MONTGOMERY,INDIAN CREST MS
1962,6633,2,NORTHAMPTON,THOMAS JEFFERSON EL
877,8182,2,MIFFLIN,INDIAN VALLEY EL SCH
878,8183,2,MIFFLIN,INDIAN VALLEY INTRMD SCH
866,5333,2,HUNTINGDON,HUNTINGDON AREA MS
650,3765,2,PHILADELPHIA,FOX CHASE SCH
845,532,2,ALLEGHENY,HOMEVILLE EL SCH
844,2331,2,INDIANA,HOMER-CENTER JSHS
1991,6638,2,WASHINGTON,TRINITY MS
674,8356,2,BEAVER,FREEDOM AREA MS
673,8357,2,BEAVER,FREEDOM AREA EL SCH
1988,3957,2,SCHUYLKILL,TRI-VALLEY JSHS
2045,6788,2,BUCKS,VALLEY EL SCH
1987,5320,2,DAUPHIN,TRI COMMUNITY EL SCH
667,7176,2,FAYETTE,FRAZIER MS
666,6686,2,FAYETTE,FRAZIER EL SCH
823,1736,2,YORK,HIGHLAND EL SCH
824,6558,2,BEAVER,HIGHLAND MS
825,1965,2,DELAWARE,HIGHLAND PARK EL SCH
663,8123,2,PHILADELPHIA,FRANKLIN TOWNE CHARTER EL SCH
662,6007,2,FAYETTE,FRANKLIN SCH
2049,7920,2,VENANGO,VALLEY GROVE ELEM SCHOOL
658,6984,2,VENANGO,FRANKLIN AREA MS
835,5322,2,DELAWARE,HILLTOP EL SCH
2051,7283,2,LACKAWANNA,VALLEY VIEW MS
837,2768,2,LEHIGH,HIRAM W DODD EL SCH
652,2474,2,LACKAWANNA,FRANCES WILLARD NO 32
842,927,2,BLAIR,HOLLIDAYSBURG AREA J
843,6797,2,INDIANA,HOMER-CENTER EL SCH
627,3092,2,MCKEAN,FLOYD FRETZ MD SCH
1028,1314,2,CARBON,LEHIGHTON AREA MS
372,3978,2,SOMERSET,CONEMAUGH TWP AREA J
423,1529,2,CLEARFIELD,CURWENSVILLE AREA JSHS
417,7395,2,YORK,CROSSROADS MS
348,5047,2,FAYETTE,CLIFFORD N PRITTS EL
416,3762,2,PHILADELPHIA,CROSSAN KENNEDY C SCH
1176,7901,2,DAUPHIN,MATH SCIENCE ACADEMY
1179,3769,2,PHILADELPHIA,MAYFAIR SCH
1180,7146,2,LACKAWANNA,MAYFIELD EL SCH
1181,4595,2,YORK,MAZIE GABLE EL SCH
2126,7896,2,ARMSTRONG,WEST HILLS INTERMEDIATE SCH
1264,2686,2,LAWRENCE,MOHAWK JSHS
406,3868,2,POTTER,COUDERSPORT AREA EL
1189,7734,2,FULTON,MCCONNELLSBURG MS
