,County,School,% Advanced,% Proficient,% Basic,% Below Basic
281,BUCKS,CENTRAL MIDDLE SCHOOL,25.39,43.26,23.4,7.95
282,CLINTON,CENTRAL MOUNTAIN MS,10.9,31.91,33.69,23.44
283,BLAIR,CENTRAL PENN DIGITAL LEARNING,2.41,22.57,29.87,45.19
284,BEAVER,CENTRAL VALLEY MS,17.76,38.17,28.09,15.97
285,YORK,CENTRAL YORK MS,18.81,34.64,26.43,20.14
286,CENTRE,CENTRE HALL-POTTER EL SCH,32.09,37.88,17.29,12.79
287,CENTRE,CENTRE LEARNING COMM CS,20.97,35.57,26.7,16.75
288,LEHIGH,CETRONIA SCH,38.8,41.28,15.0,4.87
289,CHESTER,CHADDS FORD EL SCH,54.99,35.29,7.79,1.93
290,DAUPHIN,CHAMBERS HILL EL,14.12,38.21,27.77,19.92
291,FRANKLIN,CHAMBERSBURG AREA MS,17.36,33.33,29.64,19.67
292,FRANKLIN,CHAMBERSBURG AREA MS - NORTH,18.57,32.77,28.17,20.49
293,WASHINGTON,CHARLEROI AREA EL CT,25.09,35.43,22.27,17.27
294,WASHINGTON,CHARLEROI AREA MS,13.06,34.16,28.9,23.92
295,WESTMORELAND,CHARLES A HUSTON MS,17.18,38.21,28.78,15.77
296,CHESTER,CHARLES F PATTON MS,46.53,36.27,13.1,4.15
297,BUCKS,CHARLES H BOEHM MS,28.26,36.01,22.43,13.3
298,DELAWARE,CHARLES KELLY ELEM SCHOOL,9.75,28.82,27.42,34.02
299,LACKAWANNA,CHARLES SUMNER NO18,15.33,29.46,33.36,21.93
300,PHILADELPHIA,CHARLES W HENRY SCH,6.95,26.81,33.77,32.44
301,BLAIR,CHARLES W LONGER EL,26.02,35.86,22.71,15.36
302,CHESTER,CHARLESTOWN EL SCH,40.15,41.07,14.91,3.96
303,ALLEGHENY,CHARTIERS VALLEY INT,28.49,40.71,19.89,10.91
304,ALLEGHENY,CHARTIERS VALLEY MS,18.96,36.04,28.93,16.07
305,WASHINGTON,CHARTIERS-HOUSTON JS,21.61,37.54,26.35,14.47
306,DELAWARE,CHATHAM PARK EL SCH,49.52,37.32,10.89,2.19
307,MONTGOMERY,CHELTENHAM EL SCH,28.46,37.22,19.65,14.71
308,PHILADELPHIA,CHESTER A ARTHUR,4.32,18.94,34.91,41.83
309,DELAWARE,CHESTER COMM CS,1.48,11.44,27.59,59.57
310,DELAWARE,CHESTER CS FOR THE ARTS,3.57,22.66,37.89,35.91
311,LUZERNE,CHESTER STREET EL SCH,30.67,33.08,20.7,15.55
312,DELAWARE,CHESTER UPLAND SCHOOL OF ARTS,2.5,13.67,30.27,53.61
313,ERIE,CHESTNUT HILL EL SCH,26.73,39.54,23.98,9.76
314,BEDFORD,CHESTNUT RIDGE MS,17.34,34.31,29.08,19.27
315,BEDFORD,CHESTNUT RIDGE SHS,15.5,35.93,29.03,19.57
316,DELAWARE,CHESTNUTWOLD ELEM SCH,40.66,40.12,16.17,3.02
317,DELAWARE,CHICHESTER MS,10.07,29.27,31.37,29.3
318,BUTLER,CHICORA EL SCH,13.21,38.07,33.55,15.17
319,NORTHUMBERLAND,CHIEF SHIKELLAMY SCH,14.63,36.69,35.7,12.98
320,PHILADELPHIA,CHILDS GEORGE W SCH,5.19,20.4,31.63,42.78
321,MONROE,CHIPPERFIELD EL SCH,21.63,39.97,26.75,11.65
322,SUSQUEHANNA,CHOCONUT VALLEY EL SCH,20.02,34.49,28.71,16.78
323,PHILADELPHIA,CHRISTOPHER COLUMBUS CS,14.76,38.6,30.57,16.12
324,BUCKS,CHURCHVILLE EL SCH,23.03,44.66,23.99,8.35
325,LEHIGH,CIRCLE OF SEASONS CS,9.81,31.39,30.07,28.74
326,ALLEGHENY,CLAIRTON EL SCH,3.89,22.11,29.81,44.26
327,ALLEGHENY,CLAIRTON MS/HS,3.71,19.45,38.6,38.29
328,ALLEGHENY,CLARA BARTON EL SCH,25.45,48.3,18.65,7.65
329,CLARION,CLARION AREA EL SCH,25.22,39.32,23.53,11.89
330,CLARION,CLARION AREA JSHS,11.7,36.73,28.9,22.68
331,CLARION,CLARION-LIMESTONE AR,18.16,47.48,25.82,8.62
332,CLARION,CLARION-LIMESTONE EL,32.78,38.8,18.51,9.91
333,FAYETTE,CLARK EL SCH,23.08,35.71,27.04,14.14
334,TIOGA,CLARK WOOD EL SCH,13.54,47.22,31.97,7.32
335,SCHUYLKILL,CLARKE EL CTR,23.89,35.13,24.52,16.53
336,LACKAWANNA,CLARKS SUMMIT EL SCH,28.07,44.68,19.06,8.17
337,LANCASTER,CLAY EL SCH,44.68,34.64,13.94,6.78
338,BLAIR,CLAYSBURG-KIMMEL EL,17.31,34.68,34.11,13.87
339,BLAIR,CLAYSBURG-KIMMEL HS,5.75,25.48,33.91,34.84
340,WASHINGTON,CLAYSVILLE EL SCH,18.41,41.68,24.98,14.94
341,MONROE,CLEAR RUN INTRMD SCH,11.41,29.6,33.36,25.58
342,CLEARFIELD,CLEARFIELD AREA EL SCH,17.98,36.63,28.75,16.64
343,CLEARFIELD,CLEARFIELD AREA JSHS,15.74,36.64,30.51,17.11
344,YORK,CLEARVIEW EL SCH,18.31,37.72,26.32,17.67
345,PHILADELPHIA,CLEMENTE ROBERTO MS,0.0,3.26,23.69,73.05
346,LANCASTER,CLERMONT EL SCH,23.24,40.01,22.95,13.79
347,LEHIGH,CLEVELAND EL SCH,11.21,31.61,31.21,26.02
348,FAYETTE,CLIFFORD N PRITTS EL,9.08,36.99,34.37,19.61
349,LANCASTER,COCALICO MS,15.96,36.69,31.35,15.99
350,LYCOMING,COCHRAN EL SCH,16.3,30.7,31.05,21.95
351,CRAWFORD,COCHRANTON AREA EL SCH,19.32,34.48,28.08,18.17
352,CRAWFORD,COCHRANTON AREA JSHS,24.36,26.93,26.94,21.75
353,DELAWARE,COEBOURN EL SCH,26.08,41.09,25.61,7.27
354,BUCKS,COLD SPRING EL SCH,45.97,38.02,11.89,4.12
355,MONTGOMERY,COLE MANOR EL SCH,26.7,34.96,23.98,14.27
356,BERKS,COLEBROOKDALE EL SCH,18.16,39.56,27.09,15.19
357,ALLEGHENY,COLFAX EL SCH,32.81,30.81,21.49,14.91
358,ALLEGHENY,COLFAX UPPER EL SCH,23.11,29.79,28.35,18.84
359,CHESTER,COLLEGIUM CS,22.4,33.26,27.63,16.72
360,MONTGOMERY,COLONIAL EL SCH,42.88,37.99,15.24,3.93
361,MONTGOMERY,COLONIAL MS,30.68,39.3,21.23,8.78
362,LANCASTER,COLUMBIA MS,4.98,25.92,35.33,33.71
363,DELAWARE,COLWYN ELEM SCHOOL,4.45,28.58,32.59,34.37
364,PHILADELPHIA,COMEGYS BENJAMIN B SCH,1.14,9.25,30.08,59.5
365,PHILADELPHIA,COMLY WATSON SCH,14.59,45.52,26.26,13.61
366,PHILADELPHIA,COMM ACAD OF PHILA CS,4.8,18.48,29.59,47.13
367,MERCER,COMMODORE PERRY JSHS,10.92,44.05,27.98,17.05
368,MERCER,COMMODORE PERRY SCH,19.27,36.79,27.82,16.08
369,DAUPHIN,COMMONWEALTH CHARTER ACADEMY CS,7.4,24.49,31.38,36.73
