,County,Higher Degree (Female),Higher Degree (Male),H.S. Diploma (Female),H.S. Diploma (Male),No H.S. Diploma (Female),No H.S. Diploma (Male)
318,15067,26.611%,25.452%,61.695%,61.886%,11.695%,12.661%
319,15078,6.087%,24.460%,80.870%,35.971%,13.043%,39.568%
320,15126,50.852%,48.430%,42.370%,40.620%,6.778%,10.950%
321,15129,48.769%,56.191%,48.355%,41.383%,2.876%,2.426%
322,15241,70.377%,78.999%,28.044%,19.507%,1.579%,1.495%
323,15301,34.454%,31.658%,55.884%,57.318%,9.662%,11.025%
324,15311,35.420%,34.709%,58.140%,60.788%,6.440%,4.503%
325,15312,30.524%,30.345%,60.061%,61.073%,9.415%,8.582%
326,15313,25.676%,26.190%,58.108%,61.905%,16.216%,11.905%
327,15314,29.862%,28.361%,59.869%,60.684%,10.269%,10.956%
328,15317,51.363%,56.683%,43.357%,37.857%,5.280%,5.459%
329,15321,38.475%,44.810%,57.350%,52.422%,4.174%,2.768%
330,15322,30.870%,32.605%,56.615%,54.914%,12.515%,12.480%
331,15323,27.111%,21.950%,64.321%,68.486%,8.568%,9.565%
332,15324,19.718%,22.685%,72.770%,62.963%,7.512%,14.352%
333,15329,28.942%,20.229%,61.078%,69.275%,9.980%,10.496%
334,15330,41.549%,37.016%,54.816%,54.013%,3.636%,8.971%
335,15331,16.955%,19.024%,62.976%,72.195%,20.069%,8.780%
336,15332,36.828%,32.146%,58.770%,61.784%,4.401%,6.070%
337,15333,28.375%,22.062%,62.128%,67.746%,9.497%,10.192%
338,15340,45.322%,39.093%,49.896%,55.724%,4.782%,5.184%
339,15342,29.812%,39.125%,60.284%,54.775%,9.904%,6.100%
340,15345,25.146%,20.758%,63.548%,66.606%,11.306%,12.635%
341,15347,2.713%,3.535%,81.008%,96.465%,16.279%,0.000%
342,15348,28.421%,43.243%,56.842%,56.757%,14.737%,0.000%
343,15350,9.756%,8.586%,81.301%,74.747%,8.943%,16.667%
344,15358,45.276%,32.751%,48.425%,63.755%,6.299%,3.493%
345,15360,34.477%,32.672%,60.458%,60.916%,5.065%,6.412%
346,15361,100.000%,40.625%,0.000%,59.375%,100.000%,40.625%
347,15363,26.054%,42.647%,66.667%,47.549%,7.280%,9.804%
348,15366,8.824%,15.254%,72.549%,84.746%,18.627%,0.000%
349,15367,67.900%,80.631%,31.528%,18.525%,0.572%,0.844%
350,15368,13.158%,44.286%,69.298%,35.714%,17.544%,20.000%
351,15370,32.891%,18.690%,57.356%,65.911%,9.753%,15.399%
352,15376,34.173%,27.135%,55.396%,64.516%,10.432%,8.349%
353,15377,17.100%,16.729%,71.004%,61.338%,11.896%,21.933%
