,County,Higher Degree (Female),Higher Degree (Male),H.S. Diploma (Female),H.S. Diploma (Male),No H.S. Diploma (Female),No H.S. Diploma (Male)
787,18951,36.602%,34.450%,53.927%,53.755%,9.470%,11.796%
788,18954,60.404%,54.914%,35.554%,41.934%,4.042%,3.151%
789,18955,38.999%,44.783%,54.414%,51.685%,6.588%,3.531%
790,18960,33.401%,41.661%,59.984%,51.814%,6.615%,6.525%
791,18962,39.891%,37.441%,59.563%,59.242%,0.546%,3.318%
792,18964,41.099%,38.432%,50.159%,50.867%,8.742%,10.702%
793,18966,51.244%,53.036%,43.403%,43.844%,5.353%,3.119%
794,18969,39.071%,34.697%,51.242%,56.357%,9.687%,8.946%
795,18970,36.471%,29.582%,55.686%,63.344%,7.843%,7.074%
796,18972,39.849%,39.321%,51.166%,52.122%,8.985%,8.557%
797,18974,39.635%,42.534%,51.248%,49.422%,9.118%,8.043%
798,18976,49.705%,51.551%,44.969%,41.088%,5.326%,7.360%
799,18977,73.252%,75.173%,26.748%,24.827%,3.271%,6.570%
800,18980,61.000%,55.500%,39.000%,41.500%,0.000%,3.000%
801,19006,56.205%,60.656%,37.584%,33.936%,6.211%,5.408%
802,19007,20.216%,17.476%,67.517%,67.359%,12.266%,15.165%
803,19020,39.245%,35.561%,52.132%,56.787%,8.623%,7.653%
804,19021,18.211%,15.291%,68.093%,70.640%,13.695%,14.070%
805,19030,29.022%,28.934%,64.133%,63.550%,6.845%,7.516%
806,19040,43.141%,40.753%,51.568%,52.852%,5.291%,6.395%
807,19047,48.737%,52.713%,45.347%,41.811%,5.916%,5.476%
808,19053,42.888%,38.829%,50.168%,52.146%,6.945%,9.025%
809,19054,26.012%,26.990%,67.905%,64.940%,6.083%,8.070%
810,19055,26.937%,18.106%,64.560%,72.181%,8.503%,9.714%
811,19056,37.068%,37.386%,56.634%,55.329%,6.298%,7.286%
812,19057,21.879%,25.119%,70.163%,65.011%,7.957%,9.870%
813,19067,62.134%,63.633%,34.016%,32.323%,3.850%,4.044%
814,19440,47.163%,47.006%,42.480%,45.686%,10.357%,7.307%
815,17701,29.867%,31.351%,59.147%,57.024%,10.987%,11.625%
816,17731,67.368%,57.282%,32.632%,42.718%,0.000%,1.942%
817,17737,35.420%,23.942%,55.439%,64.864%,9.141%,11.195%
818,17758,22.741%,14.679%,68.224%,72.783%,9.034%,12.538%
819,17768,16.216%,19.380%,72.973%,56.589%,10.811%,24.031%
820,17774,22.510%,16.932%,67.331%,64.143%,10.159%,18.924%
821,17814,27.856%,21.523%,63.369%,67.430%,8.775%,11.048%
822,18614,23.619%,18.307%,68.689%,70.965%,7.692%,10.728%
823,18616,27.465%,18.107%,63.028%,68.724%,9.507%,13.169%
824,18619,21.495%,23.232%,71.028%,61.616%,7.477%,15.152%
825,18626,29.167%,27.404%,60.606%,59.135%,10.227%,13.462%
826,18628,26.667%,29.213%,61.905%,62.921%,11.429%,7.865%
827,18632,12.821%,21.106%,73.718%,68.844%,13.462%,10.050%
828,18833,17.798%,15.486%,72.700%,74.409%,9.502%,10.105%
829,15618,27.128%,15.595%,65.000%,70.476%,7.872%,13.929%
830,15681,25.814%,28.353%,67.676%,61.686%,6.511%,9.960%
831,15701,45.576%,42.222%,46.457%,49.824%,7.967%,7.955%
832,15710,13.158%,14.035%,80.263%,72.807%,6.579%,13.158%
833,15712,10.000%,0.000%,52.500%,85.294%,37.500%,14.706%
834,15713,17.284%,0.000%,82.716%,100.000%,17.284%,0.000%
835,15714,27.820%,22.379%,61.768%,66.372%,10.412%,11.249%
836,15716,0.000%,13.600%,85.801%,74.800%,14.199%,11.600%
837,15717,29.251%,23.179%,62.309%,67.482%,8.440%,9.339%
838,15723,100.000%,0.000%,0.000%,100.000%,100.000%,0.000%
839,15724,17.690%,11.498%,68.712%,67.828%,13.598%,20.674%
840,15725,22.852%,23.675%,68.557%,65.901%,8.591%,10.424%
841,15727,34.783%,54.545%,43.478%,34.091%,21.739%,11.364%
842,15728,20.837%,22.691%,69.791%,67.118%,9.372%,10.191%
843,15729,17.778%,17.490%,58.788%,70.988%,23.434%,11.523%
844,15731,23.383%,62.100%,57.711%,20.548%,18.905%,17.352%
845,15732,21.254%,17.888%,67.073%,69.847%,11.672%,12.266%
846,15734,33.077%,0.000%,61.538%,93.860%,5.385%,6.140%
847,15739,20.946%,26.724%,70.946%,69.828%,8.108%,3.448%
848,15741,38.095%,0.000%,61.905%,82.353%,0.000%,17.647%
849,15742,21.053%,10.000%,53.618%,76.216%,25.329%,13.784%
850,15745,43.590%,38.158%,56.410%,61.842%,10.256%,7.895%
851,15746,23.636%,8.889%,12.727%,33.333%,63.636%,57.778%
852,15747,27.234%,14.731%,63.262%,74.504%,9.504%,10.765%
853,15748,27.051%,29.240%,60.944%,59.900%,12.005%,10.860%
854,15750,0.000%,23.077%,88.889%,76.923%,11.111%,0.000%
855,15752,-100.000000%,0.000%,0.000000%,0.000000%,0.000000%,13.020590%
856,15754,11.397%,0.000%,83.088%,82.286%,5.515%,17.714%
857,15756,14.493%,9.402%,79.710%,76.068%,5.797%,14.530%
858,15757,20.796%,13.644%,70.163%,70.383%,9.042%,15.973%
859,15759,25.377%,22.274%,61.887%,66.076%,12.736%,11.650%
860,15761,100.000%,71.429%,0.000%,28.571%,30.000%,0.000%
861,15765,37.662%,20.132%,52.435%,65.921%,9.903%,13.947%
862,15767,27.068%,22.416%,60.382%,62.497%,12.550%,15.087%
863,15771,32.268%,20.625%,54.313%,71.563%,13.419%,7.813%
864,15772,19.488%,9.631%,60.236%,72.552%,20.276%,17.817%
865,15774,35.089%,30.106%,59.554%,58.891%,5.357%,11.004%
866,15777,26.531%,0.000%,73.469%,100.000%,26.531%,0.000%
867,15783,50.000%,32.432%,38.889%,62.162%,11.111%,5.405%
868,15920,34.532%,34.797%,53.597%,58.446%,11.871%,6.757%
869,15929,0.000%,24.138%,43.750%,0.000%,56.250%,75.862%
870,15944,23.790%,24.648%,65.192%,63.441%,11.018%,11.911%
871,15949,7.821%,9.360%,80.447%,79.803%,11.732%,10.837%
872,15954,25.969%,18.261%,60.870%,68.696%,13.161%,13.043%
873,15957,31.441%,26.070%,55.895%,56.809%,12.664%,17.121%
874,15961,20.205%,26.518%,69.178%,54.313%,10.616%,19.169%
875,16211,10.345%,23.529%,79.310%,70.588%,10.345%,5.882%
876,16222,21.402%,19.455%,63.469%,62.577%,15.129%,17.968%
877,16246,19.767%,16.471%,65.116%,64.706%,15.116%,18.824%
878,16256,15.490%,9.298%,31.207%,34.917%,53.303%,55.785%
879,16901,37.174%,33.128%,53.679%,59.883%,9.147%,6.989%
880,16911,28.188%,16.842%,54.362%,53.684%,17.450%,29.474%
881,16912,33.618%,23.473%,59.386%,61.415%,6.997%,15.113%
882,16914,30.339%,24.138%,59.635%,67.034%,10.026%,8.828%
883,16917,35.780%,22.336%,58.028%,64.344%,6.193%,13.320%
884,16920,21.682%,16.351%,65.572%,71.622%,12.746%,12.027%
885,16921,21.277%,13.636%,75.000%,68.636%,3.723%,17.727%
886,16928,25.163%,18.075%,65.727%,68.959%,9.111%,12.967%
887,16929,35.221%,23.322%,58.097%,62.344%,6.682%,14.334%
888,16930,36.207%,28.935%,60.560%,59.954%,3.233%,11.111%
889,16932,32.917%,21.488%,61.250%,68.182%,5.833%,10.331%
890,16933,39.265%,36.134%,56.756%,54.878%,3.979%,8.988%
891,16935,31.013%,25.000%,59.705%,57.522%,9.283%,17.478%
892,16936,22.653%,17.161%,64.232%,69.548%,13.115%,13.290%
893,16938,29.730%,17.216%,58.687%,65.568%,11.583%,17.216%
894,16939,22.680%,12.222%,73.196%,61.111%,4.124%,26.667%
895,16940,26.042%,26.667%,54.167%,51.111%,19.792%,22.222%
896,16942,26.821%,12.274%,60.596%,76.173%,12.583%,11.552%
897,16943,12.651%,10.825%,68.072%,63.402%,19.277%,25.773%
898,16946,26.216%,17.544%,59.905%,61.871%,13.879%,20.585%
899,16947,29.409%,21.829%,57.206%,65.959%,13.385%,12.212%
900,16950,21.630%,13.909%,61.556%,64.748%,16.815%,21.343%
901,17724,24.447%,16.617%,61.781%,70.399%,13.771%,12.984%
902,17727,34.375%,38.462%,59.375%,46.154%,6.250%,15.385%
903,17765,28.982%,14.615%,55.875%,71.538%,15.144%,13.846%
904,15828,31.776%,29.457%,56.075%,62.791%,12.150%,7.752%
905,16217,36.364%,32.500%,51.515%,67.500%,12.121%,0.000%
906,16239,18.056%,6.378%,71.701%,69.208%,10.243%,24.415%
907,16321,7.143%,11.111%,92.857%,77.778%,0.000%,11.111%
908,16322,7.143%,2.500%,92.857%,97.500%,0.000%,2.500%
909,16341,29.096%,23.266%,64.689%,66.185%,6.215%,10.549%
910,16347,23.333%,24.074%,68.642%,68.981%,8.025%,6.944%
911,16351,18.019%,21.013%,74.513%,69.981%,7.468%,9.006%
912,16353,23.225%,21.927%,63.148%,58.604%,13.628%,19.469%
913,16370,16.667%,13.636%,77.778%,72.727%,5.556%,13.636%
914,17810,29.295%,12.034%,56.366%,72.373%,14.339%,15.592%
915,17829,14.943%,12.857%,65.517%,71.429%,19.540%,15.714%
916,17835,14.563%,13.592%,66.019%,80.583%,19.417%,5.825%
917,17837,46.162%,37.836%,42.123%,43.535%,11.715%,18.629%
918,17844,29.295%,21.970%,55.092%,60.339%,15.613%,17.691%
919,17845,17.000%,13.312%,64.750%,66.878%,18.250%,19.810%
920,17855,30.707%,30.000%,61.141%,65.429%,8.152%,4.571%
921,17856,23.064%,11.415%,70.844%,77.090%,6.092%,11.495%
922,17870,33.731%,32.646%,52.511%,54.283%,13.758%,13.071%
923,17880,29.268%,0.000%,31.707%,51.282%,39.024%,48.718%
924,17885,23.077%,4.286%,76.923%,95.714%,0.000%,4.286%
925,17886,23.545%,33.248%,64.286%,56.266%,12.169%,10.486%
926,17887,42.308%,100.000%,57.692%,0.000%,0.000%,36.957%
927,17889,40.126%,30.444%,47.479%,54.821%,12.395%,14.735%
928,17003,31.058%,28.979%,59.104%,58.788%,9.837%,12.234%
929,17010,100.000%,0.000%,0.000%,100.000%,100.000%,0.000%
930,17016,9.751%,30.914%,82.766%,69.086%,7.483%,0.000%
931,17026,21.550%,22.434%,66.279%,60.939%,12.171%,16.627%
932,17028,31.074%,27.029%,57.025%,61.073%,11.901%,11.898%
933,17033,58.336%,54.602%,37.001%,36.922%,4.663%,8.476%
934,17038,26.063%,20.151%,66.913%,68.225%,7.025%,11.623%
935,17039,36.000%,0.000%,0.000%,52.000%,64.000%,48.000%
936,17041,29.730%,49.057%,70.270%,50.943%,0.000%,22.642%
937,17042,32.532%,29.472%,55.317%,59.279%,12.151%,11.249%
938,17046,17.938%,17.115%,62.787%,60.901%,19.275%,21.984%
939,17064,57.225%,72.101%,42.486%,17.391%,0.289%,10.507%
940,17067,19.302%,19.750%,61.008%,60.960%,19.690%,19.290%
941,17073,18.521%,13.902%,65.503%,54.673%,15.976%,31.425%
942,17077,100.000%,100.000%,63.158%,0.000%,36.842%,100.000%
943,17078,42.248%,39.339%,50.545%,54.222%,7.207%,6.439%
944,17083,100.000%,100.000%,100.000%,100.000%,-100.000000%,0.000%
945,17087,25.666%,14.449%,57.749%,68.607%,16.584%,16.944%
946,17088,11.111%,26.748%,68.254%,52.280%,20.635%,20.973%
947,17545,32.351%,26.538%,54.893%,59.676%,12.756%,13.786%
948,17963,26.330%,19.443%,64.092%,63.628%,9.577%,16.929%
949,19551,29.188%,28.369%,60.112%,60.666%,10.700%,10.966%
950,15012,38.161%,34.272%,56.512%,59.381%,5.327%,6.347%
951,15401,28.234%,26.094%,61.150%,62.205%,10.616%,11.701%
952,15410,17.600%,13.782%,75.467%,65.705%,6.933%,20.513%
953,15413,27.149%,30.000%,57.466%,63.500%,15.385%,6.500%
954,15417,31.633%,24.909%,59.110%,66.788%,9.257%,8.303%
955,15420,27.586%,12.195%,63.793%,67.073%,8.621%,20.732%
956,15421,100.000%,100.000%,0.000%,100.000%,100.000%,0.000%
957,15422,65.625%,34.783%,34.375%,65.217%,12.500%,0.000%
958,15424,25.283%,17.358%,61.887%,66.038%,12.830%,16.604%
959,15425,26.721%,22.754%,62.181%,64.210%,11.099%,13.036%
960,15428,23.514%,15.294%,66.150%,76.863%,10.336%,7.843%
961,15430,25.253%,2.857%,74.747%,90.476%,0.000%,6.667%
962,15431,20.299%,19.591%,63.500%,65.936%,16.200%,14.474%
963,15433,28.859%,17.660%,64.094%,74.255%,7.047%,8.085%
964,15435,7.000%,7.407%,69.500%,86.831%,23.500%,5.761%
965,15436,23.156%,14.137%,62.558%,76.265%,14.286%,9.598%
966,15437,29.339%,32.218%,63.942%,57.553%,6.719%,10.229%
967,15438,26.565%,33.088%,61.196%,61.029%,12.239%,5.882%
968,15440,26.667%,13.684%,73.333%,86.316%,26.667%,13.684%
969,15442,31.587%,16.667%,55.624%,64.630%,12.789%,18.704%
970,15443,27.711%,0.000%,54.217%,75.000%,18.072%,25.000%
971,15444,50.000%,86.508%,50.000%,13.492%,0.000%,13.492%
972,15445,23.770%,24.474%,68.617%,62.126%,7.614%,13.400%
973,15446,28.846%,58.025%,71.154%,41.975%,28.846%,58.025%
974,15447,25.000%,0.000%,0.000%,100.000%,75.000%,0.000%
975,15449,36.889%,30.894%,60.000%,36.585%,3.111%,32.520%
976,15450,0.000%,1.630%,100.000%,63.519%,0.000%,34.851%
977,15451,17.873%,12.704%,73.303%,64.495%,8.824%,22.801%
978,15454,100.000%,52.174%,0.000%,47.826%,100.000%,52.174%
979,15455,6.369%,15.455%,78.981%,64.545%,14.650%,20.000%
980,15456,18.232%,14.435%,65.101%,69.516%,16.667%,16.049%
981,15458,25.556%,19.734%,48.519%,65.750%,25.926%,14.516%
982,15459,16.635%,8.800%,68.431%,70.720%,14.934%,20.480%
983,15460,13.793%,13.793%,58.621%,65.517%,27.586%,20.690%
984,15461,18.603%,15.159%,66.725%,72.080%,14.671%,12.761%
985,15462,49.635%,0.000%,13.139%,90.854%,37.226%,9.146%
986,15463,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
987,15464,27.391%,18.336%,56.078%,69.565%,16.532%,12.098%
988,15466,19.394%,9.091%,70.909%,77.273%,9.697%,13.636%
989,15467,17.647%,0.000%,70.588%,69.355%,11.765%,30.645%
990,15468,24.835%,22.546%,62.229%,61.273%,12.937%,16.180%
991,15469,13.736%,17.520%,64.396%,66.307%,21.868%,16.173%
992,15470,17.931%,14.759%,76.552%,79.518%,5.517%,5.723%
993,15472,23.958%,0.000%,21.354%,100.000%,54.688%,0.000%
994,15473,41.560%,26.686%,47.634%,68.020%,10.806%,5.294%
995,15474,17.404%,32.024%,65.487%,57.553%,17.109%,10.423%
996,15475,23.441%,16.121%,65.087%,70.561%,11.471%,13.318%
997,15476,100.000%,0.000%,0.000%,100.000%,100.000%,0.000%
998,15478,18.232%,18.601%,67.326%,70.750%,14.442%,10.649%
999,15480,21.971%,24.191%,61.917%,71.210%,16.112%,4.600%
1000,15482,21.348%,24.138%,60.112%,75.862%,18.539%,0.000%
1001,15484,29.167%,47.727%,39.583%,45.455%,31.250%,6.818%
1002,15486,22.427%,20.363%,68.039%,70.039%,9.534%,9.598%
1003,15489,5.147%,0.000%,72.794%,88.750%,22.059%,11.250%
1004,15490,23.622%,24.063%,76.378%,75.938%,7.087%,0.000%
1005,15492,6.780%,12.766%,61.017%,57.447%,32.203%,29.787%
1006,15557,27.846%,21.591%,63.077%,67.614%,9.077%,10.795%
1007,15610,33.094%,29.787%,53.957%,58.751%,12.950%,11.462%
1008,15622,27.833%,35.774%,65.764%,38.703%,6.404%,25.523%
1009,15631,27.822%,24.642%,64.042%,67.049%,8.136%,8.309%
1010,15666,32.088%,27.943%,57.696%,63.255%,10.216%,8.802%
1011,15683,35.423%,29.120%,57.441%,65.745%,7.136%,5.135%
1012,17026,21.550%,22.434%,66.279%,60.939%,12.171%,16.627%
1013,17067,19.302%,19.750%,61.008%,60.960%,19.690%,19.290%
1014,17087,25.666%,14.449%,57.749%,68.607%,16.584%,16.944%
1015,17555,20.915%,18.507%,49.156%,45.399%,29.929%,36.094%
1016,17569,35.451%,30.850%,53.529%,54.722%,11.021%,14.428%
1017,18011,41.228%,37.365%,49.054%,50.846%,9.719%,11.789%
1018,18031,52.650%,60.465%,43.722%,38.073%,3.628%,1.462%
1019,18041,38.633%,36.050%,55.494%,57.329%,5.873%,6.621%
1020,18056,15.605%,3.215%,67.834%,84.244%,16.561%,12.540%
1021,18062,52.856%,53.389%,39.850%,39.128%,7.294%,7.483%
1022,18070,19.346%,5.689%,80.654%,82.635%,0.000%,11.677%
1023,18092,44.363%,46.252%,43.309%,46.801%,12.328%,6.947%
1024,19464,36.336%,30.771%,52.914%,57.130%,10.750%,12.100%
1025,19503,27.136%,20.648%,59.045%,70.648%,13.819%,8.704%
1026,19504,42.933%,28.807%,53.044%,64.324%,4.023%,6.869%
1027,19505,30.354%,25.641%,58.600%,67.462%,11.046%,6.897%
1028,19506,32.374%,29.879%,56.387%,53.994%,11.239%,16.127%
1029,19507,16.608%,15.198%,58.392%,65.248%,25.000%,19.554%
1030,19508,35.031%,30.758%,56.999%,57.444%,7.970%,11.798%
1031,19510,41.803%,37.446%,51.298%,57.245%,6.899%,5.308%
1032,19511,81.579%,34.043%,18.421%,65.957%,81.579%,34.043%
1033,19512,30.474%,25.917%,58.439%,61.011%,11.087%,13.072%
1034,19518,42.841%,40.110%,50.152%,51.419%,7.008%,8.471%
1035,19519,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1036,19520,42.006%,40.972%,51.366%,48.115%,6.628%,10.913%
1037,19522,29.921%,27.158%,60.733%,60.997%,9.347%,11.845%
1038,19523,14.724%,0.000%,85.276%,100.000%,7.975%,0.000%
1039,19526,27.918%,24.897%,58.894%,55.237%,13.188%,19.866%
1040,19529,35.877%,37.359%,55.704%,51.388%,8.419%,11.253%
1041,19530,39.082%,34.215%,49.286%,54.534%,11.632%,11.251%
1042,19533,30.268%,20.851%,54.983%,60.608%,14.748%,18.541%
1043,19534,36.937%,23.147%,55.706%,60.468%,7.357%,16.385%
1044,19535,22.222%,42.105%,77.778%,57.895%,22.222%,15.789%
1045,19536,16.038%,6.215%,67.925%,63.842%,16.038%,29.944%
1046,19538,100.000%,100.000%,100.000%,100.000%,-100.000000%,0.000%
1047,19539,27.262%,24.360%,61.857%,60.899%,10.881%,14.741%
1048,19540,38.465%,37.715%,52.495%,55.125%,9.040%,7.160%
1049,19541,40.878%,37.035%,46.708%,54.474%,12.414%,8.491%
1050,19542,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1051,19543,44.580%,41.249%,47.503%,49.007%,7.917%,9.745%
1052,19544,14.286%,33.333%,85.714%,51.852%,0.000%,14.815%
1053,19545,20.179%,10.625%,79.821%,67.500%,0.000%,21.875%
1054,19547,43.035%,31.732%,50.229%,62.111%,6.736%,6.157%
1055,19550,25.000%,14.201%,60.294%,62.130%,14.706%,23.669%
1056,19551,29.188%,28.369%,60.112%,60.666%,10.700%,10.966%
1057,19554,47.253%,27.215%,49.451%,56.962%,3.297%,15.823%
1058,19555,30.740%,20.231%,59.366%,63.914%,9.894%,15.855%
1059,19559,20.388%,17.692%,64.078%,56.923%,15.534%,25.385%
1060,19560,27.707%,15.936%,59.381%,67.507%,12.912%,16.557%
1061,19562,29.967%,26.932%,61.686%,62.881%,8.347%,10.187%
1062,19564,13.333%,0.000%,75.000%,88.889%,11.667%,11.111%
1063,19565,34.721%,30.967%,56.868%,61.331%,8.411%,7.702%
1064,19567,31.220%,26.542%,51.382%,57.584%,17.398%,15.874%
1065,19601,15.604%,13.330%,49.177%,49.096%,35.219%,37.574%
1066,19602,14.280%,12.547%,52.065%,50.363%,33.655%,37.090%
1067,19604,15.272%,11.773%,50.107%,53.366%,34.621%,34.861%
1068,19605,29.063%,28.790%,60.579%,61.183%,10.358%,10.027%
1069,19606,39.877%,37.474%,50.762%,51.646%,9.361%,10.881%
1070,19607,40.539%,38.235%,49.327%,52.282%,10.135%,9.484%
1071,19608,48.670%,49.954%,45.621%,44.131%,5.709%,5.915%
1072,19609,36.348%,45.796%,55.652%,47.447%,8.000%,6.757%
1073,19610,52.834%,61.711%,42.109%,32.816%,5.057%,5.473%
1074,19611,23.745%,28.019%,58.637%,57.773%,17.618%,14.208%
1075,17901,28.177%,23.759%,61.057%,65.969%,10.766%,10.273%
1076,17921,26.432%,18.587%,62.192%,68.439%,11.376%,12.973%
1077,17922,35.613%,27.235%,54.705%,58.176%,9.683%,14.588%
1078,17923,21.094%,17.105%,67.188%,78.289%,11.719%,4.605%
1079,17925,31.757%,18.817%,50.676%,68.280%,17.568%,12.903%
1080,17929,26.444%,26.944%,63.374%,60.398%,10.182%,12.658%
1081,17930,28.916%,20.000%,65.060%,72.222%,6.024%,7.778%
1082,17931,27.387%,12.974%,61.711%,71.781%,10.902%,15.245%
1083,17933,100.000%,100.000%,0.000%,35.897%,100.000%,0.000%
1084,17934,16.327%,14.359%,68.707%,71.282%,14.966%,14.359%
1085,17935,21.326%,14.468%,66.846%,69.149%,11.828%,16.383%
1086,17936,35.974%,21.951%,62.376%,64.634%,1.650%,13.415%
1087,17938,26.111%,32.335%,59.805%,61.298%,14.085%,6.367%
1088,17941,27.165%,14.430%,62.992%,73.490%,9.843%,12.081%
1089,17943,0.000%,41.538%,46.154%,58.462%,53.846%,0.000%
1090,17944,35.897%,28.814%,56.410%,44.068%,7.692%,27.119%
1091,17945,9.375%,0.000%,71.875%,92.727%,18.750%,7.273%
1092,17946,0.000%,100.000%,100.000%,0.000%,0.000%,100.000%
1093,17948,20.680%,19.195%,62.095%,60.963%,17.225%,19.842%
1094,17949,10.989%,19.811%,79.121%,75.472%,9.890%,4.717%
1095,17951,5.618%,13.750%,88.764%,53.750%,5.618%,32.500%
1096,17952,31.683%,4.444%,49.505%,82.222%,18.812%,13.333%
1097,17953,23.711%,13.228%,66.495%,73.545%,9.794%,13.228%
1098,17954,25.699%,14.943%,54.527%,69.796%,19.774%,15.262%
1099,17957,12.389%,13.846%,79.646%,66.154%,7.965%,20.000%
1100,17959,18.505%,13.371%,72.242%,71.375%,9.253%,15.254%
1101,17960,34.231%,27.025%,58.592%,65.685%,7.177%,7.290%
1102,17961,42.812%,38.002%,47.639%,55.657%,9.549%,6.341%
1103,17963,26.330%,19.443%,64.092%,63.628%,9.577%,16.929%
1104,17964,30.392%,26.712%,59.477%,65.753%,10.131%,7.534%
1105,17965,22.533%,24.789%,64.267%,65.634%,13.200%,9.577%
1106,17967,28.692%,21.144%,64.662%,66.088%,6.646%,12.768%
1107,17968,23.958%,23.762%,55.208%,55.446%,20.833%,20.792%
1108,17970,20.017%,17.225%,70.358%,72.249%,9.625%,10.526%
1109,17972,35.443%,29.107%,55.792%,59.776%,8.765%,11.117%
1110,17974,11.667%,15.873%,76.667%,73.810%,11.667%,10.317%
1111,17976,17.773%,13.591%,61.389%,71.328%,20.838%,15.081%
1112,17978,18.519%,12.000%,60.494%,50.667%,20.988%,37.333%
1113,17979,34.615%,55.000%,65.385%,27.500%,0.000%,17.500%
1114,17980,22.984%,18.621%,64.782%,69.114%,12.234%,12.265%
1115,17981,12.983%,10.204%,66.700%,67.959%,20.317%,21.837%
1116,17982,25.000%,17.901%,61.500%,70.370%,13.500%,11.728%
1117,17983,25.362%,22.348%,59.420%,68.182%,15.217%,9.470%
1118,17985,29.158%,21.166%,64.579%,66.739%,6.263%,12.095%
1119,18201,17.518%,19.494%,57.511%,58.079%,24.972%,22.427%
1120,18202,22.204%,21.913%,58.786%,61.297%,19.010%,16.789%
1121,18211,27.482%,25.547%,69.504%,69.891%,3.014%,4.562%
1122,18214,38.472%,36.592%,52.569%,51.955%,8.959%,11.453%
1123,18218,19.194%,18.170%,69.787%,67.043%,11.019%,14.787%
1124,18220,29.710%,7.639%,60.870%,79.167%,9.420%,13.194%
1125,18231,25.989%,9.827%,59.322%,81.503%,14.689%,8.671%
1126,18237,18.876%,18.973%,70.973%,72.594%,10.151%,8.433%
1127,18240,23.146%,26.557%,70.547%,61.590%,6.306%,11.853%
1128,18241,16.807%,7.071%,76.891%,66.667%,6.303%,26.263%
1129,18242,17.742%,28.571%,79.032%,62.338%,3.226%,9.091%
1130,18245,53.982%,27.132%,46.018%,72.868%,14.159%,0.000%
1131,18248,17.368%,9.013%,77.368%,80.258%,5.263%,10.730%
1132,18252,31.673%,25.110%,52.128%,62.897%,16.199%,11.993%
1133,19549,14.773%,7.692%,59.091%,77.885%,26.136%,14.423%
1134,15411,30.742%,23.810%,59.717%,68.651%,9.541%,7.540%
1135,15424,25.283%,17.358%,61.887%,66.038%,12.830%,16.604%
1136,15501,26.882%,26.068%,62.868%,59.636%,10.251%,14.297%
1137,15502,76.471%,65.517%,3.922%,34.483%,19.608%,0.000%
1138,15510,6.128550%,0.845070%,-100.000000%,0.000%,-63.662164%,6.129%
1139,15520,25.263%,0.000%,16.842%,100.000%,57.895%,0.000%
1140,15530,25.303%,18.177%,60.306%,69.829%,14.391%,11.994%
1141,15531,26.783%,23.273%,61.575%,62.777%,11.642%,13.950%
1142,15532,7.246%,3.226%,71.014%,72.581%,21.739%,24.194%
1143,15534,24.854%,10.411%,61.696%,74.521%,13.450%,15.068%
1144,15538,25.965%,14.286%,65.965%,71.096%,8.070%,14.618%
1145,15540,18.310%,30.233%,69.014%,52.326%,12.676%,17.442%
1146,15541,21.547%,22.705%,66.366%,65.738%,12.087%,11.557%
1147,15542,14.742%,9.906%,75.184%,75.943%,10.074%,14.151%
1148,15544,38.462%,15.789%,61.538%,84.211%,19.231%,0.000%
1149,15545,20.266%,16.633%,63.767%,70.487%,15.967%,12.880%
1150,15546,0.000%,14.563%,100.000%,85.437%,0.000%,14.563%
1151,15547,20.741%,11.724%,76.296%,77.241%,2.963%,11.034%
1152,15551,26.282%,21.752%,68.269%,64.350%,5.449%,13.897%
1153,15552,22.492%,17.575%,58.910%,67.235%,18.598%,15.190%
1154,15555,45.161%,34.884%,45.161%,58.140%,9.677%,6.977%
1155,15557,27.846%,21.591%,63.077%,67.614%,9.077%,10.795%
1156,15558,20.859%,17.760%,58.160%,63.525%,20.982%,18.716%
1157,15559,20.131%,14.679%,70.719%,62.647%,9.150%,22.674%
1158,15560,44.262%,30.909%,52.459%,60.000%,3.279%,9.091%
1159,15561,39.394%,42.254%,56.061%,42.254%,4.545%,15.493%
1160,15562,32.000%,10.000%,54.000%,58.000%,14.000%,32.000%
1161,15563,21.888%,21.777%,65.915%,63.676%,12.197%,14.547%
1162,15564,17.647%,41.176%,67.647%,50.000%,14.706%,8.824%
1163,15622,27.833%,35.774%,65.764%,38.703%,6.404%,25.523%
1164,15905,42.360%,43.984%,53.999%,51.788%,3.641%,4.228%
1165,15924,20.386%,14.737%,60.331%,71.053%,19.284%,14.211%
1166,15926,26.915%,24.458%,58.315%,62.332%,14.770%,13.209%
1167,15928,32.469%,25.399%,65.727%,71.543%,1.804%,3.059%
1168,15935,26.730%,20.708%,68.868%,66.597%,4.403%,12.695%
1169,15936,30.169%,11.154%,61.603%,77.308%,8.228%,11.538%
1170,15937,22.404%,4.520%,60.109%,83.051%,17.486%,12.429%
1171,15953,28.378%,0.000%,52.703%,100.000%,18.919%,0.000%
1172,15963,31.942%,27.723%,54.795%,61.385%,13.263%,10.892%
1173,17017,27.243%,21.212%,62.480%,70.410%,10.277%,8.378%
1174,17730,0.000%,100.000%,77.273%,0.000%,22.727%,0.000%
1175,17749,26.984%,29.134%,73.016%,62.992%,0.000%,7.874%
1176,17756,26.480%,34.909%,57.347%,52.792%,16.173%,12.300%
1177,17772,25.397%,22.000%,61.111%,61.000%,13.492%,17.000%
