,County,Higher Degree,H.S. Diploma,No H.S. Diploma
250,16801,71.619600%,24.980735%,3.399665%
251,16802,75.000000%,25.000000%,0.000000%
252,16803,69.157825%,26.843501%,3.998674%
253,16820,25.158831%,60.101652%,14.739517%
254,16822,21.384510%,63.879369%,14.736121%
255,16823,34.898811%,56.720211%,8.380978%
256,16826,15.919283%,72.421525%,11.659193%
257,16827,72.606863%,24.262492%,3.130644%
258,16828,39.633963%,54.005401%,6.360636%
259,16829,16.666667%,75.854701%,7.478632%
260,16832,24.338624%,56.878307%,18.783069%
261,16835,25.409836%,66.393443%,8.196721%
262,16841,22.767965%,63.876119%,13.355916%
263,16844,31.598174%,61.963470%,6.438356%
264,16845,13.229018%,70.554765%,16.216216%
265,16851,75.576037%,24.423963%,0.000000%
266,16852,16.129032%,61.751152%,22.119816%
267,16853,18.750000%,70.625000%,10.625000%
268,16854,32.363014%,55.993151%,11.643836%
269,16859,17.737789%,71.208226%,11.053985%
270,16860,47.577093%,52.422907%,0.000000%
271,16865,54.716981%,39.947951%,5.335068%
272,16866,18.656435%,66.033463%,15.310102%
273,16868,31.407942%,68.592058%,0.000000%
274,16870,56.336551%,39.928661%,3.734788%
275,16872,17.997465%,57.541191%,24.461343%
276,16874,16.525024%,72.898961%,10.576015%
277,16875,34.085133%,51.493011%,14.421855%
278,16877,40.677966%,56.009245%,3.312789%
279,16882,33.854167%,49.479167%,16.666667%
280,16037,40.567201%,53.020962%,6.411837%
281,16051,30.553037%,63.191296%,6.255666%
282,16057,38.317343%,52.634686%,9.047970%
283,16101,23.755112%,64.093266%,12.151621%
284,16102,32.516189%,58.279371%,9.204440%
285,16105,39.277283%,55.020883%,5.701834%
286,16112,27.592267%,60.896309%,11.511424%
287,16116,29.618387%,57.025152%,13.356461%
288,16117,33.648439%,57.411784%,8.939777%
289,16120,27.801418%,59.078014%,13.120567%
290,16123,38.711776%,51.984385%,9.303839%
291,16127,40.214962%,50.952432%,8.832606%
292,16132,0.000000%,73.134328%,26.865672%
293,16140,0.000000%,100.000000%,0.000000%
294,16141,31.231454%,55.489614%,13.278932%
295,16142,36.776333%,41.979087%,21.244580%
296,16143,21.631799%,68.535565%,9.832636%
297,16155,53.076923%,26.153846%,20.769231%
298,16156,30.252101%,58.230351%,11.517548%
299,16157,23.203194%,68.056788%,8.740018%
300,16159,28.003508%,63.139433%,8.857059%
301,16160,21.377331%,62.984218%,15.638451%
302,15004,23.809524%,71.904762%,4.285714%
303,15012,36.193242%,57.963745%,5.843013%
304,15017,47.836028%,46.398824%,5.765148%
305,15019,25.260417%,68.402778%,6.336806%
306,15021,24.727149%,62.431787%,12.841064%
307,15022,31.936018%,59.942085%,8.121897%
308,15025,43.788739%,50.973374%,5.237887%
309,15026,30.673617%,63.191660%,6.134723%
310,15033,30.209918%,60.419836%,9.370246%
311,15038,7.111111%,85.777778%,7.111111%
312,15053,22.047244%,61.417323%,16.535433%
313,15054,15.259740%,64.285714%,20.454545%
314,15055,40.398741%,51.206716%,8.394544%
315,15057,45.149912%,47.730437%,7.119651%
316,15060,17.647059%,73.137255%,9.215686%
317,15063,34.825930%,57.058824%,8.115246%
318,15067,26.054591%,61.786600%,12.158809%
319,15078,16.141732%,56.299213%,27.559055%
320,15126,49.662748%,41.510888%,8.826363%
321,15129,52.230459%,45.103394%,2.666146%
322,15241,74.449308%,24.011579%,1.539113%
323,15301,33.136128%,56.559652%,10.304220%
324,15311,35.073260%,59.432234%,5.494505%
325,15312,30.434783%,60.564455%,9.000763%
326,15313,25.912409%,59.854015%,14.233577%
327,15314,29.135338%,60.263158%,10.601504%
328,15317,53.941970%,40.691185%,5.366845%
329,15321,41.718335%,54.827281%,3.454384%
330,15322,31.621622%,55.878378%,12.500000%
331,15323,24.532925%,66.401225%,9.065850%
332,15324,21.212121%,67.832168%,10.955711%
333,15329,24.487805%,65.268293%,10.243902%
334,15330,39.282342%,54.414542%,6.303116%
335,15331,17.813765%,66.801619%,15.384615%
336,15332,34.435828%,60.310176%,5.253996%
337,15333,25.292740%,64.871194%,9.836066%
338,15340,42.266949%,52.754237%,4.978814%
339,15342,34.020045%,57.795100%,8.184855%
340,15345,22.867854%,65.135895%,11.996251%
341,15347,3.070175%,87.719298%,9.210526%
342,15348,37.448560%,56.790123%,5.761317%
343,15350,9.034268%,77.258567%,13.707165%
344,15358,39.337474%,55.693582%,4.968944%
345,15360,33.543804%,60.694554%,5.761642%
346,15361,0.000000%,59.574468%,40.425532%
347,15363,33.333333%,58.279570%,8.387097%
348,15366,11.180124%,77.018634%,11.801242%
349,15367,73.990874%,25.307125%,0.702001%
350,15368,25.000000%,56.521739%,18.478261%
351,15370,24.469496%,62.428950%,13.101554%
352,15376,30.747922%,59.833795%,9.418283%
353,15377,16.914498%,66.171004%,16.914498%
354,15378,0.000000%,100.000000%,0.000000%
355,15379,26.881720%,67.741935%,5.376344%
356,15412,36.792453%,56.289308%,6.918239%
357,15417,28.617886%,62.552846%,8.829268%
358,15419,42.663996%,51.477216%,5.858788%
359,15423,34.939759%,54.698795%,10.361446%
360,15427,27.688787%,62.585812%,9.725400%
361,15429,26.845638%,40.939597%,32.214765%
362,15432,24.550898%,62.874251%,12.574850%
363,15434,11.344538%,68.487395%,20.168067%
364,15477,33.770492%,60.983607%,5.245902%
365,15483,36.363636%,49.696970%,13.939394%
366,19038,58.363498%,36.835588%,4.800914%
367,19102,85.941917%,12.207659%,1.850424%
368,19103,82.903274%,14.224637%,2.872089%
