,County,Higher Degree,H.S. Diploma,No H.S. Diploma
192,15537,17.985490%,68.179517%,13.834992%
193,15539,44.161359%,43.736730%,12.101911%
194,15545,18.441161%,67.142129%,14.416709%
195,15550,18.614719%,66.320346%,15.064935%
196,15554,24.532578%,66.742210%,8.725212%
197,15559,17.408377%,66.688482%,15.903141%
198,15946,28.461538%,62.806653%,8.731809%
199,16625,15.761887%,68.925496%,15.312617%
200,16633,19.841270%,73.015873%,7.142857%
201,16650,22.025496%,64.376771%,13.597734%
202,16655,15.273038%,72.269625%,12.457338%
203,16657,19.407559%,71.297242%,9.295199%
204,16659,16.981132%,71.698113%,11.320755%
205,16662,23.702830%,64.669811%,11.627358%
206,16664,22.375479%,58.850575%,18.773946%
207,16667,17.964694%,70.820353%,11.214953%
208,16670,21.951220%,78.048780%,0.000000%
209,16672,9.729730%,64.324324%,25.945946%
210,16673,25.317139%,66.099865%,8.582996%
211,16678,22.890295%,61.867089%,15.242616%
212,16679,7.754443%,76.736672%,15.508885%
213,16694,15.333333%,64.666667%,20.000000%
214,16695,26.271186%,62.146893%,11.581921%
215,17211,9.200000%,77.200000%,13.600000%
216,16901,35.242291%,56.641303%,8.116406%
217,16911,21.828909%,53.982301%,24.188791%
218,16912,28.394040%,60.430464%,11.175497%
219,16914,27.327528%,63.228399%,9.444072%
220,16917,28.679654%,61.363636%,9.956710%
221,16920,19.053964%,68.554297%,12.391739%
222,16921,17.156863%,71.568627%,11.274510%
223,16928,21.443299%,67.422680%,11.134021%
224,16929,29.284904%,60.215664%,10.499432%
225,16930,32.700893%,60.267857%,7.031250%
226,16932,27.178423%,64.730290%,8.091286%
227,16933,37.724950%,55.832037%,6.443013%
228,16935,28.077754%,58.639309%,13.282937%
229,16936,19.709544%,67.081604%,13.208852%
230,16938,23.308271%,62.218045%,14.473684%
231,16939,17.647059%,67.379679%,14.973262%
232,16940,26.344086%,52.688172%,20.967742%
233,16942,19.861831%,68.048359%,12.089810%
234,16943,11.666667%,65.555556%,22.777778%
235,16946,21.849234%,60.895171%,17.255595%
236,16947,25.975414%,61.170497%,12.854089%
237,16950,17.916186%,63.091119%,18.992695%
238,17724,20.416922%,66.217045%,13.366033%
239,17727,36.619718%,52.112676%,11.267606%
240,17765,21.733506%,63.777490%,14.489004%
241,17527,18.571816%,53.923432%,27.504752%
242,19073,64.523810%,32.521008%,2.955182%
243,19087,79.087180%,18.370851%,2.541969%
244,19301,69.407895%,27.878289%,2.713816%
245,19310,26.183996%,53.402286%,20.413718%
246,19311,41.518501%,35.239468%,23.242031%
247,19312,84.573140%,13.667000%,1.759860%
248,19316,29.090909%,40.000000%,30.909091%
249,19317,72.272861%,26.595119%,1.132020%
250,19319,14.000000%,86.000000%,0.000000%
251,19320,36.050715%,53.166880%,10.782406%
252,19330,35.877262%,55.179649%,8.943089%
253,19333,76.449352%,21.193459%,2.357188%
254,19335,61.957640%,33.921331%,4.121029%
255,19341,67.276036%,30.176193%,2.547771%
256,19342,62.245049%,35.486255%,2.268696%
257,19343,61.744966%,35.146591%,3.108442%
258,19344,31.932021%,53.296703%,14.771275%
259,19345,56.126482%,33.201581%,10.671937%
260,19348,54.557547%,29.828340%,15.614113%
261,19350,62.440686%,32.035527%,5.523786%
262,19352,48.833510%,42.435490%,8.731000%
263,19355,70.470418%,26.176046%,3.353535%
264,19358,18.703242%,48.877805%,32.418953%
265,19362,25.473411%,59.403372%,15.123217%
266,19363,33.961744%,49.871253%,16.167004%
267,19365,27.823344%,60.483701%,11.692955%
268,19367,100.000000%,0.000000%,0.000000%
269,19372,49.110923%,49.195597%,1.693480%
270,19373,41.903367%,42.723280%,15.373353%
271,19374,4.561404%,43.333333%,52.105263%
272,19375,56.862745%,43.137255%,0.000000%
273,19380,62.281439%,33.086752%,4.631809%
274,19382,64.699272%,31.306009%,3.994719%
275,19383,100.000000%,0.000000%,0.000000%
276,19390,46.267986%,40.197842%,13.534173%
277,19425,79.977445%,18.248924%,1.773631%
278,19442,Not applicable,Not applicable,Not applicable
279,19457,53.086420%,46.913580%,0.000000%
280,19460,59.049010%,36.133431%,4.817559%
281,19465,47.407468%,48.033963%,4.558569%
282,19475,42.054040%,48.981944%,8.964016%
283,19520,41.515651%,49.823488%,8.660861%
284,19543,42.817818%,48.298298%,8.883884%
285,17007,51.503106%,45.118012%,3.378882%
286,17011,46.275276%,44.715478%,9.009246%
287,17013,39.055705%,51.319114%,9.625181%
288,17015,36.904454%,58.033402%,5.062144%
289,17019,37.788513%,54.205966%,8.005521%
290,17025,38.128714%,52.380952%,9.490334%
291,17027,65.079365%,34.920635%,0.000000%
292,17043,44.288873%,51.535249%,4.175878%
293,17050,55.028515%,40.220256%,4.751229%
294,17053,28.976506%,62.570888%,8.452606%
295,17055,47.560747%,46.775829%,5.663424%
296,17065,26.491170%,62.745751%,10.763079%
297,17070,41.691215%,50.693121%,7.615665%
298,17072,59.756098%,40.243902%,0.000000%
299,17081,24.107143%,75.892857%,0.000000%
300,17093,9.642857%,67.619048%,22.738095%
301,17240,20.191055%,57.881025%,21.927920%
302,17241,19.908154%,62.951471%,17.140375%
303,17257,26.961432%,55.863270%,17.175297%
304,17266,16.891892%,68.918919%,14.189189%
305,17307,27.288095%,60.806568%,11.905337%
306,17324,18.357488%,63.630090%,18.012422%
307,15711,19.877676%,73.700306%,6.422018%
308,15715,27.371274%,67.208672%,5.420054%
309,15730,21.428571%,59.523810%,19.047619%
310,15733,28.395062%,67.901235%,3.703704%
311,15744,33.644860%,53.271028%,13.084112%
312,15764,26.446281%,62.809917%,10.743802%
313,15767,24.822134%,61.403162%,13.774704%
314,15770,15.822785%,43.037975%,41.139241%
315,15776,14.583333%,62.500000%,22.916667%
316,15778,13.157895%,78.070175%,8.771930%
317,15780,14.754098%,81.147541%,4.098361%
318,15781,70.000000%,30.000000%,0.000000%
319,15784,21.739130%,73.913043%,4.347826%
320,15823,29.189687%,63.443831%,7.366483%
321,15824,28.268156%,62.988827%,8.743017%
322,15825,26.641566%,62.981928%,10.376506%
323,15828,30.508475%,59.745763%,9.745763%
324,15829,27.777778%,65.858586%,6.363636%
325,15840,23.702186%,70.423497%,5.874317%
326,15847,3.846154%,70.329670%,25.824176%
327,15851,20.188801%,69.427162%,10.384038%
328,15853,29.131653%,64.037923%,6.830424%
329,15860,23.349057%,66.155660%,10.495283%
330,15863,7.177033%,77.511962%,15.311005%
331,15864,25.956062%,64.768104%,9.275834%
332,15865,25.945946%,61.081081%,12.972973%
333,16217,34.246575%,60.273973%,5.479452%
334,16222,20.432099%,63.024691%,16.543210%
335,16240,13.367347%,72.653061%,13.979592%
336,15001,36.730269%,55.533391%,7.736340%
337,15003,30.152718%,60.952963%,8.894319%
338,15005,39.221027%,54.936674%,5.842299%
339,15009,48.067979%,45.402504%,6.529517%
340,15010,35.658559%,56.402019%,7.939422%
341,15026,30.673617%,63.191660%,6.134723%
342,15027,33.227647%,58.084971%,8.687381%
343,15042,39.840025%,53.237963%,6.922012%
344,15043,28.993711%,64.779874%,6.226415%
345,15050,37.464142%,56.167527%,6.368330%
346,15052,30.000000%,65.097276%,4.902724%
347,15059,18.376068%,63.639601%,17.984330%
348,15061,36.476673%,55.644806%,7.878521%
349,15066,27.582393%,61.501880%,10.915727%
350,15074,26.080247%,65.154321%,8.765432%
351,15077,21.428571%,56.250000%,22.321429%
352,15081,21.739130%,67.701863%,10.559006%
353,15143,66.413662%,30.114555%,3.471783%
354,16037,40.567201%,53.020962%,6.411837%
355,16063,50.832819%,42.751388%,6.415793%
356,16115,29.853398%,62.283430%,7.863172%
