,County,Doctorate,Professional,Masters,Bachelor,Associate,Some College,High School,Some HS,Less than HS,None
287,16116,1.300954%,0.173461%,5.767563%,11.751951%,10.624458%,9.540330%,47.484822%,9.150043%,2.992194%,1.214224%
288,16117,0.252628%,0.823079%,5.093309%,17.243908%,10.235515%,14.530193%,42.881591%,7.057290%,1.458724%,0.423763%
289,16120,0.992908%,0.141844%,3.120567%,14.964539%,8.581560%,15.531915%,43.546099%,8.439716%,3.262411%,1.418440%
290,16123,0.130124%,2.212101%,5.855563%,18.022121%,12.491867%,10.279766%,41.704619%,5.595316%,3.513338%,0.195185%
291,16127,3.724593%,1.415345%,8.864531%,18.740023%,7.470469%,11.333404%,39.619027%,5.352772%,2.894541%,0.585293%
292,16132,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,18.656716%,54.477612%,26.865672%,0.000000%,0.000000%
293,16140,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,100.000000%,0.000000%,0.000000%,0.000000%
294,16141,1.335312%,0.370920%,4.747774%,12.017804%,12.759644%,12.908012%,42.581602%,10.905045%,2.002967%,0.370920%
295,16142,3.417496%,1.428207%,10.507524%,14.766641%,6.656465%,11.935731%,30.043356%,6.834991%,13.338434%,1.071155%
296,16143,0.711297%,0.836820%,3.221757%,7.698745%,9.163180%,17.029289%,51.506276%,7.112971%,1.589958%,1.129707%
297,16155,0.000000%,5.384615%,36.923077%,10.769231%,0.000000%,0.000000%,26.153846%,20.769231%,0.000000%,0.000000%
298,16156,1.186357%,2.323282%,5.981216%,13.000494%,7.760751%,16.213544%,42.016807%,6.376668%,4.794859%,0.346021%
299,16157,0.000000%,0.177462%,2.262644%,11.135759%,9.627329%,14.862467%,53.194321%,5.634428%,2.795031%,0.310559%
300,16159,0.000000%,0.000000%,7.366267%,13.270973%,7.366267%,13.797135%,49.342298%,6.050862%,1.724642%,1.081555%
301,16160,0.000000%,0.000000%,2.439024%,8.034433%,10.903874%,16.212339%,46.771879%,9.038737%,1.434720%,5.164993%
302,15004,0.000000%,0.000000%,0.000000%,11.904762%,11.904762%,19.523810%,52.380952%,4.285714%,0.000000%,0.000000%
303,15012,0.747976%,1.627948%,8.034143%,13.032383%,12.750792%,16.050686%,41.913059%,4.619852%,0.695178%,0.527983%
304,15017,0.645109%,2.261963%,10.493222%,27.094561%,7.341173%,15.302956%,31.095868%,3.895149%,0.702270%,1.167728%
305,15019,0.000000%,0.000000%,5.815972%,8.420139%,11.024306%,13.107639%,55.295139%,5.555556%,0.347222%,0.434028%
306,15021,0.000000%,0.579809%,3.751705%,11.681446%,8.714188%,15.296726%,47.135061%,9.362210%,2.830832%,0.648022%
307,15022,0.330943%,0.482625%,6.343078%,12.327634%,12.451737%,15.526751%,44.415334%,4.633205%,2.137341%,1.351351%
308,15025,0.541248%,1.431689%,9.262331%,20.925360%,11.628110%,16.246181%,34.727193%,3.334788%,0.846792%,1.056307%
309,15026,0.320770%,0.641540%,3.608661%,8.981556%,17.121091%,22.574178%,40.617482%,5.132318%,0.641540%,0.360866%
310,15033,0.608458%,1.034378%,7.605720%,12.686340%,8.275023%,15.880742%,44.539093%,8.092486%,0.669303%,0.608458%
311,15038,0.000000%,0.000000%,0.000000%,7.111111%,0.000000%,45.777778%,40.000000%,7.111111%,0.000000%,0.000000%
312,15053,0.000000%,0.000000%,0.000000%,0.000000%,22.047244%,19.685039%,41.732283%,6.299213%,10.236220%,0.000000%
313,15054,0.000000%,0.000000%,4.545455%,5.844156%,4.870130%,24.025974%,40.259740%,14.285714%,2.597403%,3.571429%
314,15055,2.308499%,2.728227%,8.709339%,19.832109%,6.820567%,7.869885%,43.336831%,2.728227%,0.000000%,5.666317%
315,15057,0.779727%,0.816857%,10.424209%,23.048362%,10.080757%,12.633435%,35.097002%,5.003249%,1.151026%,0.965376%
316,15060,0.000000%,0.000000%,0.980392%,11.568627%,5.098039%,17.450980%,55.686275%,7.843137%,0.392157%,0.980392%
317,15063,0.240096%,1.656663%,7.599040%,14.357743%,10.972389%,15.570228%,41.488595%,5.942377%,1.104442%,1.068427%
318,15067,0.000000%,0.186104%,2.729529%,9.739454%,13.399504%,14.516129%,47.270471%,8.002481%,3.660050%,0.496278%
319,15078,0.000000%,0.000000%,0.000000%,13.385827%,2.755906%,5.905512%,50.393701%,14.960630%,12.598425%,0.000000%
320,15126,0.886491%,0.886491%,9.539410%,27.924456%,10.425901%,16.380806%,25.130083%,7.612257%,1.002120%,0.211987%
321,15129,1.547665%,0.988425%,10.833658%,23.579139%,15.281571%,15.879828%,29.223566%,1.898816%,0.247106%,0.520224%
322,15241,3.635979%,8.874612%,19.641344%,35.710251%,6.587122%,11.529229%,12.482350%,0.783677%,0.508331%,0.247105%
323,15301,1.079490%,1.432777%,5.394645%,16.004486%,9.224730%,15.645591%,40.914061%,7.015281%,1.788869%,1.500070%
324,15311,0.000000%,0.641026%,8.150183%,13.736264%,12.545788%,19.047619%,40.384615%,4.670330%,0.000000%,0.824176%
325,15312,0.305111%,0.572082%,3.852021%,13.348589%,12.356979%,14.912281%,45.652174%,6.903127%,1.830664%,0.266972%
326,15313,1.824818%,1.094891%,2.919708%,11.678832%,8.394161%,15.328467%,44.525547%,4.379562%,9.124088%,0.729927%
327,15314,0.150376%,0.000000%,3.082707%,13.834586%,12.067669%,16.315789%,43.947368%,7.706767%,2.105263%,0.789474%
328,15317,1.585659%,2.631676%,12.001478%,29.140639%,8.582517%,15.353909%,25.337276%,3.108483%,1.655886%,0.602476%
329,15321,0.000000%,2.657219%,11.691763%,19.220549%,8.148804%,20.903454%,33.923826%,3.454384%,0.000000%,0.000000%
330,15322,0.405405%,0.608108%,3.783784%,13.716216%,13.108108%,12.635135%,43.243243%,9.932432%,2.432432%,0.135135%
331,15323,0.612557%,0.459418%,3.889740%,10.689127%,8.882083%,14.027565%,52.373660%,6.186830%,1.286371%,1.592649%
332,15324,0.466200%,0.699301%,2.797203%,9.790210%,7.459207%,14.219114%,53.613054%,6.993007%,0.932401%,3.030303%
333,15329,0.000000%,0.390244%,3.024390%,11.414634%,9.658537%,22.146341%,43.121951%,9.268293%,0.975610%,0.000000%
334,15330,0.377715%,0.283286%,6.279509%,21.128423%,11.213409%,19.830028%,34.584514%,4.839471%,1.322002%,0.141643%
335,15331,1.417004%,0.000000%,2.226721%,8.704453%,5.465587%,12.955466%,53.846154%,12.145749%,2.834008%,0.404858%
336,15332,0.189903%,0.553885%,6.061086%,16.537427%,11.093527%,14.226935%,46.083241%,4.415256%,0.443108%,0.395632%
337,15333,0.409836%,0.000000%,7.318501%,10.597190%,6.967213%,13.056206%,51.814988%,7.611241%,1.932084%,0.292740%
338,15340,0.000000%,0.000000%,11.546610%,19.385593%,11.334746%,12.923729%,39.830508%,2.754237%,2.224576%,0.000000%
339,15342,0.222717%,1.280624%,4.259465%,16.842984%,11.414254%,18.262806%,39.532294%,6.959911%,0.890869%,0.334076%
340,15345,0.000000%,0.656045%,1.218369%,9.090909%,11.902530%,18.088097%,47.047798%,7.685098%,3.280225%,1.030928%
341,15347,0.000000%,0.000000%,0.000000%,1.535088%,1.535088%,27.850877%,59.868421%,9.210526%,0.000000%,0.000000%
342,15348,0.000000%,0.000000%,4.526749%,26.748971%,6.172840%,29.629630%,27.160494%,5.761317%,0.000000%,0.000000%
343,15350,0.000000%,0.000000%,0.000000%,0.000000%,9.034268%,16.199377%,61.059190%,5.295950%,8.411215%,0.000000%
344,15358,0.000000%,2.070393%,8.902692%,13.457557%,14.906832%,18.426501%,37.267081%,4.968944%,0.000000%,0.000000%
345,15360,1.262826%,0.947119%,7.498027%,17.205998%,6.629834%,13.891081%,46.803473%,3.709550%,1.657459%,0.394633%
346,15361,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,59.574468%,0.000000%,8.510638%,31.914894%
347,15363,0.000000%,0.000000%,5.161290%,28.172043%,0.000000%,14.623656%,43.655914%,8.387097%,0.000000%,0.000000%
348,15366,0.000000%,5.590062%,0.000000%,5.590062%,0.000000%,24.223602%,52.795031%,0.000000%,11.801242%,0.000000%
349,15367,2.772903%,4.457704%,17.058617%,41.962092%,7.739558%,11.776062%,13.531064%,0.702001%,0.000000%,0.000000%
350,15368,0.000000%,0.000000%,3.804348%,10.869565%,10.326087%,8.695652%,47.826087%,16.304348%,2.173913%,0.000000%
351,15370,0.663130%,0.350512%,5.769231%,11.159530%,6.527094%,14.361501%,48.067450%,9.937476%,2.387268%,0.776809%
352,15376,1.108033%,0.184672%,4.616805%,15.050785%,9.787627%,12.650046%,47.183749%,6.832872%,0.554017%,2.031394%
353,15377,0.000000%,0.371747%,1.672862%,9.479554%,5.390335%,12.081784%,54.089219%,13.754647%,2.416357%,0.743494%
354,15378,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,100.000000%,0.000000%,0.000000%,0.000000%,0.000000%
