,County,Doctorate F,Professional F,Masters F,Bachelor F,Associate F,Some College F,High School F,Some HS F,Less than HS F,None F
127,16245,3.846%,0.000%,16.667%,67.949%,7.692%,0.000%,3.846%,8.108108%,-100.000000%,-51.924828%
128,16249,0.694%,0.000%,3.056%,18.194%,10.694%,16.667%,41.806%,5.556%,2.639%,0.694%
129,16250,4.717%,0.000%,10.377%,40.566%,35.849%,4.717%,3.774%,0.000000%,-100.000000%,-100.000000%
130,16253,0.000%,15.385%,71.795%,12.821%,5.357143%,0.000%,5.357%,0.000%,0.000%,100.000%
131,16259,0.297%,4.599%,4.896%,6.083%,17.507%,56.231%,6.677%,3.709%,0.000%,3.220339%
132,16262,0.000%,0.000%,4.532%,13.498%,12.414%,15.961%,46.108%,5.025%,2.463%,0.000%
133,16263,4.580%,0.000%,11.450%,16.031%,64.885%,3.053%,12.087912%,-100.000000%,-28.327490%,-100.000000%
134,16038,1.236%,0.232%,5.637%,15.676%,5.637%,15.598%,47.568%,4.788%,2.162%,1.467%
135,16127,2.482%,0.961%,10.689%,17.214%,7.846%,12.150%,39.972%,5.364%,3.002%,0.320%
136,16153,0.000%,6.995%,10.929%,11.257%,14.754%,48.962%,4.590%,2.295%,0.219%,11.709287%
137,16232,0.000%,0.750%,6.567%,15.885%,6.879%,12.258%,48.218%,7.630%,1.063%,0.750%
138,16301,0.200%,0.534%,5.038%,11.411%,9.459%,17.868%,46.113%,7.491%,1.301%,0.584%
139,16311,1.087%,9.783%,13.043%,8.696%,21.739%,40.217%,1.087%,3.261%,1.087%,12.650602%
140,16314,0.155%,0.310%,4.496%,11.731%,10.904%,12.765%,49.457%,6.718%,3.204%,0.258%
141,16317,0.549%,3.663%,6.227%,9.524%,20.147%,53.297%,5.311%,1.282%,0.000%,6.066946%
142,16319,6.009%,11.159%,7.725%,13.305%,52.575%,7.940%,1.288%,5.585106%,-67.391742%,-66.884389%
143,16323,0.131%,0.574%,6.000%,10.426%,7.934%,13.639%,48.344%,9.541%,2.213%,1.197%
144,16341,0.424%,6.215%,11.017%,11.441%,15.960%,48.729%,3.531%,0.989%,1.695%,10.553633%
145,16342,4.143%,7.365%,7.940%,12.198%,46.145%,9.091%,0.230%,12.888%,5.785124%,-28.133957%
146,16343,7.018%,41.520%,11.111%,40.351%,0.000%,35.398230%,-100.000000%,109.885709%,180.492518%,-4.903175%
147,16344,2.083%,6.250%,14.063%,11.979%,55.208%,7.813%,1.563%,1.042%,3.355705%,-26.275353%
148,16346,0.000%,7.629%,16.584%,8.624%,17.164%,38.226%,6.219%,2.736%,2.819%,12.295082%
149,16353,0.384%,0.192%,6.238%,7.102%,9.309%,12.956%,50.192%,7.965%,5.662%,0.000%
150,16354,0.544%,0.647%,5.177%,10.639%,6.109%,15.532%,50.039%,8.491%,1.993%,0.828%
151,16362,1.887%,0.943%,2.123%,15.094%,7.783%,8.726%,55.425%,6.132%,0.943%,0.943%
152,16364,5.714%,7.381%,10.714%,10.238%,55.476%,6.667%,3.810%,0.000%,6.299213%,-55.423630%
153,16372,5.233%,9.302%,2.907%,16.860%,55.233%,6.977%,3.488%,6.557377%,-1.322395%,-61.119533%
154,16373,0.087%,0.000%,6.169%,12.511%,7.559%,20.765%,43.788%,4.692%,2.954%,1.477%
155,16374,0.000%,0.000%,5.432%,10.724%,7.103%,14.206%,51.950%,7.103%,3.064%,0.418%
156,15521,0.156%,0.000%,3.125%,6.719%,8.906%,15.625%,60.156%,4.375%,0.625%,0.313%
157,15522,0.507%,1.345%,5.511%,10.207%,7.584%,18.541%,44.466%,8.311%,2.183%,1.345%
158,15533,0.000%,5.918%,4.694%,14.898%,18.776%,46.327%,7.755%,0.408%,1.224%,8.752735%
159,15534,5.556%,5.556%,13.743%,16.667%,45.029%,12.573%,0.000%,0.877%,4.968944%,-26.369389%
160,15535,0.417%,0.417%,2.500%,9.583%,8.889%,18.889%,46.806%,8.750%,3.056%,0.694%
161,15537,0.937%,0.097%,3.876%,8.398%,4.651%,17.183%,48.417%,11.693%,2.972%,1.776%
162,15539,0.000%,31.897%,4.741%,15.517%,9.052%,14.224%,24.569%,0.000000%,85.914328%,-100.000000%
163,15545,0.205%,0.205%,3.071%,5.527%,11.259%,15.967%,47.799%,9.212%,4.811%,1.945%
164,15550,1.933%,1.757%,6.327%,9.490%,19.684%,48.155%,8.084%,2.460%,2.109%,6.262626%
165,15554,0.000%,0.000%,4.509%,10.636%,11.098%,12.139%,51.561%,4.740%,5.318%,0.000%
166,15559,0.131%,4.314%,7.320%,8.366%,15.163%,55.556%,8.105%,0.654%,0.392%,5.963939%
