,County,Doctorate F,Professional F,Masters F,Bachelor F,Associate F,Some College F,High School F,Some HS F,Less than HS F,None F
1107,17968,3.125%,0.000%,12.500%,8.333%,4.167%,51.042%,12.500%,8.333%,0.000%,21.428571%
1108,17970,0.000%,2.385%,5.196%,12.436%,12.010%,58.348%,7.751%,0.596%,1.278%,3.023256%
1109,17972,0.287%,0.740%,8.956%,14.760%,10.700%,9.721%,46.071%,6.759%,1.361%,0.645%
1110,17974,11.667%,0.000%,76.667%,0.000%,11.667%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%
1111,17976,0.000%,0.000%,3.337%,6.597%,7.839%,17.540%,43.849%,12.844%,6.286%,1.707%
1112,17978,0.000%,9.877%,8.642%,22.222%,38.272%,16.049%,0.000%,4.938%,3.636364%,-61.821165%
1113,17979,34.615%,0.000%,65.385%,0.000%,37.962963%,10.914%,16.865%,20.000%,100.000000%,0.000000%
1114,17980,1.297%,2.132%,7.692%,11.863%,15.755%,49.027%,8.897%,2.410%,0.927%,7.407407%
1115,17981,0.099%,2.081%,3.568%,7.235%,9.019%,57.681%,10.307%,5.946%,4.063%,4.161248%
1116,17982,1.500%,5.000%,2.000%,16.500%,26.000%,35.500%,12.000%,0.000%,1.500%,1.538462%
1117,17983,0.000%,0.000%,3.261%,5.072%,17.029%,11.957%,47.464%,10.326%,4.529%,0.362%
1118,17985,0.648%,0.000%,5.616%,12.095%,10.799%,17.279%,47.300%,4.968%,0.648%,0.648%
1119,18201,0.531%,0.542%,2.857%,6.472%,7.115%,14.796%,42.715%,13.700%,8.911%,2.361%
1120,18202,0.000%,0.000%,3.902%,10.885%,7.417%,20.059%,38.727%,10.269%,7.417%,1.324%
1121,18211,8.333%,9.220%,9.929%,31.560%,37.943%,3.014%,0.000%,16.289593%,6.900739%,-3.414586%
1122,18214,0.395%,0.527%,10.277%,14.229%,13.043%,17.787%,34.783%,7.510%,0.791%,0.659%
1123,18218,0.118%,0.592%,1.777%,9.479%,7.227%,28.081%,41.706%,10.071%,0.000%,0.948%
1124,18220,0.000%,3.623%,26.087%,3.623%,57.246%,9.420%,2.222222%,-100.000000%,-86.823842%,-65.793595%
1125,18231,9.605%,1.695%,14.689%,16.384%,42.938%,14.689%,0.000%,2.970297%,-61.008849%,-82.388303%
1126,18237,0.503%,0.839%,3.356%,5.201%,8.977%,19.966%,51.007%,7.383%,1.510%,1.258%
1127,18240,1.317%,0.000%,10.256%,7.484%,4.089%,19.543%,51.005%,4.712%,1.594%,0.000%
1128,18241,1.681%,15.126%,17.647%,59.244%,6.303%,0.000%,0.000000%,-100.000000%,-100.000000%,-100.000000%
1129,18242,4.839%,0.000%,12.903%,27.419%,51.613%,0.000%,3.226%,13.513514%,-100.000000%,-19.874713%
1130,18245,39.823%,0.000%,46.018%,0.000000%,27.484111%,-100.000000%,-100.000000%,-100.000000%,"-1,000.000000%",40.496%
1131,18248,13.684%,2.105%,1.579%,13.158%,64.211%,4.737%,0.526%,0.000%,2.739726%,-100.000000%
1132,18252,0.000%,0.476%,3.781%,11.567%,15.849%,12.994%,39.134%,12.068%,2.729%,1.402%
1133,19549,0.000%,0.000%,6.818%,7.955%,18.182%,40.909%,20.455%,5.682%,0.000%,6.521739%
1134,15411,1.413%,0.000%,2.827%,19.081%,7.420%,18.728%,40.989%,9.187%,0.353%,15.000000%
1135,15424,0.755%,0.000%,6.164%,10.566%,7.799%,13.836%,48.050%,8.805%,2.138%,1.887%
1136,15501,0.581%,1.180%,6.961%,9.055%,9.105%,14.953%,47.915%,7.842%,1.728%,0.681%
1137,15502,5.882%,43.137%,27.451%,0.000%,3.922%,19.608%,0.000000%,223.397193%,-100.000000%,-26.186180%
1138,15510,-96.049401%,-96.674906%,2.664%,100.000%,0.000000%,15.154385%,13.020590%,12.313400%,34.780899%,29.333279%
1139,15520,25.263%,16.842%,0.000%,40.000%,17.895%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%
1140,15530,0.000%,0.422%,5.851%,8.645%,10.385%,13.073%,47.232%,9.541%,3.585%,1.265%
1141,15531,0.538%,0.135%,2.826%,11.373%,11.911%,22.207%,39.367%,9.690%,1.952%,0.000%
1142,15532,2.899%,4.348%,24.638%,46.377%,21.739%,0.000%,3.076923%,-100.000000%,-81.756088%,-100.000000%
1143,15534,5.556%,5.556%,13.743%,16.667%,45.029%,12.573%,0.000%,0.877%,4.968944%,-26.369389%
1144,15538,0.702%,3.509%,16.140%,5.614%,13.333%,52.632%,4.211%,3.509%,0.351%,15.272727%
1145,15540,8.451%,9.859%,0.000%,26.761%,42.254%,8.451%,4.225%,4.000000%,-37.240271%,-76.282915%
1146,15541,0.000%,0.225%,3.453%,10.360%,7.508%,19.294%,47.072%,10.135%,1.577%,0.375%
1147,15542,2.457%,2.457%,9.828%,10.074%,65.111%,4.177%,2.211%,3.686%,3.561644%,-89.091761%
1148,15544,19.231%,0.000%,61.538%,0.000000%,0.000%,0.000%,55.556%,100.000%,100.000%,100.000000%
1149,15545,0.205%,0.205%,3.071%,5.527%,11.259%,15.967%,47.799%,9.212%,4.811%,1.945%
1150,15546,37.662%,62.338%,24.590164%,-100.000000%,45.801753%,-100.000000%,-100.000000%,"1,000.000000%",58.333%,100.000000%
1151,15547,0.000%,0.000%,9.630%,11.111%,37.778%,38.519%,2.963%,0.000%,7.500000%,-39.585140%
1152,15551,0.962%,4.167%,7.372%,13.782%,21.474%,46.795%,4.808%,0.641%,0.000%,10.162602%
1153,15552,0.092%,0.321%,4.902%,7.375%,9.803%,11.590%,47.320%,11.315%,6.138%,1.145%
1154,15555,19.355%,25.806%,9.677%,35.484%,9.677%,12.820513%,0.000%,12.821%,36.842%,15.789%
1155,15557,0.000%,0.308%,3.769%,11.923%,11.846%,12.231%,50.846%,5.462%,2.769%,0.846%
1156,15558,0.245%,0.000%,5.399%,7.730%,7.485%,13.497%,44.663%,8.466%,12.270%,0.245%
1157,15559,0.131%,4.314%,7.320%,8.366%,15.163%,55.556%,8.105%,0.654%,0.392%,5.963939%
1158,15560,0.000%,9.836%,19.672%,14.754%,11.475%,40.984%,0.000%,1.639%,1.639%,17.391304%
1159,15561,21.212%,6.061%,12.121%,30.303%,25.758%,4.545%,0.000%,0.000%,0.000000%,-100.000000%
1160,15562,20.000%,12.000%,10.000%,44.000%,14.000%,0.000000%,6.061%,0.000%,12.500%,18.182%
1161,15563,0.835%,0.585%,4.678%,6.266%,9.524%,16.207%,49.708%,9.691%,1.003%,1.504%
1162,15564,5.882%,5.882%,5.882%,14.706%,52.941%,14.706%,0.000%,0.000000%,-16.700723%,-100.000000%
1163,15622,0.000%,16.502%,4.187%,7.143%,23.153%,42.611%,5.911%,0.493%,6.759907%,-54.032172%
1164,15905,0.716%,1.629%,7.887%,21.933%,10.195%,17.119%,36.880%,2.431%,1.123%,0.086%
1165,15924,6.061%,7.989%,6.336%,11.846%,48.485%,11.295%,6.612%,1.377%,9.225092%,-1.978060%
1166,15926,0.438%,0.547%,3.829%,10.941%,11.160%,15.098%,43.217%,10.175%,3.939%,0.656%
1167,15928,0.225%,4.622%,3.833%,19.278%,4.510%,17.475%,48.253%,1.804%,0.000%,13.346228%
1168,15935,2.201%,1.048%,5.241%,10.168%,8.071%,14.990%,53.878%,3.040%,1.363%,0.000%
1169,15936,0.000%,0.844%,3.586%,11.392%,14.346%,15.190%,46.414%,5.274%,2.954%,0.000%
1170,15937,22.404%,20.765%,39.344%,12.022%,5.464%,0.000%,4.347826%,-100.000000%,-74.220560%,99.537360%
1171,15953,28.378%,0.000%,52.703%,18.919%,32.307692%,0.000%,32.308%,0.000%,100.000%,100.000%
1172,15963,1.097%,0.000%,5.463%,14.194%,11.188%,11.427%,43.368%,8.492%,4.342%,0.429%
1173,17017,0.489%,0.489%,4.405%,10.440%,11.419%,14.356%,48.124%,7.830%,1.305%,1.142%
1174,17730,0.000%,77.273%,22.727%,0.000000%,0.000%,0.000%,0.000%,0.000000%,-22.727273%,100.000000%
1175,17749,1.587%,7.937%,17.460%,18.254%,54.762%,0.000%,0.000%,4.424779%,-42.731747%,-73.764286%
1176,17756,0.071%,0.892%,6.758%,8.951%,9.807%,16.405%,40.942%,11.341%,3.174%,1.658%
1177,17772,1.587%,0.794%,6.009%,7.370%,9.637%,12.698%,48.413%,8.844%,3.628%,1.020%
1178,17777,0.639%,0.000%,5.528%,11.395%,8.274%,11.433%,50.884%,8.199%,2.933%,0.715%
1179,17801,0.370%,0.504%,3.730%,8.167%,10.469%,13.779%,48.311%,11.107%,3.159%,0.403%
1180,17821,1.324%,2.535%,8.704%,16.169%,6.704%,14.225%,40.451%,6.676%,2.507%,0.704%
1181,17823,0.000%,7.176%,10.880%,7.639%,13.194%,46.991%,9.259%,3.704%,1.157%,6.571429%
1182,17824,0.419%,0.209%,16.260%,14.236%,6.560%,20.237%,31.682%,9.211%,0.140%,1.047%
1183,17830,0.284%,2.418%,9.531%,11.807%,10.242%,52.489%,11.095%,1.707%,0.427%,9.183673%
1184,17832,1.487%,5.948%,10.781%,6.320%,17.472%,46.840%,9.294%,1.859%,8.695652%,-74.188956%
1185,17834,0.000%,0.279%,5.296%,10.314%,7.456%,9.477%,54.495%,6.899%,4.390%,1.394%
1186,17836,4.878%,17.073%,4.878%,13.415%,57.317%,2.439%,0.000%,7.936508%,122.881849%,-52.942292%
1187,17840,0.000%,4.762%,46.032%,46.032%,3.175%,0.000000%,-100.000000%,-100.000000%,-8.782921%,-100.000000%
1188,17847,0.403%,0.828%,5.503%,8.993%,9.306%,11.051%,48.479%,12.282%,2.685%,0.470%
1189,17850,0.000%,1.953%,12.891%,10.938%,60.938%,13.281%,0.000%,0.000000%,4.387701%,-100.000000%
1190,17851,0.321%,1.445%,1.284%,9.695%,6.324%,13.804%,51.236%,9.374%,5.971%,0.546%
1191,17857,0.274%,0.308%,7.395%,14.276%,6.505%,15.988%,47.347%,7.052%,0.856%,0.000%
1192,17860,0.000%,0.462%,7.283%,13.295%,8.555%,10.636%,49.017%,10.058%,0.694%,0.000%
1193,17865,0.000%,0.000%,5.405%,94.595%,0.000%,37.500000%,-100.000000%,122.347673%,-100.000000%,-100.000000%
1194,17866,0.256%,0.128%,4.636%,7.193%,6.330%,13.043%,49.968%,12.788%,4.060%,1.598%
1195,17867,3.279%,8.197%,18.033%,16.393%,54.098%,0.000%,0.000000%,-23.642330%,-100.000000%,-100.000000%
1196,17868,8.311%,1.609%,5.898%,19.035%,5.362%,13.941%,39.410%,3.217%,3.217%,20.343137%
1197,17872,0.028%,5.071%,8.348%,8.746%,13.618%,48.120%,8.348%,4.872%,2.849%,6.776685%
1198,17881,0.805%,3.219%,1.610%,6.841%,7.243%,8.048%,57.545%,9.256%,3.018%,2.414%
1199,17941,0.000%,1.969%,9.843%,15.354%,14.173%,48.819%,5.118%,3.937%,0.787%,7.281553%
1200,17964,0.000%,1.634%,4.575%,8.170%,16.013%,6.536%,52.941%,4.902%,3.595%,1.634%
1201,15711,0.000%,19.118%,12.500%,11.029%,57.353%,0.000%,0.000%,7.692308%,-57.381765%,-54.390221%
1202,15715,2.752%,16.055%,8.716%,16.055%,52.752%,2.752%,0.917%,17.391304%,-1.473974%,3.117761%
1203,15730,0.000%,26.087%,0.000%,39.130%,34.783%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%
1204,15733,12.195%,17.073%,12.195%,0.000%,51.220%,7.317%,0.000000%,-100.000000%,-100.000000%,-100.000000%
1205,15744,16.667%,6.250%,6.250%,60.417%,4.167%,0.000%,6.250%,40.000000%,-100.000000%,137.170851%
1206,15764,4.615%,4.615%,20.000%,0.000%,60.000%,10.769%,7.142857%,-37.525542%,-57.648062%,-41.564059%
1207,15767,0.076%,0.821%,3.782%,12.187%,10.201%,12.837%,47.545%,7.125%,4.145%,1.280%
1208,15770,6.024%,10.843%,0.000%,34.940%,8.434%,39.759%,0.000000%,-100.000000%,-100.000000%,66.959832%
1209,15776,0.000%,15.000%,0.000%,15.000%,50.000%,20.000%,8.571429%,-100.000000%,-49.177675%,-100.000000%
1210,15778,13.043%,0.000%,10.870%,63.043%,13.043%,0.000%,18.918919%,74.531818%,12.175402%,-100.000000%
1211,15780,0.000%,11.667%,16.667%,66.667%,5.000%,7.017544%,5.726005%,-58.391079%,-100.000000%,-100.000000%
1212,15781,0.000%,73.913%,0.000%,13.043%,13.043%,16.666667%,-100.000000%,-1.178812%,142.400941%,159.726811%
1213,15784,3.704%,7.407%,14.815%,3.704%,7.407%,62.963%,0.000%,25.000000%,-100.000000%,48.231782%
1214,15823,1.838%,10.110%,21.324%,12.316%,45.037%,8.824%,0.551%,0.000%,10.064240%,-29.175494%
1215,15824,0.618%,0.464%,4.843%,9.737%,13.653%,14.735%,48.120%,5.307%,2.215%,0.309%
1216,15825,0.148%,0.325%,4.931%,11.662%,10.393%,14.674%,48.479%,6.348%,2.864%,0.177%
1217,15828,6.542%,7.477%,17.757%,17.757%,38.318%,6.542%,2.804%,2.804%,9.565217%,-35.211674%
1218,15829,0.596%,0.398%,6.163%,19.682%,5.567%,15.308%,45.924%,5.567%,0.398%,0.398%
1219,15840,0.419%,4.469%,7.263%,11.313%,16.480%,52.793%,6.425%,0.838%,0.000%,5.400982%
1220,15847,0.000%,10.417%,75.000%,9.375%,5.208%,0.000000%,-16.700723%,-100.000000%,-100.000000%,-100.000000%
1221,15851,0.000%,0.947%,4.520%,6.414%,8.868%,12.355%,56.048%,6.070%,4.090%,0.689%
1222,15853,0.216%,1.124%,6.701%,12.884%,10.160%,18.029%,42.758%,6.615%,0.346%,1.167%
1223,15860,0.716%,4.773%,10.263%,11.933%,13.842%,48.210%,7.160%,2.387%,0.716%,4.838710%
1224,15863,4.202%,2.521%,20.168%,59.664%,1.681%,11.765%,2.343750%,-100.000000%,-86.103270%,-51.639221%
1225,15864,1.639%,0.000%,5.902%,9.672%,7.705%,17.705%,50.656%,3.443%,3.279%,8.390411%
1226,15865,0.656%,0.656%,5.908%,4.595%,16.411%,13.348%,45.514%,9.190%,3.720%,0.000%
1227,16217,0.000%,27.273%,9.091%,3.030%,48.485%,9.091%,3.030%,14.285714%,77.346848%,-15.296125%
1228,16222,0.246%,1.968%,10.947%,8.241%,12.054%,51.415%,4.059%,10.701%,0.369%,8.641975%
1229,16240,0.620%,0.207%,3.512%,6.198%,3.306%,14.876%,56.818%,11.777%,2.686%,0.000%
1230,15829,0.596%,0.398%,6.163%,19.682%,5.567%,15.308%,45.924%,5.567%,0.398%,0.398%
1231,15860,0.716%,4.773%,10.263%,11.933%,13.842%,48.210%,7.160%,2.387%,0.716%,4.838710%
1232,15864,1.639%,0.000%,5.902%,9.672%,7.705%,17.705%,50.656%,3.443%,3.279%,8.390411%
1233,16028,0.419%,0.838%,5.587%,8.101%,7.402%,10.754%,54.330%,10.475%,1.676%,0.419%
1234,16036,0.000%,10.526%,13.684%,10.526%,23.158%,33.684%,8.421%,12.500000%,-46.881621%,-25.884109%
1235,16049,2.457%,7.461%,9.190%,17.561%,53.503%,7.279%,1.729%,0.819%,7.411273%,-62.853025%
1236,16054,0.000%,7.333%,10.667%,22.667%,38.000%,16.000%,5.333%,4.166667%,-80.504425%,-75.294703%
1237,16213,14.545%,0.000%,61.818%,23.636%,0.000%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%
1238,16214,3.762%,0.202%,13.228%,17.597%,8.738%,12.702%,34.951%,5.704%,2.549%,0.566%
1239,16224,0.860%,0.000%,7.097%,10.968%,4.301%,16.559%,43.226%,13.548%,2.796%,0.645%
1240,16230,1.190%,7.143%,5.952%,9.524%,51.786%,19.048%,4.167%,1.190%,4.301075%,-82.546818%
1241,16232,0.000%,0.750%,6.567%,15.885%,6.879%,12.258%,48.218%,7.630%,1.063%,0.750%
1242,16233,0.000%,0.000%,2.703%,16.424%,9.979%,27.859%,37.006%,3.742%,2.287%,0.000%
1243,16235,0.857%,0.000%,4.069%,23.126%,10.921%,11.563%,42.612%,5.996%,0.000%,0.857%
1244,16240,0.620%,0.207%,3.512%,6.198%,3.306%,14.876%,56.818%,11.777%,2.686%,0.000%
1245,16242,0.175%,0.000%,5.484%,10.502%,6.184%,15.228%,48.483%,10.793%,3.151%,0.000%
1246,16248,0.716%,3.491%,9.042%,6.356%,12.981%,53.357%,10.206%,2.507%,1.343%,4.697286%
1247,16254,1.354%,1.831%,7.803%,13.455%,9.475%,14.252%,41.879%,5.812%,1.035%,3.105%
1248,16255,0.478%,0.318%,3.822%,13.057%,9.873%,13.376%,50.955%,1.911%,6.210%,0.000%
1249,16258,2.314%,5.725%,13.886%,6.699%,9.379%,51.888%,3.654%,6.456%,0.000%,8.527132%
1250,16260,0.000%,0.000%,28.302%,0.000%,24.528%,26.415%,20.755%,3.333333%,-100.000000%,-80.235762%
1251,16319,6.009%,11.159%,7.725%,13.305%,52.575%,7.940%,1.288%,5.585106%,-67.391742%,-66.884389%
1252,16326,7.534%,21.233%,6.849%,23.288%,41.096%,0.000%,13.475177%,-100.000000%,-20.102018%,64.486353%
1253,16331,30.769%,23.077%,0.000%,34.615%,11.538%,16.279070%,0.000%,16.279%,100.000%,25.000%
1254,16332,10.526%,63.158%,26.316%,28.571429%,0.000%,28.571%,0.000%,100.000000%,0.000000%,-10.526316%
1255,16334,3.937%,4.724%,5.512%,13.386%,10.236%,59.055%,3.150%,0.000%,12.941176%,-100.000000%
1256,16353,0.384%,0.192%,6.238%,7.102%,9.309%,12.956%,50.192%,7.965%,5.662%,0.000%
1257,16361,31.250%,0.000%,0.000%,0.000%,68.750%,0.000%,100.000000%,0.000%,100.000%,0.000%
1258,16364,5.714%,7.381%,10.714%,10.238%,55.476%,6.667%,3.810%,0.000%,6.299213%,-55.423630%
1259,16373,0.087%,0.000%,6.169%,12.511%,7.559%,20.765%,43.788%,4.692%,2.954%,1.477%
1260,18403,0.000%,0.324%,10.184%,23.390%,7.557%,14.933%,32.674%,9.212%,1.727%,0.000%
1261,18407,0.249%,0.709%,6.492%,11.988%,9.881%,16.622%,43.949%,6.875%,2.566%,0.670%
1262,18411,1.586%,2.074%,15.766%,22.843%,8.456%,19.158%,25.906%,3.868%,0.000%,0.342%
1263,18414,0.653%,1.657%,11.948%,19.980%,9.488%,14.809%,38.253%,2.410%,0.703%,0.100%
1264,18419,0.837%,0.386%,9.974%,18.468%,9.717%,16.474%,38.674%,5.084%,0.386%,0.000%
1265,18420,20.000%,40.000%,0.000000%,0.000%,0.000%,0.000%,100.000%,100.000000%,100.000000%,-40.000000%
1266,18421,0.000%,0.900%,4.498%,14.793%,6.997%,16.242%,48.426%,5.147%,2.499%,0.500%
1267,18424,1.340%,0.567%,4.485%,17.680%,10.361%,21.804%,38.041%,4.072%,1.340%,0.309%
1268,18433,0.243%,0.607%,8.219%,16.559%,8.826%,17.045%,41.296%,5.830%,0.769%,0.607%
1269,18434,0.000%,0.912%,5.212%,19.544%,11.987%,10.945%,43.713%,4.625%,3.062%,24.724265%
1270,18436,0.830%,0.263%,10.310%,11.262%,7.960%,18.574%,43.002%,6.360%,0.932%,0.506%
1271,18444,0.553%,0.840%,9.218%,16.298%,11.107%,16.641%,38.397%,3.931%,1.775%,1.240%
1272,18446,0.000%,2.686%,5.449%,11.972%,11.819%,14.889%,45.664%,6.600%,0.691%,0.230%
1273,18447,0.402%,0.872%,8.272%,20.098%,8.294%,17.662%,35.278%,5.634%,2.191%,1.297%
1274,18452,0.000%,0.000%,13.572%,11.779%,6.738%,16.432%,42.026%,5.914%,2.424%,1.115%
1275,18471,10.504%,42.437%,28.571%,3.782%,8.403%,5.042%,42.358079%,166.020271%,151.152538%,133.743765%
1276,18503,0.000%,0.000%,10.764%,8.333%,14.931%,19.792%,32.639%,5.556%,5.556%,2.431%
1277,18504,0.876%,0.703%,5.017%,11.083%,9.809%,20.003%,39.660%,7.566%,2.243%,3.040%
1278,18505,1.225%,0.435%,5.242%,16.807%,5.611%,15.358%,40.345%,9.273%,3.767%,1.936%
1279,18507,1.047%,12.036%,13.867%,10.204%,18.995%,33.595%,6.593%,2.564%,1.099%,18.950064%
1280,18508,0.806%,0.327%,2.679%,8.582%,4.727%,16.336%,50.229%,10.869%,4.182%,1.263%
1281,18509,1.376%,0.894%,10.385%,18.111%,7.267%,20.243%,31.316%,6.006%,3.347%,1.055%
1282,18510,1.003%,0.376%,9.656%,17.958%,8.051%,13.218%,34.286%,8.628%,3.687%,3.135%
1283,18512,0.902%,0.858%,9.351%,12.035%,10.583%,19.318%,41.100%,5.017%,0.462%,0.374%
1284,18517,1.038%,3.679%,10.094%,10.330%,17.075%,49.340%,7.075%,0.566%,0.802%,11.785462%
1285,18518,0.000%,0.000%,7.427%,16.229%,7.824%,14.884%,45.996%,6.418%,1.222%,0.000%
1286,18519,2.020%,0.606%,6.667%,8.182%,11.465%,11.465%,50.303%,5.707%,3.131%,0.455%
1287,18615,0.000%,0.000%,8.845%,11.840%,8.131%,16.262%,49.358%,3.852%,1.712%,10.014728%
1288,18641,1.789%,0.914%,5.127%,11.208%,12.599%,18.045%,43.323%,4.531%,1.709%,0.755%
1289,18653,5.172%,8.621%,15.517%,58.621%,12.069%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%
1290,07881,14.343619%,12.313400%,6.316563%,3.986014%,34.780899%,33.747634%,29.650350%,0.000000%,3.969164%,3.336158%
1291,18302,0.540%,1.282%,6.663%,14.086%,8.485%,28.677%,31.495%,5.415%,3.070%,0.287%
1292,18324,1.279%,0.349%,9.043%,11.777%,7.560%,22.826%,29.311%,13.899%,1.657%,2.297%
1293,18325,3.670%,0.000%,3.784%,16.972%,7.683%,28.899%,36.009%,2.982%,7.611549%,10.050742%
1294,18328,0.370%,0.822%,5.302%,14.139%,7.727%,29.716%,31.114%,8.631%,1.192%,0.986%
1295,18336,0.238%,0.238%,7.743%,15.485%,7.981%,16.260%,41.036%,8.219%,2.799%,0.000%
1296,18337,0.442%,1.901%,7.949%,19.758%,11.847%,17.569%,35.215%,2.899%,2.016%,0.403%
1297,18340,0.000%,43.396%,9.434%,24.528%,5.660%,7.547%,9.434%,8.196721%,-100.000000%,-51.399416%
1298,18371,24.079%,9.348%,34.844%,20.680%,10.000000%,95.275354%,-40.707287%,88.011289%,-100.000000%,"1,000.000000%"
1299,18405,1.324%,0.713%,8.554%,10.998%,13.646%,20.163%,35.132%,6.517%,2.953%,0.000%
1300,18425,0.000%,1.114%,9.354%,14.477%,9.577%,20.935%,36.526%,6.682%,1.336%,0.000%
1301,18426,0.000%,1.412%,9.941%,12.353%,8.706%,21.000%,43.235%,2.529%,0.824%,18.353576%
1302,18428,0.000%,1.163%,10.184%,15.737%,7.090%,24.342%,33.758%,5.970%,1.756%,0.000%
1303,18435,0.000%,4.297%,35.156%,23.828%,10.547%,14.453%,11.719%,27.522936%,-1.385609%,63.190952%
1304,18445,0.000%,1.061%,7.193%,18.986%,2.948%,24.410%,34.788%,6.250%,1.887%,2.476%
1305,18451,0.000%,0.000%,15.068%,20.091%,6.849%,19.635%,36.530%,1.826%,30.708661%,49.598701%
1306,18457,50.000%,21.795%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%,56.707%,100.000000%,-26.562500%
1307,18458,0.470%,1.222%,15.038%,20.019%,9.398%,19.079%,28.665%,5.733%,0.000%,0.376%
1308,18460,0.000%,18.644%,5.085%,3.390%,13.559%,11.864%,47.458%,0.000%,0.000%,0.000000%
1309,18464,0.000%,5.022%,21.397%,9.389%,9.389%,23.799%,28.821%,2.183%,0.000%,0.000%
1310,19003,3.177%,5.565%,26.325%,29.583%,5.484%,12.809%,11.635%,1.558%,3.238%,0.627%
1311,19008,2.353%,1.918%,11.239%,22.887%,6.406%,13.681%,34.292%,3.759%,2.736%,0.729%
1312,19010,5.667%,9.539%,20.768%,30.604%,5.771%,11.215%,14.019%,1.528%,0.549%,0.341%
1313,19013,0.114%,0.158%,3.106%,8.860%,6.220%,20.148%,42.979%,14.209%,2.200%,2.006%
1314,19014,0.790%,1.542%,10.056%,17.304%,9.016%,19.900%,34.094%,6.132%,0.903%,0.263%
1315,19015,0.553%,1.174%,7.681%,15.764%,7.882%,18.615%,39.259%,7.010%,1.945%,0.117%
1316,19017,0.000%,25.893%,18.750%,10.714%,16.964%,17.857%,9.821%,24.285714%,-62.600325%,43.996588%
1317,19018,0.647%,0.472%,6.814%,17.448%,9.492%,18.029%,41.534%,3.347%,1.635%,0.582%
1318,19022,4.944%,5.821%,8.612%,25.837%,43.860%,9.250%,0.877%,0.797%,7.135969%,-30.438562%
1319,19023,0.506%,0.000%,3.994%,10.193%,10.492%,21.061%,40.189%,9.506%,2.594%,1.465%
1320,19026,1.894%,1.164%,14.036%,24.894%,9.954%,15.782%,28.672%,2.397%,0.964%,0.243%
1321,19029,0.000%,0.198%,2.769%,11.931%,6.856%,22.347%,45.748%,5.603%,0.791%,3.757%
1322,19032,0.425%,0.519%,4.858%,18.632%,14.009%,15.613%,38.113%,5.849%,1.981%,11.091234%
1323,19033,0.298%,0.497%,9.308%,22.822%,7.850%,14.078%,40.212%,3.610%,1.325%,0.000%
1324,19036,0.587%,0.724%,5.344%,17.048%,8.945%,15.874%,45.293%,4.306%,1.585%,0.294%
1325,19041,5.689%,7.314%,22.840%,39.179%,4.577%,8.255%,9.923%,0.855%,0.813%,0.556%
1326,19043,1.740%,12.794%,9.826%,9.007%,16.274%,42.068%,8.291%,7.500000%,-100.000000%,-55.530465%
1327,19050,1.454%,0.843%,9.263%,20.637%,12.079%,19.989%,27.964%,5.863%,1.028%,0.880%
1328,19060,0.698%,2.542%,16.496%,32.121%,7.202%,10.865%,28.906%,1.171%,0.000%,0.000%
1329,19061,0.341%,0.644%,6.655%,10.052%,10.191%,13.550%,49.463%,7.084%,1.414%,0.606%
1330,19063,3.304%,4.191%,17.693%,28.890%,6.886%,13.523%,22.876%,1.610%,0.539%,0.489%
1331,19064,1.595%,1.359%,14.098%,24.444%,10.829%,15.199%,28.376%,2.662%,0.584%,0.854%
1332,19070,0.606%,1.320%,12.447%,15.549%,11.448%,18.117%,33.987%,4.672%,0.963%,0.892%
1333,19073,2.437%,3.474%,17.317%,30.901%,7.025%,14.504%,21.076%,2.203%,0.454%,0.609%
1334,19074,1.371%,0.636%,4.797%,12.824%,12.286%,22.369%,37.543%,4.993%,2.545%,0.636%
1335,19076,0.000%,0.000%,2.515%,18.864%,14.066%,18.444%,39.404%,5.403%,1.304%,0.000%
1336,19078,0.805%,0.732%,8.120%,14.021%,11.144%,18.605%,38.600%,6.413%,1.073%,0.488%
1337,19079,0.000%,0.351%,6.228%,9.415%,13.216%,18.889%,43.012%,4.795%,3.333%,0.760%
1338,19081,5.400%,5.305%,20.267%,25.540%,4.479%,11.912%,23.253%,2.351%,0.318%,1.175%
1339,19082,0.575%,0.561%,4.285%,14.559%,8.408%,20.724%,34.250%,7.464%,5.067%,4.108%
1340,19083,2.128%,2.897%,18.142%,27.322%,8.776%,12.084%,25.932%,1.685%,0.753%,0.280%
1341,19085,6.940%,7.432%,18.525%,44.426%,4.098%,9.180%,8.798%,0.601%,0.000%,0.000%
1342,19086,3.054%,4.991%,23.724%,30.128%,6.199%,12.192%,14.950%,2.758%,1.481%,0.524%
1343,19087,3.928%,5.825%,23.562%,39.257%,5.124%,9.736%,10.455%,1.115%,0.710%,0.288%
1344,19094,1.603%,6.413%,11.824%,9.953%,15.364%,41.216%,9.953%,3.607%,0.067%,8.747045%
1345,19096,6.851%,7.992%,33.111%,28.544%,4.282%,9.058%,8.792%,0.780%,0.438%,0.152%
1346,19113,0.000%,21.739%,8.696%,69.565%,0.000%,0.000000%,-100.000000%,-100.000000%,-6.502494%,-100.000000%
