RecordNumber,Zipcode,City,State,Lat,Long
1,704,PARC PARQUE,PR,17.96,-66.22
2,704,PASEO COSTA DEL SUR,PR,17.96,-66.22
3,704,SECT LANAUSSE,PR,17.96,-66.22
4,704,URB EUGENE RICE,PR,17.96,-66.22
5,704,URB GONZALEZ,PR,17.96,-66.22
6,704,URB LA FABRICA,PR,17.96,-66.22
7,704,URB MONTE SORIA 2,PR,17.96,-66.22
8,704,VILLAS DEL COQUI,PR,17.96,-66.22
9,705,AIBONITO,PR,18.14,-66.26
10,705,BDA SAN LUIS,PR,18.14,-66.26
11,705,BO LLANOS,PR,18.14,-66.26
12,705,BRISAS DE AIBONITO,PR,18.14,-66.26
13,705,COLINAS DE SAN FRANCISCO,PR,18.14,-66.26
14,705,EST DEL LLANO,PR,18.14,-66.26
15,705,EXT BELLA VISTA,PR,18.14,-66.26
16,705,EXT SAN LUIS,PR,18.14,-66.26
17,705,EXT VILLA ROSALES,PR,18.14,-66.26
18,705,REPTO ROBLES,PR,18.14,-66.26
19,705,URB BELLA VISTA,PR,18.14,-66.26
20,705,URB BUENA VISTA,PR,18.14,-66.26
21,705,URB GOLDEN VLG IV,PR,18.14,-66.26
22,705,URB LA PROVIDENCIA,PR,18.14,-66.26
23,705,VILLA DE LA ROSA,PR,18.14,-66.26
24,705,VILLA ROSALES,PR,18.14,-66.26
25,705,VILLAS DEL COQUI,PR,18.14,-66.26
26,610,ANASCO,PR,18.28,-67.14
27,610,BRISAS DE ANASCO,PR,18.28,-67.14
28,610,EST DE VALLE VERDE,PR,18.28,-67.14
29,610,JARD DE ANASCO,PR,18.28,-67.14
30,610,PASEO DEL VALLE,PR,18.28,-67.14
31,610,REPTO DAGUEY,PR,18.28,-67.14
32,610,URB SAN ANTONIO,PR,18.28,-67.14
33,611,ANGELES,PR,18.28,-66.79
34,612,ARECIBO,PR,18.45,-66.73
35,612,ALT DE JUNCOS,PR,18.45,-66.73
36,612,ALT DE SAN FELIPE,PR,18.45,-66.73
37,612,BDA DUHAMEL,PR,18.45,-66.73
38,612,BO EL PASAJE,PR,18.45,-66.73
39,612,BO ISLOTE,PR,18.45,-66.73
40,612,BO ISLOTE II,PR,18.45,-66.73
41,612,BO JAREALITOS,PR,18.45,-66.73
42,612,BO OBRERO,PR,18.45,-66.73
43,612,BO SANTANA,PR,18.45,-66.73
44,612,COMUNIDAD BUENOS AIRES,PR,18.45,-66.73
45,612,EST DE ARECIBO,PR,18.45,-66.73
46,612,EST DE BALSEIRO,PR,18.45,-66.73
47,612,EXT MARISOL,PR,18.45,-66.73
48,612,EXT TANAMA,PR,18.45,-66.73
49,612,EXT VILLA LOS SANTOS I,PR,18.45,-66.73
50,612,EXT VILLA LOS SANTOS II,PR,18.45,-66.73
51,612,HACIENDA TOLEDO,PR,18.45,-66.73
52,612,JARD DE ARECIBO,PR,18.45,-66.73
53,612,JARD DE SAN RAFAEL,PR,18.45,-66.73
54,612,PARC MATTEY,PR,18.45,-66.73
55,612,PARC NAVAS,PR,18.45,-66.73
56,612,PARC PEREZ,PR,18.45,-66.73
57,601,ADJUNTAS,PR,18.16,-66.72
58,601,COLINAS DEL GIGANTE,PR,18.16,-66.72
59,601,JARD DE ADJUNTAS,PR,18.16,-66.72
60,601,URB SAN JOAQUIN,PR,18.16,-66.72
61,631,CASTANER,PR,18.19,-66.82
62,631,ADJUNTAS,PR,18.19,-66.82
63,602,AGUADA,PR,18.38,-67.18
64,602,ALTS DE AGUADA,PR,18.38,-67.18
65,602,BO GUANIQUILLA,PR,18.38,-67.18
66,602,COMUNIDAD LAS FLORES,PR,18.38,-67.18
67,602,EXT LOS ROBLES,PR,18.38,-67.18
68,602,URB ISABEL LA CATOLICA,PR,18.38,-67.18
69,603,AGUADILLA,PR,18.43,-67.15
70,603,RAMEY,PR,18.43,-67.15
71,603,BDA CABAN,PR,18.43,-67.15
72,603,BDA ESTEVES,PR,18.43,-67.15
73,603,BO BORINQUEN,PR,18.43,-67.15
74,603,BO CEIBA BAJA,PR,18.43,-67.15
75,603,EXT EL PRADO,PR,18.43,-67.15
76,603,EXT MARBELLA,PR,18.43,-67.15
77,603,REPTO JIMENEZ,PR,18.43,-67.15
78,603,REPTO JUAN AGUIAR,PR,18.43,-67.15
79,603,REPTO LOPEZ,PR,18.43,-67.15
80,603,REPTO TRES PALMAS,PR,18.43,-67.15
81,603,SECT LAS VILLAS,PR,18.43,-67.15
82,603,URB BORINQUEN,PR,18.43,-67.15
83,603,URB EL PRADO,PR,18.43,-67.15
84,603,URB ESTEVES,PR,18.43,-67.15
85,603,URB GARCIA,PR,18.43,-67.15
86,603,URB LAS AMERICAS,PR,18.43,-67.15
87,603,URB LAS CASITAS COUNTRY CLUB,PR,18.43,-67.15
88,603,URB MALEZA GDNS,PR,18.43,-67.15
89,603,URB MARBELLA,PR,18.43,-67.15
90,603,URB RAMEY,PR,18.43,-67.15
91,603,URB RUBIANES,PR,18.43,-67.15
92,603,URB SAN CARLOS,PR,18.43,-67.15
93,603,URB SANTA MARTA,PR,18.43,-67.15
94,603,URB VICTORIA,PR,18.43,-67.15
95,603,VILLA ALEGRIA,PR,18.43,-67.15
96,603,VILLA LINDA,PR,18.43,-67.15
97,603,VILLA LYDIA,PR,18.43,-67.15
98,603,VILLA UNIVERSITARIA,PR,18.43,-67.15
99,603,VILLAS DE ALMERIA,PR,18.43,-67.15
100,603,VISTA ALEGRE,PR,18.43,-67.15
101,603,VISTA VERDE,PR,18.43,-67.15
102,604,AGUADILLA,PR,18.43,-67.15
103,604,RAMEY,PR,18.43,-67.15
104,605,AGUADILLA,PR,18.43,-67.15
105,703,AGUAS BUENAS,PR,18.25,-66.1
106,703,EST DEL RIO,PR,18.25,-66.1
107,703,MANS DE AGUAS BUENAS,PR,18.25,-66.1
108,703,URB SAN ANTONIO,PR,18.25,-66.1
109,704,AGUIRRE,PR,17.96,-66.22
110,704,EST DE TRINITARIA,PR,17.96,-66.22
111,704,EXT EL COQUI,PR,17.96,-66.22
112,704,PARC CABASA,PR,17.96,-66.22
113,7093,MONITOR,NJ,40.78,-74
114,7093,TAURUS,NJ,40.78,-74
115,7675,WESTWOOD,NJ,40.98,-74.03
116,7675,OLD TAPPAN,NJ,40.98,-74.03
117,7675,RIVER VALE,NJ,40.98,-74.03
118,7675,RIVERVALE,NJ,40.98,-74.03
119,7677,WOODCLIFF LAKE,NJ,41.02,-74.05
120,7677,WESTWOOD,NJ,41.02,-74.05
121,7677,WOODCLIFF LK,NJ,41.02,-74.05
122,7885,WHARTON,NJ,40.89,-74.58
123,7981,WHIPPANY,NJ,40.82,-74.41
124,7999,WHIPPANY,NJ,40.82,-74.41
125,8888,WHITEHOUSE,NJ,40.62,-74.76
126,8889,WHITEHOUSE STATION,NJ,40.6,-74.76
127,8889,WHITE HSE STA,NJ,40.6,-74.76
128,8889,WHITE HOUSE STATION,NJ,40.6,-74.76
129,7095,WOODBRIDGE,NJ,40.55,-74.28
130,7481,WYCKOFF,NJ,40.99,-74.16
131,10451,BRONX,NY,40.84,-73.87
132,10452,BRONX,NY,40.84,-73.87
133,10452,HIGHBRIDGE,NY,40.84,-73.87
134,10452,STADIUM,NY,40.84,-73.87
135,10452,UNIVERSITY HEIGHTS,NY,40.84,-73.87
136,10453,BRONX,NY,40.84,-73.87
137,10454,BRONX,NY,40.84,-73.87
138,10454,MOTT HAVEN,NY,40.84,-73.87
139,10455,BRONX,NY,40.84,-73.87
140,10455,HUB,NY,40.84,-73.87
141,10456,BRONX,NY,40.84,-73.87
142,10456,MORRISANIA,NY,40.84,-73.87
143,10457,BRONX,NY,40.84,-73.87
144,10458,BRONX,NY,40.84,-73.87
145,10459,BRONX,NY,40.84,-73.87
146,10459,BOULEVARD,NY,40.84,-73.87
147,10459,LONGWOOD,NY,40.84,-73.87
148,10460,BRONX,NY,40.84,-73.87
149,10460,CROTONA PARK,NY,40.84,-73.87
150,10460,WEST FARMS,NY,40.84,-73.87
151,10461,BRONX,NY,40.84,-73.87
152,10461,MORRIS PARK,NY,40.84,-73.87
153,10461,PILGRIM,NY,40.84,-73.87
154,10461,WESTCHESTER,NY,40.84,-73.87
155,10462,BRONX,NY,40.84,-73.87
156,10463,BRONX,NY,40.84,-73.87
157,10463,RIVERDALE,NY,40.84,-73.87
158,10463,SPUYTEN DUYVIL,NY,40.84,-73.87
159,10464,BRONX,NY,40.84,-73.87
160,10465,BRONX,NY,40.84,-73.87
161,10465,THROGGS NECK,NY,40.84,-73.87
162,10466,BRONX,NY,40.84,-73.87
163,10466,WAKEFIELD,NY,40.84,-73.87
164,10467,BRONX,NY,40.84,-73.87
165,10467,ALLERTON,NY,40.84,-73.87
166,10467,MOSHOLU,NY,40.84,-73.87
167,10467,VAN COTT,NY,40.84,-73.87
168,10467,WILLIAMSBRIDGE,NY,40.84,-73.87
169,10468,BRONX,NY,40.84,-73.87
170,10468,JEROME,NY,40.84,-73.87
171,10469,BRONX,NY,40.84,-73.87
172,10469,BAYCHESTER,NY,40.84,-73.87
173,10469,ESPLANADE,NY,40.84,-73.87
174,10469,HILLSIDE,NY,40.84,-73.87
175,10470,BRONX,NY,40.84,-73.87
176,10471,BRONX,NY,40.84,-73.87
177,10471,RIVERDALE,NY,40.84,-73.87
178,10472,BRONX,NY,40.84,-73.87
179,10473,BRONX,NY,40.84,-73.87
180,10474,BRONX,NY,40.84,-73.87
181,10474,BOULEVARD,NY,40.84,-73.87
182,10475,BRONX,NY,40.84,-73.87
183,10499,BRONX,NY,40.84,-73.87
184,10499,PRIORITY MAIL CTR,NY,40.84,-73.87
185,10001,NEW YORK,NY,40.71,-73.99
186,10001,EMPIRE STATE,NY,40.71,-73.99
187,10001,G P O,NY,40.71,-73.99
188,10001,GREELEY SQUARE,NY,40.71,-73.99
189,10001,MACYS FINANCE,NY,40.71,-73.99
190,10001,MANHATTAN,NY,40.71,-73.99
191,10002,NEW YORK,NY,40.71,-73.99
192,10002,KNICKERBOCKER,NY,40.71,-73.99
193,10002,MANHATTAN,NY,40.71,-73.99
194,10002,NEW YORK CITY,NY,40.71,-73.99
195,10002,NY,NY,40.71,-73.99
196,10002,NY CITY,NY,40.71,-73.99
197,10002,NYC,NY,40.71,-73.99
198,10003,NEW YORK,NY,40.71,-73.99
199,10003,COOPER,NY,40.71,-73.99
200,10003,MANHATTAN,NY,40.71,-73.99
201,10004,NEW YORK,NY,40.71,-73.99
202,10004,BOWLING GREEN,NY,40.71,-73.99
203,10005,NEW YORK,NY,40.71,-73.99
204,10005,WALL STREET,NY,40.71,-73.99
205,10005,MANHATTAN,NY,40.71,-73.99
206,10005,NYC,NY,40.71,-73.99
207,10006,NEW YORK,NY,40.71,-73.99
208,10006,TRINITY,NY,40.71,-73.99
209,10006,MANHATTAN,NY,40.71,-73.99
210,10006,NYC,NY,40.71,-73.99
211,10007,NEW YORK,NY,40.71,-73.99
212,10007,CHURCH STREET,NY,40.71,-73.99
213,10007,MANHATTAN,NY,40.71,-73.99
214,10007,NYC,NY,40.71,-73.99
215,10008,NEW YORK,NY,40.71,-73.99
216,10008,MANHATTAN,NY,40.71,-73.99
217,10008,NYC,NY,40.71,-73.99
218,10009,NEW YORK,NY,40.71,-73.99
219,10009,MANHATTAN,NY,40.71,-73.99
220,10009,NYC,NY,40.71,-73.99
221,10009,PETER STUYVESANT,NY,40.71,-73.99
222,10010,NEW YORK,NY,40.71,-73.99
223,10010,MADISON SQUARE STA,NY,40.71,-73.99
224,10010,MANHATTAN,NY,40.71,-73.99
225,10010,NYC,NY,40.71,-73.99
226,10011,NEW YORK,NY,40.71,-73.99
227,10012,NEW YORK,NY,40.71,-73.99
228,10012,PRINCE,NY,40.71,-73.99
229,10012,MANHATTAN,NY,40.71,-73.99
230,10012,NY CITY,NY,40.71,-73.99
231,10012,NYC,NY,40.71,-73.99
232,10013,NEW YORK,NY,40.71,-73.99
233,10013,CANAL STREET,NY,40.71,-73.99
234,10013,CHINATOWN,NY,40.71,-73.99
235,10013,MANHATTAN,NY,40.71,-73.99
236,10013,NYC,NY,40.71,-73.99
237,10014,NEW YORK,NY,40.71,-73.99
238,10014,MANHATTAN,NY,40.71,-73.99
239,10014,NYC,NY,40.71,-73.99
240,10016,NEW YORK,NY,40.71,-73.99
241,10016,MANHATTAN,NY,40.71,-73.99
242,10016,NYC,NY,40.71,-73.99
243,10017,NEW YORK,NY,40.71,-73.99
244,10017,GRAND CENTRAL,NY,40.71,-73.99
245,10017,MANHATTAN,NY,40.71,-73.99
246,10017,NYC,NY,40.71,-73.99
247,10018,NEW YORK,NY,40.71,-73.99
248,10018,MANHATTAN,NY,40.71,-73.99
249,10018,NYC,NY,40.71,-73.99
250,10019,NEW YORK,NY,40.71,-73.99
251,10019,MANHATTAN,NY,40.71,-73.99
252,10019,NYC,NY,40.71,-73.99
253,10020,NEW YORK,NY,40.71,-73.99
254,10020,MANHATTAN,NY,40.71,-73.99
255,10020,NYC,NY,40.71,-73.99
256,10021,NEW YORK,NY,40.77,-73.95
257,10021,MANHATTAN,NY,40.77,-73.95
258,10021,NYC,NY,40.77,-73.95
259,10022,NEW YORK,NY,40.71,-73.99
260,10022,FRANKLIN D ROOSEVELT,NY,40.71,-73.99
261,10022,MANHATTAN,NY,40.71,-73.99
262,10022,NYC,NY,40.71,-73.99
263,10023,NEW YORK,NY,40.71,-73.99
264,10023,MANHATTAN,NY,40.71,-73.99
265,10023,NYC,NY,40.71,-73.99
266,10024,NEW YORK,NY,40.71,-73.99
267,10024,MANHATTAN,NY,40.71,-73.99
268,10024,NYC,NY,40.71,-73.99
269,10024,PLANETARIUM,NY,40.71,-73.99
270,10025,NEW YORK,NY,40.71,-73.99
271,10025,MANHATTAN,NY,40.71,-73.99
272,10025,NYC,NY,40.71,-73.99
273,10026,NEW YORK,NY,40.71,-73.99
274,10026,MORNINGSIDE,NY,40.71,-73.99
275,10026,NYC,NY,40.71,-73.99
276,10027,NEW YORK,NY,40.71,-73.99
277,10027,MANHATTAN,NY,40.71,-73.99
278,10027,MANHATTANVILLE,NY,40.71,-73.99
279,10027,NY CITY,NY,40.71,-73.99
280,10027,NYC,NY,40.71,-73.99
281,10028,NEW YORK,NY,40.71,-73.99
282,10028,MANHATTAN,NY,40.71,-73.99
283,10028,NYC,NY,40.71,-73.99
284,10029,NEW YORK,NY,40.71,-73.99
285,10029,MANHATTAN,NY,40.71,-73.99
286,10029,NYC,NY,40.71,-73.99
287,10030,NEW YORK,NY,40.71,-73.99
288,10030,COLLEGE,NY,40.71,-73.99
289,10030,MANHATTAN,NY,40.71,-73.99
290,10030,NYC,NY,40.71,-73.99
291,10031,NEW YORK,NY,40.71,-73.99
292,10031,HAMILTON GRANGE,NY,40.71,-73.99
293,10031,MANHATTAN,NY,40.71,-73.99
294,10031,NYC,NY,40.71,-73.99
295,10032,NEW YORK,NY,40.71,-73.99
296,10032,MANHATTAN,NY,40.71,-73.99
297,10032,NYC,NY,40.71,-73.99
298,10033,NEW YORK,NY,40.71,-73.99
299,10033,MANHATTAN,NY,40.71,-73.99
300,10033,NYC,NY,40.71,-73.99
301,10033,WASHINGTON BRIDGE,NY,40.71,-73.99
302,10034,NEW YORK,NY,40.71,-73.99
303,612,PARC RODRIGUEZ OLMO,PR,18.45,-66.73
304,612,PARQ DE JARDINES,PR,18.45,-66.73
305,612,PASEOS REALES,PR,18.45,-66.73
306,612,REPTO MARQUEZ,PR,18.45,-66.73
307,612,REPTO SAN JOSE,PR,18.45,-66.73
308,612,REPTO SAN JUAN,PR,18.45,-66.73
309,612,SECT ABRA,PR,18.45,-66.73
310,612,SECT EL CANO,PR,18.45,-66.73
311,612,SECT LAS ANIMAS,PR,18.45,-66.73
312,612,SECT MUELLE,PR,18.45,-66.73
313,612,URB ARECIBO GDNS,PR,18.45,-66.73
314,612,URB COLLEGE PARK IV,PR,18.45,-66.73
315,612,URB COSTAS DEL ATLANTICO,PR,18.45,-66.73
316,612,URB EL PARAISO,PR,18.45,-66.73
317,612,URB FACTOR,PR,18.45,-66.73
318,612,URB GARCIA,PR,18.45,-66.73
319,612,URB GARDEN VIEW,PR,18.45,-66.73
320,612,URB LA MUCURA,PR,18.45,-66.73
321,612,URB LAS BRISAS,PR,18.45,-66.73
322,612,URB LOS LLANOS,PR,18.45,-66.73
323,612,URB LOS PINOS,PR,18.45,-66.73
324,612,URB LOS PINOS II,PR,18.45,-66.73
325,612,URB MARISOL,PR,18.45,-66.73
326,612,URB MARTELL,PR,18.45,-66.73
327,612,URB OCEAN VW,PR,18.45,-66.73
328,612,URB RADIOVILLE,PR,18.45,-66.73
329,612,URB REGIONAL,PR,18.45,-66.73
330,612,URB SAN DANIEL,PR,18.45,-66.73
331,612,URB SAN FELIPE,PR,18.45,-66.73
332,612,URB SAN LORENZO,PR,18.45,-66.73
333,612,URB TANAMA,PR,18.45,-66.73
334,612,URB UNIVERSITY GDNS,PR,18.45,-66.73
335,612,URB VICTOR ROJAS 1,PR,18.45,-66.73
336,612,URB VICTOR ROJAS 2,PR,18.45,-66.73
337,612,URB VILLAMAR,PR,18.45,-66.73
338,612,URB ZENO GANDIA,PR,18.45,-66.73
339,612,VALLE ESCONDIDO,PR,18.45,-66.73
340,612,VILLA LOS SANTOS,PR,18.45,-66.73
341,612,VILLA LUCIA,PR,18.45,-66.73
342,612,VILLA SERENA,PR,18.45,-66.73
343,612,VILLA TOLEDO,PR,18.45,-66.73
344,612,VILLAS DEL CAPITAN,PR,18.45,-66.73
345,612,VILLAS DEL SOL,PR,18.45,-66.73
346,612,VISTA AZUL,PR,18.45,-66.73
347,612,VISTA DEL ATLANTICO,PR,18.45,-66.73
348,613,ARECIBO,PR,18.45,-66.73
349,614,ARECIBO,PR,18.45,-66.73
350,714,ARROYO,PR,17.97,-66.06
351,714,EXT JARD DE ARROYO,PR,17.97,-66.06
352,714,JARD DE ARROYO,PR,17.97,-66.06
353,714,JARD DE LAFAYETTE,PR,17.97,-66.06
354,714,PARQ DE GUASIMAS,PR,17.97,-66.06
355,714,QTAS DE GUASIMA,PR,17.97,-66.06
356,714,REPTO BELLO MAR,PR,17.97,-66.06
357,714,URB ARROYO DEL MAR,PR,17.97,-66.06
358,714,URB BELINDA,PR,17.97,-66.06
359,714,URB LAS 500,PR,17.97,-66.06
360,714,URB MIRAMAR 1,PR,17.97,-66.06
361,714,URB PALMAR 2,PR,17.97,-66.06
362,714,URB SAN ANTONIO,PR,17.97,-66.06
363,714,VILLAS DE LAFAYETTE,PR,17.97,-66.06
364,616,BAJADERO,PR,18.4,-66.66
365,616,BRISAS DEL VALLE,PR,18.4,-66.66
366,617,BARCELONETA,PR,18.45,-66.53
367,617,BDA CATALANA,PR,18.45,-66.53
368,617,BRISAS DE LLANADAS,PR,18.45,-66.53
369,617,BRISAS DEL MONTE,PR,18.45,-66.53
370,617,EST DE BARCELONETA,PR,18.45,-66.53
371,617,EST DE FLORIDA,PR,18.45,-66.53
372,617,EXT EST DE IMBERY,PR,18.45,-66.53
373,617,EXT PARC PUNTA PALMAS,PR,18.45,-66.53
374,617,PARC GARROCHALES,PR,18.45,-66.53
375,617,PARC IMBERY,PR,18.45,-66.53
376,617,PARC MAGUEYES,PR,18.45,-66.53
377,617,PARC PALENQUE,PR,18.45,-66.53
378,617,PARC PUNTA PALMAS,PR,18.45,-66.53
379,617,PARC TIBURON,PR,18.45,-66.53
380,617,REPTO LAS LLANADAS,PR,18.45,-66.53
381,617,URB CATALUNA,PR,18.45,-66.53
382,617,URB CIMARRONA CT,PR,18.45,-66.53
383,617,URB LAS DELICIAS,PR,18.45,-66.53
384,617,URB LAS PRADERAS,PR,18.45,-66.53
385,617,URB ORTEGA,PR,18.45,-66.53
386,617,URB PLAZUELA ESTATES,PR,18.45,-66.53
387,617,URB SOL NACIENTE,PR,18.45,-66.53
388,617,VILLA BARCELONA,PR,18.45,-66.53
389,617,VILLA CENTRAL,PR,18.45,-66.53
390,617,VILLA GEORGETTI,PR,18.45,-66.53
391,617,VILLAS DE LA SABANA,PR,18.45,-66.53
392,794,BARRANQUITAS,PR,18.18,-66.3
393,794,BDA ALEMANIA,PR,18.18,-66.3
394,794,URB SAN CRISTOBAL,PR,18.18,-66.3
395,794,VISTAS DE MONTECIELO,PR,18.18,-66.3
396,622,BOQUERON,PR,17.99,-67.15
397,622,VILLA TAINA,PR,17.99,-67.15
398,623,CABO ROJO,PR,18.08,-67.14
399,623,ALTS DE JOYUDA,PR,18.08,-67.14
400,623,ALTS DEL MAR,PR,18.08,-67.14
401,623,BO BALLAJA,PR,18.08,-67.14
402,623,BO MONTE GRANDE,PR,18.08,-67.14
403,623,EST DE MIRAMAR,PR,18.08,-67.14
404,623,EST REALES,PR,18.08,-67.14
405,623,EXT ELIZABETH,PR,18.08,-67.14
406,623,EXT LA CONCEPCION,PR,18.08,-67.14
407,623,EXT PARC ELIZABETH,PR,18.08,-67.14
408,623,EXT SIERRA LINDA,PR,18.08,-67.14
409,623,HACIENDAS DE BELVEDERE,PR,18.08,-67.14
410,623,HACIENDAS DE CABO ROJO,PR,18.08,-67.14
411,623,HACIENDAS DE MIRAMAR,PR,18.08,-67.14
412,623,JARD DEL PUERTO,PR,18.08,-67.14
413,623,MANS DE CABO ROJO,PR,18.08,-67.14
414,623,MANSIONES,PR,18.08,-67.14
415,623,PARC BETANCES,PR,18.08,-67.14
416,623,PARC ELIZABETH,PR,18.08,-67.14
417,623,PARC LAS MARGARITAS,PR,18.08,-67.14
418,623,PARC LAS 35,PR,18.08,-67.14
419,623,PARC PUERTO REAL,PR,18.08,-67.14
420,623,QTAS DE CABO ROJO,PR,18.08,-67.14
421,623,REPTO MIRADERO,PR,18.08,-67.14
422,623,REPTO OLIVERAS,PR,18.08,-67.14
423,623,URB ALTA VISTA,PR,18.08,-67.14
424,623,URB ANA MARIA,PR,18.08,-67.14
425,623,URB BORINQUEN,PR,18.08,-67.14
426,623,URB EL RETIRO,PR,18.08,-67.14
427,623,URB ELIZABETH,PR,18.08,-67.14
428,623,URB KOFRESI,PR,18.08,-67.14
429,623,URB LA CONCEPCION,PR,18.08,-67.14
430,623,URB MONTE GRANDE,PR,18.08,-67.14
431,623,URB MONTESOL,PR,18.08,-67.14
432,623,URB RAMIREZ,PR,18.08,-67.14
433,623,URB REMANSO DE CABO ROJO,PR,18.08,-67.14
434,623,URB SAN MIGUEL,PR,18.08,-67.14
435,623,URB SIERRA LINDA,PR,18.08,-67.14
436,623,VILLA AIDA,PR,18.08,-67.14
437,623,VILLA DEL CARMEN,PR,18.08,-67.14
438,623,VILLA LUISA,PR,18.08,-67.14
439,623,VILLAS DE PLAN BONITO,PR,18.08,-67.14
440,725,CAGUAS,PR,18.23,-66.03
441,725,ALT DE CAGUAS,PR,18.23,-66.03
442,725,ALT DEL TURABO,PR,18.23,-66.03
443,725,BDA MORALES,PR,18.23,-66.03
444,725,BOSQUES DE LA SIERRA,PR,18.23,-66.03
445,725,BRISAS DEL PARQUE I,PR,18.23,-66.03
446,725,BRISAS DEL PARQUE II,PR,18.23,-66.03
447,725,EST EL VERDE,PR,18.23,-66.03
448,725,EXT CAGUAX,PR,18.23,-66.03
449,725,EXT EL VERDE,PR,18.23,-66.03
450,725,EXT LA GRANJA,PR,18.23,-66.03
451,725,EXT VILLA BLANCA,PR,18.23,-66.03
452,725,HACIENDA BORINQUEN,PR,18.23,-66.03
453,725,JARD PLA,PR,18.23,-66.03
454,725,LOMAS DE LA SERRANIA,PR,18.23,-66.03
455,725,PARQ LAS MERCEDES,PR,18.23,-66.03
456,725,PASEO DEL RIO,PR,18.23,-66.03
457,725,QTAS DE SAN LUIS 1,PR,18.23,-66.03
458,725,QTAS DE SAN LUIS 2,PR,18.23,-66.03
459,725,QTAS DE VILLA BLANCA,PR,18.23,-66.03
460,725,REPTO CAGUAX,PR,18.23,-66.03
461,725,REPTO SOLANO,PR,18.23,-66.03
462,725,RES BAIROA,PR,18.23,-66.03
463,725,TERR DE BORINQUEN,PR,18.23,-66.03
464,725,URB BALCONES LAS CATALINAS,PR,18.23,-66.03
465,725,URB BATISTA,PR,18.23,-66.03
466,725,URB BILLY SUAREZ,PR,18.23,-66.03
467,725,URB BONNEVILLE GDNS,PR,18.23,-66.03
468,725,URB BONNEVILLE TERR,PR,18.23,-66.03
469,725,URB BORINQUEN VALLEY,PR,18.23,-66.03
470,725,URB BROOKLYN,PR,18.23,-66.03
471,725,URB BUNKER,PR,18.23,-66.03
472,725,URB CAGUAS MILENIO,PR,18.23,-66.03
473,725,URB CAGUAS NORTE,PR,18.23,-66.03
474,725,URB CARIBE GDNS,PR,18.23,-66.03
475,725,URB CONDADO MODERNO,PR,18.23,-66.03
476,725,URB CONDADO VIEJO,PR,18.23,-66.03
477,725,URB EL RETIRO,PR,18.23,-66.03
478,725,URB EL RINCON DE LA SERRANIA,PR,18.23,-66.03
479,725,URB EL VERDE,PR,18.23,-66.03
480,725,URB GRILLO,PR,18.23,-66.03
481,725,URB JOSE DELGADO,PR,18.23,-66.03
482,725,URB JOSE MERCADO,PR,18.23,-66.03
483,725,URB LA GRANJA,PR,18.23,-66.03
484,725,URB LA MESETA,PR,18.23,-66.03
485,725,URB MACHIN,PR,18.23,-66.03
486,725,URB MARIOLGA,PR,18.23,-66.03
487,725,URB MONTICIELO,PR,18.23,-66.03
488,725,URB MYRLENA,PR,18.23,-66.03
489,725,URB NAZARIO,PR,18.23,-66.03
490,725,URB NOTRE DAME,PR,18.23,-66.03
491,725,URB PARADISE,PR,18.23,-66.03
492,725,URB SAN ALFONSO,PR,18.23,-66.03
493,725,URB SAN ANTONIO,PR,18.23,-66.03
494,725,URB SAN MARCOS,PR,18.23,-66.03
495,725,URB SAN PEDRO EST,PR,18.23,-66.03
496,725,URB SAN RAFAEL,PR,18.23,-66.03
497,725,URB SANTA CECILIA,PR,18.23,-66.03
498,725,URB SANTA ELVIRA,PR,18.23,-66.03
499,725,URB SANTA JUANA,PR,18.23,-66.03
500,725,URB SANTA JUANA 2,PR,18.23,-66.03
501,725,URB SANTA JUANA 3,PR,18.23,-66.03
502,725,URB SANTA JUANA 4,PR,18.23,-66.03
503,725,URB SANTA ROSA,PR,18.23,-66.03
504,725,URB SANTO DOMINGO,PR,18.23,-66.03
505,725,URB VERDE SUR,PR,18.23,-66.03
506,725,VALLE DE SAN LUIS,PR,18.23,-66.03
507,725,VALLES DEL LAGO,PR,18.23,-66.03
508,725,VILLA BLANCA,PR,18.23,-66.03
509,725,VILLA BORINQUEN,PR,18.23,-66.03
510,725,VILLA CARMEN,PR,18.23,-66.03
511,725,VILLA DE CASTRO,PR,18.23,-66.03
512,725,VILLA DEL REY 1,PR,18.23,-66.03
513,725,VILLA DEL REY 2,PR,18.23,-66.03
514,725,VILLA GUADALUPE,PR,18.23,-66.03
515,725,VILLA LAS MERCEDES,PR,18.23,-66.03
516,725,VILLA LOS CRIOLLOS,PR,18.23,-66.03
517,725,VILLA MARIA,PR,18.23,-66.03
518,725,VILLA TURABO,PR,18.23,-66.03
519,725,VILLA VICTORIA,PR,18.23,-66.03
520,725,VILLAS DE RIO VERDE,PR,18.23,-66.03
521,725,VILLAS DEL RIO VERDE,PR,18.23,-66.03
522,726,CAGUAS,PR,18.23,-66.03
523,727,CAGUAS,PR,18.23,-66.03
524,727,ALT DE LA FUENTE,PR,18.23,-66.03
525,727,ALT VILLA DEL REY,PR,18.23,-66.03
526,727,BOSQUE VERDE,PR,18.23,-66.03
527,727,CHALETS DE BAIROA,PR,18.23,-66.03
528,727,CIUDAD JARDIN DE BAIROA,PR,18.23,-66.03
529,727,EST DE BAIROA,PR,18.23,-66.03
530,727,EST DEGETAU,PR,18.23,-66.03
531,727,EST DEL TURABO,PR,18.23,-66.03
