RecordNumber,Zipcode,City,State,Lat,Long
44332,99548,CHIGNIK LAKE,AK,56.23,-158.74
44333,99548,CHIGNIK,AK,56.23,-158.74
44334,99564,CHIGNIK,AK,56.3,-158.36
44335,99565,CHIGNIK LAGOON,AK,56.3,-158.49
44336,99565,CHIGNIK LAGN,AK,56.3,-158.49
44337,99566,CHITINA,AK,61.45,-143.15
44338,99567,CHUGIAK,AK,61.41,-149.17
44339,99733,CIRCLE,AK,65.79,-144.2
44340,99568,CLAM GULCH,AK,60.21,-151.4
44341,99569,CLARKS POINT,AK,58.83,-158.53
44342,99546,ADAK,AK,51.9,-176.67
44343,99546,COLD BAY,AK,51.9,-176.67
44344,99571,COLD BAY,AK,55.92,-160.29
44345,99571,ADAK,AK,55.92,-160.29
44346,99571,NELSON LAGOON,AK,55.92,-160.29
44347,99572,COOPER LANDING,AK,60.49,-149.82
44348,99572,COOPER LNDG,AK,60.49,-149.82
44349,99573,COPPER CENTER,AK,61.68,-145.14
44350,99574,CORDOVA,AK,60.79,-145.61
44351,99574,CHENEGA BAY,AK,60.79,-145.61
44352,99677,TATITLEK,AK,60.88,-146.65
44353,99677,CORDOVA,AK,60.88,-146.65
44354,99921,CRAIG,AK,55.46,-132.83
44355,99575,CROOKED CREEK,AK,61.86,-157.99
44356,99736,DEERING,AK,66.07,-162.73
44357,99731,FORT GREELY,AK,64.04,-145.73
44358,99731,DELTA JCT,AK,64.04,-145.73
44359,99731,DELTA JUNCTION,AK,64.04,-145.73
44360,99737,DELTA JUNCTION,AK,63.7,-144.89
44361,99737,DELTA JCT,AK,63.7,-144.89
44362,99737,DOT LAKE,AK,63.7,-144.89
44363,99576,DILLINGHAM,AK,58.82,-157.86
44364,99576,KOLIGANEK,AK,58.82,-157.86
44365,99576,TWIN HILLS,AK,58.82,-157.86
44366,99738,EAGLE,AK,64.43,-141.22
44367,99577,EAGLE RIVER,AK,61.21,-149.25
44368,99578,EEK,AK,60.19,-162.13
44369,99579,EGEGIK,AK,58.37,-156.8
44370,99580,EKWOK,AK,59.35,-157.48
44371,99825,ELFIN COVE,AK,58.1,-136.29
44372,99739,ELIM,AK,64.63,-162.34
44373,99581,EMMONAK,AK,62.69,-162.96
44374,99666,NUNAM IQUA,AK,62.09,-165.18
44375,99725,ESTER,AK,64.85,-148.02
44376,99701,FAIRBANKS,AK,64.81,-147.72
44377,99701,COLDFOOT,AK,64.81,-147.72
44378,99702,EIELSON AFB,AK,64.67,-147.04
44379,99702,FAIRBANKS,AK,64.67,-147.04
44380,99703,FORT WAINWRIGHT,AK,64.81,-147.62
44381,99703,FT WAINWRIGHT,AK,64.81,-147.62
44382,99705,NORTH POLE,AK,64.77,-147.33
44383,99705,FAIRBANKS,AK,64.77,-147.33
44384,99706,FAIRBANKS,AK,64.83,-147.88
44385,99707,FAIRBANKS,AK,64.83,-147.69
44386,99708,FAIRBANKS,AK,64.87,-147.89
44387,99709,FAIRBANKS,AK,64.9,-148.16
44388,99710,FAIRBANKS,AK,64.91,-147.56
44389,99710,STEESE,AK,64.91,-147.56
44390,99711,FAIRBANKS,AK,64.81,-147.57
44391,99711,BADGER,AK,64.81,-147.57
44392,99712,FAIRBANKS,AK,64.93,-146.61
44393,99714,SALCHA,AK,64.37,-146.59
44394,99714,FAIRBANKS,AK,64.37,-146.59
44395,99716,TWO RIVERS,AK,64.87,-146.87
44396,99716,FAIRBANKS,AK,64.87,-146.87
44397,99767,RAMPART,AK,65.4,-150.2
44398,99767,FAIRBANKS,AK,65.4,-150.2
44399,99775,FAIRBANKS,AK,64.86,-147.82
44400,99790,FAIRBANKS,AK,64.51,-147.66
44401,99583,FALSE PASS,AK,54.83,-163.65
44402,99585,MARSHALL,AK,61.87,-162.05
44403,99740,FORT YUKON,AK,66.56,-145.25
44404,99740,FT YUKON,AK,66.56,-145.25
44405,99788,CHALKYITSIK,AK,66.64,-143.78
44406,99788,FORT YUKON,AK,66.64,-143.78
44407,99586,GAKONA,AK,62.41,-143.41
44408,99586,MIERS LAKE,AK,62.41,-143.41
44409,99586,SLANA,AK,62.41,-143.41
44410,99586,GULKANA,AK,62.41,-143.41
44411,99741,GALENA,AK,64.74,-156.85
44412,99742,GAMBELL,AK,63.75,-171.69
44413,99587,GIRDWOOD,AK,60.9,-148.91
44414,99693,WHITTIER,AK,60.28,-148.3
44415,99693,GIRDWOOD,AK,60.28,-148.3
44416,99588,GLENNALLEN,AK,62.1,-145.53
44417,99589,GOODNEWS BAY,AK,59.19,-161.71
44418,99590,GRAYLING,AK,62.89,-160.1
44419,99826,GUSTAVUS,AK,58.42,-135.78
44420,99827,HAINES,AK,59.16,-135.86
44421,99743,HEALY,AK,64.01,-148.35
44422,99755,DENALI NATIONAL PARK,AK,63.64,-148.81
44423,99755,DENALI PARK,AK,63.64,-148.81
44424,99755,HEALY,AK,63.64,-148.81
44425,99602,HOLY CROSS,AK,62.18,-159.84
44426,99603,HOMER,AK,59.4,-151.32
44427,99603,ENGLISH BAY,AK,59.4,-151.32
44428,99603,FRITZ CREEK,AK,59.4,-151.32
44429,99603,HALIBUT COVE,AK,59.4,-151.32
44430,99603,KACHEMAK,AK,59.4,-151.32
44431,99603,NANWALEK,AK,59.4,-151.32
44432,99603,PORT GRAHAM,AK,59.4,-151.32
44433,99829,HOONAH,AK,58.08,-135.43
